datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jul 24, 2017",0.890203,1.22,0.709135,0.710301,17145.0,1398520.0
"Jul 25, 2017",0.704859,0.823796,0.641964,0.655649,5631.0,1107340.0
"Jul 26, 2017",0.653707,0.695571,0.599787,0.678454,7394.0,1026980.0
"Jul 27, 2017",0.670019,0.750241,0.574503,0.622236,27176.0,1052610.0
"Jul 28, 2017",0.623202,0.762992,0.604882,0.613604,21083.0,979058.0
"Jul 29, 2017",0.611659,1.0,0.58236,0.891848,11171.0,960925.0
"Jul 30, 2017",1.0,1.01,0.657876,0.657986,996.0,1571700.0
"Jul 31, 2017",0.661282,0.832035,0.63844,0.710443,14005.0,1038880.0
"Aug 01, 2017",0.711548,0.923954,0.634845,0.649196,6520.0,1117850.0
"Aug 02, 2017",0.648562,0.92753,0.642977,0.729817,6437.0,1018900.0
"Aug 03, 2017",0.731138,0.85186,0.584128,0.61921,2479.0,1148630.0
"Aug 04, 2017",0.617718,0.769282,0.563211,0.644167,21964.0,970442.0
"Aug 05, 2017",0.643678,0.737696,0.588496,0.677899,15688.0,1011230.0
"Aug 06, 2017",0.656959,0.876536,0.635803,0.651492,19933.0,1032090.0
"Aug 07, 2017",0.650265,0.882262,0.647491,0.655434,23002.0,1021570.0
"Aug 08, 2017",0.655523,0.941039,0.648449,0.688192,31708.0,1029830.0
"Aug 09, 2017",0.68896,0.843861,0.622344,0.807102,21520.0,1082370.0
"Aug 10, 2017",0.806237,0.904957,0.683944,0.714318,14913.0,1266610.0
"Aug 11, 2017",0.713661,0.832369,0.708291,0.712636,25427.0,1121170.0
"Aug 12, 2017",0.710783,0.928489,0.670606,0.733712,18921.0,1116650.0
"Aug 13, 2017",0.732259,0.839061,0.615811,0.829752,22970.0,1150390.0
"Aug 14, 2017",0.831456,0.852428,0.683013,0.718697,23108.0,1306230.0
"Aug 15, 2017",0.719889,0.861576,0.526998,0.858826,41949.0,1130950.0
"Aug 16, 2017",0.861046,0.861046,0.677569,0.715459,32541.0,1352710.0
"Aug 17, 2017",0.715268,0.840147,0.532796,0.632989,24927.0,1123700.0
"Aug 18, 2017",0.63136,0.745103,0.63122,0.741543,22418.0,991875.0
"Aug 19, 2017",0.74151,0.744822,0.433337,0.438338,1562.0,1164920.0
"Aug 20, 2017",0.436531,0.792803,0.430679,0.654203,882.0,685796.0
"Aug 21, 2017",0.555007,0.764924,0.52345,0.525962,766.0,871922.0
"Aug 22, 2017",0.526716,0.721731,0.384918,0.493331,915.0,827477.0
