datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jan 01, 2017",1e-05,1e-05,1e-05,1e-05,4.0,58389.0
"Jan 02, 2017",1e-05,1e-05,1e-05,1e-05,5.0,60491.0
"Jan 03, 2017",1e-05,1e-05,1e-05,1e-05,4.0,61930.0
"Jan 04, 2017",1e-05,1.2e-05,1e-05,1.2e-05,5.0,63306.0
"Jan 05, 2017",1.2e-05,1.2e-05,9e-06,1e-05,4.0,70031.0
"Jan 06, 2017",1e-05,1e-05,9e-06,9e-06,3.0,61461.0
"Jan 07, 2017",9e-06,9e-06,8e-06,9e-06,4.0,54980.0
"Jan 08, 2017",9e-06,9e-06,9e-06,9e-06,3.0,55301.0
"Jan 09, 2017",9e-06,9e-06,9e-06,9e-06,4.0,55464.0
"Jan 10, 2017",9e-06,9e-06,9e-06,9e-06,4.0,54960.0
"Jan 11, 2017",9e-06,9e-06,8e-06,8e-06,3.0,56311.0
"Jan 12, 2017",8e-06,8e-06,8e-06,8e-06,3.0,48253.0
"Jan 13, 2017",8e-06,8e-06,8e-06,8e-06,4.0,49935.0
"Jan 14, 2017",8e-06,8e-06,8e-06,8e-06,4.0,51128.0
"Jan 15, 2017",8e-06,8e-06,8e-06,8e-06,3.0,50824.0
"Jan 16, 2017",8e-06,8e-06,8e-06,8e-06,1.0,51036.0
"Jan 17, 2017",8e-06,9e-06,8e-06,9e-06,33.0,51642.0
"Jan 18, 2017",9e-06,9e-06,9e-06,9e-06,0.0,56396.0
"Jan 19, 2017",9e-06,9e-06,9e-06,9e-06,0.0,55108.0
"Jan 21, 2017",9e-06,9e-06,9e-06,9e-06,14.0,55714.0
"Jan 22, 2017",9e-06,1.8e-05,9e-06,9e-06,162.0,57300.0
"Jan 23, 2017",9e-06,1.9e-05,9e-06,9e-06,7.0,57480.0
"Jan 24, 2017",9e-06,1.8e-05,9e-06,9e-06,11.0,57253.0
"Jan 25, 2017",9e-06,9e-06,9e-06,9e-06,13.0,55493.0
"Jan 26, 2017",9e-06,9e-06,9e-06,9e-06,58.0,56043.0
"Jan 27, 2017",9e-06,9e-06,9e-06,9e-06,11.0,57040.0
"Jan 28, 2017",9e-06,9e-06,9e-06,9e-06,3.0,57187.0
"Jan 29, 2017",9e-06,9e-06,9e-06,9e-06,3.0,57301.0
"Jan 30, 2017",9e-06,9e-06,9e-06,9e-06,3.0,57175.0
"Jan 31, 2017",9e-06,1e-05,9e-06,1e-05,1.0,57245.0
"Feb 01, 2017",1e-05,1e-05,1e-05,1e-05,1.0,60356.0
"Feb 02, 2017",1e-05,1e-05,1e-05,1e-05,3.0,61565.0
"Feb 03, 2017",1e-05,1e-05,1e-05,1e-05,3.0,62910.0
"Feb 04, 2017",1e-05,1e-05,1e-05,1e-05,0.0,64146.0
"Feb 05, 2017",1e-05,1e-05,1e-05,1e-05,2.0,64904.0
"Feb 06, 2017",1e-05,1e-05,1e-05,1e-05,0.0,63964.0
"Feb 07, 2017",1e-05,1.1e-05,1e-05,1.1e-05,6.0,64694.0
"Feb 08, 2017",1.1e-05,2.1e-05,1.1e-05,2.1e-05,0.0,66073.0
"Feb 09, 2017",2.1e-05,2.2e-05,2.1e-05,2.1e-05,0.0,132443.0
"Feb 10, 2017",1e-05,1e-05,1e-05,1e-05,23.0,59541.0
"Feb 11, 2017",1e-05,1e-05,1e-05,1e-05,0.0,61507.0
"Feb 12, 2017",1e-05,1e-05,1e-05,1e-05,0.0,62416.0
"Feb 13, 2017",1e-05,2e-05,1e-05,2e-05,9.0,62128.0
"Feb 14, 2017",2e-05,2e-05,1e-05,1e-05,16.0,123366.0
"Feb 15, 2017",1e-05,2e-05,1e-05,2e-05,8.0,62583.0
"Feb 16, 2017",2e-05,2.1e-05,1e-05,2.1e-05,0.0,128757.0
"Feb 17, 2017",2.1e-05,2.1e-05,1e-05,1e-05,23.0,133527.0
"Feb 18, 2017",1e-05,2.1e-05,1e-05,1.1e-05,51.0,68269.0
"Feb 19, 2017",1.1e-05,2.1e-05,1e-05,2.1e-05,0.0,68677.0
"Feb 20, 2017",2.1e-05,2.2e-05,1e-05,2.2e-05,2.0,136572.0
"Feb 21, 2017",2.2e-05,2.2e-05,1.1e-05,1.1e-05,1.0,141737.0
"Feb 22, 2017",1.1e-05,1.1e-05,1.1e-05,1.1e-05,2.0,73203.0
"Feb 23, 2017",1.1e-05,1.2e-05,1.1e-05,1.2e-05,7.0,73365.0
"Feb 24, 2017",1.2e-05,2.4e-05,1.1e-05,2.3e-05,0.0,77618.0
"Feb 25, 2017",2.3e-05,2.3e-05,1.1e-05,1.1e-05,24.0,156273.0
"Feb 26, 2017",1.1e-05,1.2e-05,1.1e-05,1.2e-05,4.0,76427.0
"Feb 27, 2017",1.2e-05,1.2e-05,1.2e-05,1.2e-05,4.0,77735.0
"Mar 04, 2017",2.6e-05,2.6e-05,2.5e-05,2.5e-05,0.0,172355.0
"Mar 05, 2017",2.5e-05,2.5e-05,1.2e-05,2.5e-05,1.0,170796.0
"Mar 06, 2017",2.5e-05,6.4e-05,2.5e-05,6.4e-05,26.0,172591.0
"Mar 07, 2017",6.4e-05,6.4e-05,6e-05,6.2e-05,25.0,433434.0
"Mar 08, 2017",1.2e-05,1.2e-05,1.1e-05,1.2e-05,6.0,82018.0
"Mar 09, 2017",1.2e-05,1.2e-05,1.1e-05,1.2e-05,0.0,79073.0
"Mar 10, 2017",1.2e-05,1.3e-05,1.1e-05,1.1e-05,2.0,81773.0
"Mar 11, 2017",1.1e-05,1.2e-05,1.1e-05,1.2e-05,0.0,76756.0
"Mar 13, 2017",1.2e-05,1.2e-05,1.2e-05,1.2e-05,4.0,85237.0
"Mar 14, 2017",1.2e-05,1.2e-05,1.2e-05,1.2e-05,4.0,85752.0
"Mar 16, 2017",1.2e-05,1.2e-05,1.2e-05,1.2e-05,3.0,85970.0
"Mar 17, 2017",1.2e-05,1.2e-05,1.1e-05,1.2e-05,3.0,82901.0
"Mar 19, 2017",1e-05,1.1e-05,1e-05,1e-05,2.0,70197.0
"Mar 20, 2017",1e-05,1.1e-05,1e-05,1e-05,2.0,72865.0
"Mar 21, 2017",1.1e-05,1.1e-05,1.1e-05,1.1e-05,1.0,76352.0
"Mar 22, 2017",1.1e-05,2.2e-05,1e-05,1e-05,1.0,78929.0
"Mar 23, 2017",1.1e-05,2.1e-05,1e-05,1e-05,5.0,73961.0
