datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-7-28,0.114233,0.115352,0.109048,0.110813,108035.0,5256600.0
2017-7-29,0.109099,0.111488,0.103434,0.107915,121950.0,5020350.0
2017-7-30,0.10931,0.122936,0.10931,0.116912,123102.0,5030050.0
2017-7-31,0.117362,0.117402,0.111937,0.115905,103780.0,5400580.0
2017-8-01,0.116735,0.121222,0.112373,0.119936,124887.0,5371720.0
2017-8-02,0.119794,0.120002,0.101462,0.10511,173356.0,5512500.0
2017-8-03,0.105505,0.117454,0.103578,0.116881,160182.0,4854960.0
2017-8-04,0.11663,0.117555,0.109939,0.11156,140032.0,5366900.0
2017-8-05,0.11189,0.144275,0.11189,0.143328,172415.0,5148800.0
2017-8-06,0.14448,0.160956,0.143723,0.157708,164184.0,6648430.0
2017-8-07,0.157549,0.206724,0.154967,0.168169,203940.0,7249820.0
2017-8-08,0.171314,0.172255,0.152734,0.162515,185288.0,7883240.0
2017-8-09,0.163375,0.170439,0.152278,0.15307,173378.0,7517920.0
2017-8-10,0.152625,0.155935,0.135873,0.135873,203020.0,7023240.0
2017-8-11,0.136023,0.155311,0.13521,0.153169,207918.0,6259300.0
2017-8-12,0.152361,0.193371,0.152031,0.191229,289214.0,7011130.0
2017-8-13,0.191887,0.203257,0.170352,0.17382,252624.0,8829970.0
2017-8-14,0.174984,0.176701,0.166305,0.169175,198801.0,8052150.0
2017-8-15,0.169989,0.17166,0.149017,0.159652,207181.0,7822300.0
2017-8-16,0.15959,0.170918,0.157788,0.170918,198922.0,7343750.0
2017-8-17,0.170182,0.172382,0.155045,0.16302,204025.0,7831180.0
2017-8-18,0.163398,0.186865,0.160467,0.167663,278021.0,7519000.0
2017-8-19,0.167355,0.1699,0.159737,0.167845,170233.0,7701060.0
2017-8-20,0.166945,0.327097,0.163961,0.274852,2302260.0,7682230.0
2017-8-21,0.270162,0.301118,0.213871,0.230938,1217230.0,12431900.0
2017-8-22,0.227516,0.230606,0.192259,0.221828,309228.0,10469500.0
2017-8-23,0.220845,0.238715,0.216019,0.228295,222021.0,10162500.0
2017-8-24,0.230106,0.237586,0.223434,0.2287,228641.0,10588600.0
2017-8-25,0.2285,0.237489,0.225577,0.235271,200764.0,10514800.0
2017-8-26,0.235524,0.258212,0.23142,0.251206,187065.0,10838000.0
