datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-1-12,8e-06,1.6e-05,8e-06,8e-06,28.0,0.0
2017-1-13,8e-06,8e-06,8e-06,8e-06,35.0,0.0
2017-1-14,8e-06,1.7e-05,8e-06,8e-06,75.0,0.0
2017-1-15,8e-06,8e-06,8e-06,8e-06,9.0,0.0
2017-1-16,8e-06,1.7e-05,8e-06,1.7e-05,52.0,0.0
2017-1-17,1.7e-05,1.8e-05,8e-06,9e-06,62.0,0.0
2017-1-18,9e-06,1.8e-05,9e-06,9e-06,53.0,0.0
2017-1-19,9e-06,1.8e-05,9e-06,1.8e-05,337.0,0.0
2017-1-20,1.8e-05,1.8e-05,9e-06,9e-06,63.0,0.0
2017-1-21,9e-06,1.8e-05,9e-06,1.8e-05,33.0,0.0
2017-1-22,1.8e-05,1.9e-05,9e-06,9e-06,5.0,0.0
2017-1-23,9e-06,1.8e-05,9e-06,9e-06,95.0,0.0
2017-1-24,9e-06,1.8e-05,9e-06,9e-06,12.0,0.0
2017-1-25,9e-06,1.8e-05,9e-06,9e-06,2.0,0.0
2017-1-26,9e-06,1.8e-05,9e-06,9e-06,314.0,0.0
2017-1-27,9e-06,1.8e-05,9e-06,1.8e-05,45.0,0.0
2017-1-28,1.8e-05,1.8e-05,9e-06,1.8e-05,48.0,0.0
2017-1-29,1.8e-05,1.8e-05,9e-06,1.8e-05,23.0,0.0
2017-1-30,9e-06,1.8e-05,9e-06,9e-06,234.0,0.0
2017-1-31,9e-06,1.9e-05,9e-06,1e-05,41.0,0.0
2017-2-01,1e-05,2e-05,1e-05,1e-05,81.0,0.0
2017-2-02,1e-05,2e-05,1e-05,1e-05,287.0,0.0
2017-2-03,1e-05,1e-05,1e-05,1e-05,71.0,0.0
2017-2-04,1e-05,2.1e-05,1e-05,1e-05,124.0,0.0
2017-2-05,1e-05,2.1e-05,1e-05,1e-05,143.0,0.0
2017-2-06,1e-05,2.1e-05,1e-05,1e-05,46.0,0.0
2017-2-07,1e-05,2.1e-05,1e-05,1.1e-05,35.0,0.0
2017-2-08,1.1e-05,2.1e-05,1e-05,1.1e-05,47.0,0.0
2017-2-09,1.1e-05,2.2e-05,1e-05,1e-05,267.0,0.0
2017-2-10,1e-05,1e-05,9e-06,1e-05,2.0,0.0
2017-2-11,1e-05,2e-05,1e-05,1e-05,207.0,0.0
2017-2-12,1e-05,2e-05,1e-05,2e-05,1377.0,0.0
2017-2-13,2e-05,2e-05,1e-05,1e-05,260.0,0.0
2017-2-14,1e-05,2e-05,1e-05,1e-05,71.0,0.0
2017-2-15,1e-05,1e-05,1e-05,1e-05,18.0,0.0
2017-2-16,1e-05,2.1e-05,1e-05,2.1e-05,22.0,0.0
2017-2-17,2.1e-05,2.1e-05,1e-05,2.1e-05,51.0,0.0
2017-2-18,2.1e-05,2.1e-05,1e-05,1.1e-05,24.0,0.0
2017-2-19,1.1e-05,2.1e-05,1e-05,1e-05,19.0,0.0
