datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jul 27, 2017",0.091949,0.100368,0.083998,0.099512,21724.0,3289810.0
"Jul 28, 2017",0.099382,0.131614,0.091417,0.122472,108611.0,3555790.0
"Jul 29, 2017",0.122659,0.132107,0.11361,0.131974,24909.0,4388610.0
"Jul 30, 2017",0.131663,0.157325,0.118872,0.143971,20694.0,4710750.0
"Jul 31, 2017",0.144335,0.148644,0.120601,0.123273,28530.0,5164140.0
"Aug 01, 2017",0.12328,0.135756,0.082979,0.120425,19142.0,4410810.0
"Aug 02, 2017",0.12047,0.126886,0.096227,0.111932,15163.0,4310280.0
"Aug 03, 2017",0.111742,0.120169,0.093521,0.098677,7969.0,3998010.0
"Aug 04, 2017",0.098732,0.114947,0.08853,0.101794,21350.0,3532500.0
"Aug 05, 2017",0.101752,0.148076,0.101644,0.128198,19149.0,3640580.0
"Aug 06, 2017",0.129162,0.146131,0.111475,0.130698,8749.0,4621260.0
"Aug 07, 2017",0.131881,0.148066,0.110962,0.131159,44605.0,4718550.0
"Aug 08, 2017",0.131668,0.147752,0.116717,0.13211,55824.0,4710910.0
"Aug 09, 2017",0.132991,0.166203,0.127028,0.142035,60047.0,4758280.0
"Aug 10, 2017",0.14177,0.15449,0.127512,0.136374,78472.0,5072370.0
"Aug 11, 2017",0.136255,0.344263,0.135189,0.32949,241602.0,4875050.0
"Aug 12, 2017",0.33302,0.462292,0.228454,0.296574,383407.0,11915100.0
"Aug 13, 2017",0.295015,0.299348,0.236143,0.288182,135872.0,10555300.0
"Aug 14, 2017",0.291957,0.502312,0.280884,0.296592,186475.0,10445900.0
"Aug 15, 2017",0.297936,0.347471,0.211883,0.238769,225368.0,10659800.0
"Aug 16, 2017",0.223679,0.319803,0.223679,0.299397,107231.0,8002990.0
"Aug 17, 2017",0.299599,0.412477,0.270784,0.399973,298542.0,10719300.0
"Aug 18, 2017",0.399352,0.436202,0.372856,0.385024,322580.0,14288400.0
"Aug 19, 2017",0.37459,1.01,0.359918,0.440113,380166.0,13402400.0
"Aug 20, 2017",0.44561,0.951745,0.442064,0.842444,529738.0,15943400.0
"Aug 21, 2017",0.815301,0.817866,0.473266,0.548962,649600.0,29170500.0
"Aug 22, 2017",0.546086,1.01,0.520134,0.570414,311631.0,19538300.0
