datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-1-01,0.366116,0.36617,0.096264,0.099888,0.0,3594920.0
2017-1-02,0.099942,0.101392,0.09978,0.101365,0.0,983603.0
2017-1-03,0.123736,0.125331,0.12264,0.125331,4.0,1220530.0
2017-1-04,0.125303,0.128907,0.107588,0.115515,11.0,1238520.0
2017-1-05,0.115635,0.119277,0.091169,0.101203,9.0,1145570.0
2017-1-06,0.10148,0.104828,0.088518,0.091853,1.0,1007550.0
2017-1-07,0.088159,0.089441,0.03558,0.03637,8.0,878249.0
2017-1-08,0.036371,0.092663,0.036065,0.091111,1.0,362674.0
2017-1-09,0.091238,0.091487,0.035763,0.090448,1.0,911813.0
2017-1-10,0.0904,0.091606,0.090223,0.090739,0.0,905332.0
2017-1-12,0.030697,0.033273,0.030434,0.032431,0.0,308829.0
2017-1-13,0.032411,0.032559,0.032348,0.032559,0.0,326718.0
2017-1-17,0.090939,0.091132,0.090853,0.090853,1.0,926469.0
2017-1-18,0.090912,0.091869,0.036719,0.036943,2.0,926290.0
2017-1-19,0.037096,0.090461,0.037001,0.089944,1.0,378742.0
2017-1-20,0.089907,0.089907,0.088701,0.089194,1.0,919706.0
2017-1-21,0.091995,0.092343,0.091936,0.092154,1.0,944635.0
2017-1-22,0.092151,0.093724,0.08973,0.091513,1.0,946644.0
2017-1-23,0.099394,0.099835,0.098928,0.099118,1.0,1024330.0
2017-1-24,0.097943,0.373829,0.097044,0.177556,2906.0,1009690.0
2017-1-25,0.177645,0.177645,0.071909,0.09013,143.0,1836260.0
2017-1-26,0.09024,0.095141,0.072466,0.07345,17.0,934671.0
2017-1-27,0.073453,0.090522,0.073453,0.073581,24.0,762298.0
2017-1-28,0.07358,0.073913,0.07358,0.073727,29.0,765250.0
2017-1-29,0.073727,0.081492,0.073578,0.073617,20.0,768374.0
2017-1-30,0.073615,0.094992,0.073613,0.094909,3.0,768819.0
2017-1-31,0.094873,0.12575,0.094873,0.125561,56.0,992812.0
2017-2-01,0.125541,0.148179,0.125541,0.148179,29.0,1316430.0
2017-2-02,0.148166,0.149111,0.008755,0.043983,1385.0,1556820.0
2017-2-03,0.043968,0.044402,0.026679,0.029352,355.0,462659.0
2017-2-04,0.029393,0.052214,0.029393,0.052145,192.0,309072.0
2017-2-05,0.052176,0.052181,0.030899,0.051388,23.0,550153.0
2017-2-06,0.051441,0.05203,0.030192,0.045648,152.0,543873.0
2017-2-07,0.045735,0.04576,0.008322,0.030482,310.0,484859.0
2017-2-08,0.03051,0.044385,0.018685,0.028703,128.0,324306.0
2017-2-09,0.028747,0.034115,0.011676,0.011933,83.0,306377.0
