datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-6-13,0.638503,0.652862,0.53391,0.590255,25425600.0,1774740000.0
2017-6-14,0.592347,0.606196,0.495745,0.528916,14194900.0,1646450000.0
2017-6-15,0.528284,0.543165,0.300365,0.363661,10300400.0,1468380000.0
2017-6-16,0.353285,0.448249,0.309852,0.410757,6920690.0,981966000.0
2017-6-17,0.426762,0.444205,0.414139,0.419906,3100660.0,1186200000.0
2017-6-18,0.420597,0.426069,0.39379,0.405862,2514450.0,1169060000.0
2017-6-19,0.405456,0.42099,0.388231,0.412183,3543640.0,1126980000.0
2017-6-20,0.414299,0.422032,0.398649,0.418494,3755470.0,1151560000.0
2017-6-21,0.419439,0.43734,0.405037,0.413547,3999810.0,1165840000.0
2017-6-22,0.413371,0.427283,0.407261,0.417742,2343320.0,1148980000.0
2017-6-23,0.417769,0.48091,0.408405,0.48091,3768560.0,1161200000.0
2017-6-24,0.482769,0.635612,0.482769,0.51291,19215500.0,1341870000.0
2017-6-25,0.514185,0.525564,0.454951,0.470941,5012890.0,1429190000.0
2017-6-26,0.470192,0.473662,0.351156,0.402438,9101080.0,1306910000.0
2017-6-27,0.411989,0.420035,0.353549,0.392269,4411090.0,1145140000.0
2017-6-28,0.399874,0.399874,0.357338,0.379136,4704400.0,1111460000.0
2017-6-29,0.375767,0.459387,0.361568,0.417798,5324020.0,1044460000.0
2017-6-30,0.417167,0.453008,0.398195,0.401591,5044270.0,1159530000.0
2017-7-01,0.402295,0.414192,0.381489,0.38963,2334640.0,1118190000.0
2017-7-02,0.39188,0.39689,0.366798,0.382249,2971770.0,1089240000.0
2017-7-03,0.379055,0.384955,0.356024,0.376139,3873180.0,1053600000.0
2017-7-04,0.3749,0.410698,0.373865,0.39639,3933710.0,1042050000.0
2017-7-05,0.396273,0.400841,0.371809,0.38013,3061100.0,1101450000.0
2017-7-06,0.380253,0.382865,0.317295,0.35388,8218370.0,1056920000.0
2017-7-07,0.355803,0.355994,0.271859,0.284565,8804780.0,988966000.0
2017-7-08,0.286164,0.320908,0.281393,0.305515,3273950.0,795402000.0
2017-7-09,0.297377,0.31277,0.285475,0.302889,2474500.0,826569000.0
2017-7-10,0.304476,0.304476,0.190539,0.217061,8233640.0,846301000.0
2017-7-11,0.214742,0.231574,0.185681,0.187596,6946200.0,596881000.0
2017-7-12,0.191125,0.237362,0.183955,0.228758,4646480.0,531237000.0
2017-7-13,0.229099,0.238625,0.194249,0.214589,4129150.0,636787000.0
2017-7-14,0.212999,0.214112,0.161877,0.17535,3347860.0,592038000.0
2017-7-15,0.175237,0.176099,0.147933,0.158688,3913220.0,487076000.0
2017-7-16,0.157961,0.185445,0.155173,0.180978,4178170.0,439057000.0
2017-7-17,0.180717,0.278088,0.179114,0.263105,15254300.0,502309000.0
2017-7-18,0.264569,0.309577,0.248754,0.26734,11433600.0,735378000.0
2017-7-19,0.268162,0.284031,0.230686,0.232212,6339730.0,745365000.0
2017-7-20,0.233503,0.298253,0.232192,0.29246,10332500.0,649028000.0
2017-7-21,0.29476,0.305506,0.257626,0.264134,6344870.0,819295000.0
2017-7-22,0.26339,0.278936,0.254406,0.273382,4107430.0,732099000.0
2017-7-23,0.273693,0.280241,0.258485,0.269072,3065860.0,760738000.0
2017-7-24,0.265136,0.273468,0.242731,0.266447,4502060.0,736952000.0
2017-7-25,0.266827,0.269072,0.237998,0.250453,2917500.0,741654000.0
2017-7-26,0.250571,0.283478,0.241237,0.274598,4626790.0,696469000.0
2017-7-27,0.27685,0.285551,0.275467,0.275467,3343540.0,769512000.0
2017-7-28,0.274876,0.278459,0.262736,0.265118,2884740.0,764026000.0
2017-7-29,0.266567,0.277226,0.245848,0.27519,2788270.0,740931000.0
2017-7-30,0.277339,0.279401,0.252831,0.254785,3165840.0,770872000.0
2017-7-31,0.255064,0.25981,0.245768,0.254732,2563820.0,708959000.0
2017-8-01,0.256665,0.296267,0.249623,0.29022,5169910.0,713408000.0
2017-8-02,0.290135,0.293039,0.272032,0.286116,3439800.0,806440000.0
2017-8-03,0.286578,0.336844,0.284765,0.332352,8239810.0,796552000.0
2017-8-04,0.332239,0.420252,0.332239,0.391286,20179000.0,923468000.0
2017-8-05,0.393176,0.427798,0.364083,0.40798,9091140.0,1092850000.0
2017-8-06,0.40769,0.440193,0.396851,0.431142,6276510.0,1133190000.0
2017-8-07,0.430804,0.491028,0.418088,0.474577,14717700.0,1197430000.0
2017-8-08,0.473874,0.55088,0.458992,0.547637,21988500.0,1317150000.0
2017-8-09,0.547121,0.555125,0.512566,0.543328,13294400.0,1520740000.0
2017-8-10,0.535805,0.588071,0.51325,0.566456,16602500.0,1489290000.0
2017-8-11,0.565525,0.710585,0.557827,0.654872,43618800.0,1571890000.0
2017-8-12,0.655191,0.72796,0.625521,0.721535,20358000.0,1821120000.0
2017-8-13,0.722169,0.82953,0.715382,0.807713,41198400.0,2007290000.0
2017-8-14,0.811738,0.976404,0.793682,0.976404,54630900.0,2256250000.0
2017-8-15,0.97732,0.995791,0.767236,0.917949,84698300.0,2716490000.0
2017-8-16,0.914727,1.05,0.878567,1.05,52081500.0,2542510000.0
2017-8-17,1.04,1.1,0.998241,1.02,58209300.0,2904020000.0
2017-8-18,1.01,1.03,0.7744,0.870147,58053400.0,2819080000.0
2017-8-19,0.87158,0.985748,0.778133,0.978521,39975500.0,2422580000.0
2017-8-20,0.971222,1.02,0.939619,0.942205,29447600.0,2699540000.0
