datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jun 01, 2017",0.000831,0.000864,0.00076,0.000816,479.0,0.0
"Jun 02, 2017",0.000768,0.000836,0.000723,0.000792,279.0,0.0
"Jun 03, 2017",0.000817,0.000859,0.000742,0.000813,111.0,0.0
"Jun 04, 2017",0.000811,0.000883,0.000577,0.00073,106.0,0.0
"Jun 05, 2017",0.000805,0.000874,0.000538,0.000833,91.0,0.0
"Jun 06, 2017",0.000808,0.000912,0.000616,0.00086,81.0,0.0
"Jun 07, 2017",0.00086,0.000862,0.000621,0.000669,97.0,0.0
"Jun 08, 2017",0.000673,0.000911,0.00058,0.000729,99.0,0.0
"Jun 09, 2017",0.000756,0.001123,0.000697,0.000702,43.0,0.0
"Jun 10, 2017",0.000703,0.000993,0.000702,0.000926,26.0,0.0
"Jun 11, 2017",0.000925,0.001068,0.000915,0.001042,1.0,0.0
"Jun 12, 2017",0.001041,0.001044,0.000788,0.000928,48.0,0.0
"Jun 13, 2017",0.000924,0.000992,0.000779,0.000948,49.0,0.0
"Jun 14, 2017",0.000975,0.000999,0.000684,0.000688,25.0,0.0
"Jun 15, 2017",0.000688,0.000701,0.000596,0.000676,5.0,0.0
"Jun 16, 2017",0.000676,0.000852,0.000651,0.000724,28.0,0.0
"Jun 17, 2017",0.000724,0.001399,0.000649,0.001299,173.0,0.0
"Jun 18, 2017",0.001299,0.001299,0.000699,0.000724,83.0,0.0
"Jun 19, 2017",0.000724,0.001099,0.000724,0.000749,47.0,0.0
"Jun 20, 2017",0.000749,0.000949,0.000699,0.000724,67.0,0.0
"Jun 21, 2017",0.000724,0.000899,0.000674,0.000699,36.0,0.0
"Jun 22, 2017",0.000699,0.000824,0.000575,0.000575,82.0,0.0
"Jun 23, 2017",0.000575,0.000841,0.000575,0.0007,89.0,0.0
"Jun 24, 2017",0.000699,0.000798,0.000589,0.000643,58.0,0.0
"Jun 25, 2017",0.000641,0.000749,0.000563,0.000579,38.0,0.0
"Jun 26, 2017",0.000579,0.000714,0.000573,0.000609,39.0,0.0
"Jun 27, 2017",0.000609,0.000617,0.00055,0.000608,20.0,0.0
"Jun 28, 2017",0.000612,0.000732,0.000577,0.000588,13.0,0.0
"Jun 29, 2017",0.000587,0.000743,0.000549,0.000581,103.0,0.0
"Jun 30, 2017",0.000582,0.000714,0.000513,0.000515,55.0,0.0
"Jul 01, 2017",0.000515,0.000672,0.000503,0.000506,38.0,0.0
"Jul 02, 2017",0.000505,0.000527,0.000498,0.000525,33.0,0.0
"Jul 03, 2017",0.000523,0.000591,0.000494,0.000585,53.0,0.0
"Jul 04, 2017",0.000583,0.000757,0.000571,0.000674,80.0,0.0
"Jul 05, 2017",0.000673,0.000765,0.000656,0.000676,100.0,0.0
"Jul 06, 2017",0.000676,0.000885,0.00067,0.000727,8.0,0.0
"Jul 07, 2017",0.000728,0.000729,0.000643,0.00065,19.0,0.0
"Jul 08, 2017",0.00065,0.000827,0.000643,0.000662,15.0,0.0
"Jul 09, 2017",0.000663,0.00076,0.000656,0.000675,36.0,0.0
"Jul 10, 2017",0.000676,0.000955,0.000674,0.000797,78.0,0.0
