datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jan 01, 2017",0.005443,0.005908,0.005021,0.005818,23.0,114307.0
"Jan 02, 2017",0.005821,0.00607,0.005076,0.005655,283.0,122245.0
"Jan 03, 2017",0.005655,0.006496,0.005636,0.005752,58.0,118745.0
"Jan 04, 2017",0.005751,0.007579,0.00575,0.007541,4.0,120769.0
"Jan 05, 2017",0.007549,0.012472,0.007408,0.010685,916.0,158514.0
"Jan 06, 2017",0.010714,0.011067,0.005139,0.00517,7.0,224980.0
"Jan 07, 2017",0.005177,0.007575,0.005146,0.006585,30.0,108712.0
"Jan 08, 2017",0.006585,0.011469,0.004204,0.010918,984.0,138280.0
"Jan 09, 2017",0.010933,0.010963,0.00815,0.009033,22.0,229579.0
"Jan 10, 2017",0.009028,0.009149,0.005483,0.009067,0.0,189586.0
"Jan 11, 2017",0.009068,0.009286,0.004838,0.004838,38.0,190414.0
"Jan 12, 2017",0.00426,0.004694,0.004076,0.004592,16.0,89455.0
"Jan 13, 2017",0.004781,0.009099,0.004313,0.009024,9.0,100398.0
"Jan 14, 2017",0.009037,0.009151,0.004068,0.004099,285.0,189767.0
"Jan 15, 2017",0.004098,0.004536,0.004078,0.004528,19.0,86050.0
"Jan 16, 2017",0.004528,0.006638,0.00452,0.005677,103.0,95090.0
"Jan 17, 2017",0.005811,0.00721,0.005548,0.007095,25.0,122023.0
"Jan 18, 2017",0.0071,0.00769,0.006017,0.00619,0.0,149095.0
"Jan 19, 2017",0.006215,0.006295,0.005,0.005035,13.0,130513.0
"Jan 20, 2017",0.00503,0.007239,0.004975,0.007204,3.0,105620.0
"Jan 21, 2017",0.007208,0.007461,0.005155,0.00518,0.0,151370.0
"Jan 22, 2017",0.005183,0.005185,0.004492,0.004628,80.0,108834.0
"Jan 23, 2017",0.004632,0.007464,0.004588,0.007335,31.0,97261.0
"Jan 24, 2017",0.007253,0.007325,0.004928,0.004996,51.0,152301.0
"Jan 25, 2017",0.004991,0.005678,0.00455,0.005674,0.0,104814.0
"Jan 26, 2017",0.00453,0.00557,0.00453,0.005102,1028.0,95132.0
"Jan 27, 2017",0.004944,0.006439,0.0046,0.004894,1006.0,103813.0
"Jan 28, 2017",0.004894,0.006419,0.004625,0.005253,1014.0,102777.0
"Jan 29, 2017",0.005256,0.005601,0.004623,0.005379,838.0,110367.0
"Jan 30, 2017",0.005383,0.006701,0.004693,0.005229,1018.0,113039.0
"Jan 31, 2017",0.005159,0.007067,0.004643,0.00657,1678.0,108330.0
"Feb 01, 2017",0.006573,0.007052,0.004894,0.005108,1006.0,138034.0
"Feb 02, 2017",0.006316,0.006415,0.004988,0.005546,789.0,132638.0
"Feb 03, 2017",0.005393,0.00653,0.005107,0.005637,648.0,113251.0
"Feb 04, 2017",0.005644,0.006621,0.005237,0.005851,597.0,118529.0
"Feb 05, 2017",0.006334,0.007614,0.005194,0.007531,1056.0,133017.0
"Feb 06, 2017",0.007317,0.007847,0.005213,0.006179,704.0,153653.0
"Feb 07, 2017",0.005984,0.006903,0.005376,0.00568,741.0,125665.0
"Feb 08, 2017",0.005685,0.007046,0.005366,0.006064,228.0,119384.0
"Feb 09, 2017",0.006074,0.006658,0.004783,0.005519,900.0,127539.0
"Feb 10, 2017",0.005526,0.005997,0.004775,0.005408,671.0,116039.0
"Feb 11, 2017",0.005409,0.006322,0.005058,0.00574,505.0,113590.0
"Feb 12, 2017",0.005864,0.006126,0.005094,0.00595,541.0,123131.0
"Feb 13, 2017",0.005948,0.006145,0.005129,0.005181,387.0,124908.0
"Feb 14, 2017",0.00513,0.006086,0.005128,0.005481,417.0,107733.0
"Feb 15, 2017",0.005274,0.006084,0.005236,0.005472,560.0,110746.0
"Feb 16, 2017",0.005473,0.006019,0.005307,0.005877,544.0,114918.0
"Feb 17, 2017",0.005772,0.006238,0.005447,0.005694,603.0,121208.0
"Feb 18, 2017",0.005688,0.006345,0.005301,0.005371,786.0,119436.0
"Feb 19, 2017",0.005373,0.0056,0.005047,0.005239,317.0,112819.0
"Feb 20, 2017",0.005239,0.005914,0.005075,0.005474,403.0,110022.0
"Feb 21, 2017",0.005471,0.005604,0.005376,0.005511,329.0,114891.0
"Feb 22, 2017",0.005512,0.005617,0.005367,0.005488,317.0,115740.0
"Feb 23, 2017",0.005487,0.005828,0.005465,0.005752,817.0,115220.0
"Feb 24, 2017",0.00577,0.005976,0.005567,0.005732,621.0,121164.0
"Feb 25, 2017",0.005785,0.005836,0.004579,0.004579,761.0,121483.0
"Feb 26, 2017",0.005299,0.005824,0.004021,0.005675,254.0,111268.0
"Feb 27, 2017",0.005668,0.005668,0.004227,0.005406,513.0,119014.0
"Feb 28, 2017",0.00541,0.005848,0.004488,0.005781,406.0,113602.0
