datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-7-28,0.10624,0.234938,0.099319,0.102058,1221.0,2237220.0
2017-7-29,0.093398,0.182007,0.092214,0.1129,1440.0,1966800.0
2017-7-30,0.105607,0.111662,0.090181,0.107461,200.0,2223900.0
2017-7-31,0.09923,0.10661,0.094,0.10308,3.0,2089600.0
2017-8-01,0.10315,0.123242,0.085868,0.121407,1675.0,2172160.0
2017-8-02,0.137653,0.157237,0.110047,0.132666,2395.0,2898720.0
2017-8-03,0.174605,0.194397,0.068561,0.118356,5513.0,3676870.0
2017-8-04,0.121172,0.138354,0.096177,0.133898,1190.0,2551670.0
2017-8-05,0.086845,0.088498,0.079716,0.082679,563.0,1828810.0
2017-8-06,0.140645,0.198364,0.081682,0.163447,3553.0,2961720.0
2017-8-07,0.173492,0.218706,0.162654,0.173384,2721.0,3653420.0
2017-8-08,0.169585,0.207262,0.169415,0.197671,726.0,3571160.0
2017-8-09,0.205124,0.205615,0.086384,0.087956,4017.0,4319550.0
2017-8-10,0.074835,0.217616,0.074564,0.123606,850.0,1578960.0
2017-8-11,0.122163,0.334,0.095638,0.333851,723.0,2577530.0
2017-8-12,0.112923,0.16323,0.111474,0.148318,322.0,2382580.0
2017-8-13,0.146014,0.393832,0.083936,0.132716,4153.0,3080770.0
2017-8-14,0.173129,0.268226,0.161244,0.257804,1379.0,3652880.0
2017-8-15,0.136456,0.195742,0.094769,0.141505,3552.0,2879100.0
2017-8-16,0.154598,0.177414,0.129637,0.130733,1476.0,3261890.0
2017-8-17,0.13032,0.202703,0.123185,0.125497,1312.0,2749650.0
2017-8-18,0.127477,0.142983,0.089923,0.121722,3962.0,2689660.0
2017-8-19,0.121939,0.124315,0.098488,0.099847,2329.0,2572810.0
2017-8-20,0.115202,0.148902,0.099776,0.104925,387.0,2430680.0
2017-8-21,0.086748,0.129246,0.086417,0.10892,269.0,1830310.0
2017-8-22,0.11075,0.11075,0.100287,0.106391,437.0,2336740.0
2017-8-23,0.106327,0.173921,0.078887,0.105077,6745.0,2243420.0
2017-8-24,0.104712,0.151489,0.101221,0.105182,4032.0,2214980.0
2017-8-25,0.121557,0.121557,0.0809,0.083857,907.0,2571310.0
2017-8-26,0.083642,0.085621,0.079069,0.082616,1078.0,1769290.0
