datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jul 24, 2017",0.483956,0.629258,0.357768,0.420869,274.0,0.0
"Jul 25, 2017",0.421485,0.424331,0.331659,0.370328,306.0,0.0
"Jul 26, 2017",0.370496,0.377101,0.348923,0.364256,0.0,0.0
"Jul 27, 2017",0.365289,0.369556,0.088757,0.160665,419.0,0.0
"Jul 28, 2017",0.161152,0.221456,0.122127,0.147357,292.0,209734.0
"Jul 29, 2017",0.147974,0.147974,0.10863,0.123806,52.0,192583.0
"Jul 30, 2017",0.123918,0.173561,0.061849,0.10023,1131.0,162514.0
"Jul 31, 2017",0.100332,0.100421,0.088756,0.091549,135.0,131783.0
"Aug 01, 2017",0.091594,0.268342,0.056648,0.160897,1413.0,120305.0
"Aug 02, 2017",0.160866,0.424973,0.071187,0.208757,725.0,211292.0
"Aug 03, 2017",0.208642,0.266751,0.190645,0.191009,280.0,315774.0
"Aug 04, 2017",0.193378,0.25379,0.168444,0.227332,981.0,296664.0
"Aug 05, 2017",0.231594,0.894489,0.231594,0.401327,4355.0,355291.0
"Aug 06, 2017",0.402679,0.406278,0.236942,0.24506,624.0,617756.0
"Aug 07, 2017",0.244572,0.342626,0.230346,0.330169,1323.0,399426.0
"Aug 08, 2017",0.330395,0.340133,0.243194,0.245695,550.0,539606.0
"Aug 09, 2017",0.245896,0.271782,0.181437,0.26392,383.0,401601.0
"Aug 10, 2017",0.263437,0.266624,0.221078,0.221078,488.0,430249.0
"Aug 11, 2017",0.220987,0.239557,0.199276,0.220779,824.0,360919.0
"Aug 12, 2017",0.220113,0.292583,0.117649,0.281315,1778.0,363895.0
"Aug 13, 2017",0.281058,0.297855,0.251247,0.268111,549.0,464649.0
"Aug 14, 2017",0.268327,0.299355,0.267071,0.297831,694.0,443602.0
"Aug 15, 2017",0.298622,0.317302,0.201516,0.20231,586.0,493687.0
"Aug 16, 2017",0.202572,0.235095,0.174751,0.219426,1121.0,345024.0
"Aug 17, 2017",0.218461,0.219255,0.085821,0.085846,1729.0,372087.0
"Aug 18, 2017",0.085584,0.085928,0.035672,0.045314,2622.0,154070.0
"Aug 19, 2017",0.045276,0.077881,0.04134,0.071069,656.0,81507.0
"Aug 20, 2017",0.070746,0.07324,0.048986,0.060725,1682.0,127359.0
"Aug 21, 2017",0.060495,0.06439,0.036493,0.036562,2488.0,108905.0
"Aug 22, 2017",0.036547,0.04565,0.028078,0.036233,1311.0,65793.0
