datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-1-01,0.008728,0.008961,0.008296,0.008296,20.0,175244.0
2017-1-02,0.008296,0.00919,0.00677,0.009104,27.0,166570.0
2017-1-03,0.009104,0.009222,0.007344,0.007627,7.0,182793.0
2017-1-04,0.007625,0.008197,0.007138,0.007521,0.0,153102.0
2017-1-05,0.007529,0.012247,0.006691,0.008553,2211.0,151180.0
2017-1-06,0.00856,0.008863,0.006586,0.007013,122.0,171895.0
2017-1-07,0.007023,0.007057,0.006068,0.006633,14.0,141029.0
2017-1-08,0.006633,0.006633,0.006007,0.00616,34.0,133197.0
2017-1-09,0.006169,0.006405,0.005918,0.005998,56.0,123886.0
2017-1-10,0.005992,0.007719,0.005482,0.006918,58.0,120343.0
2017-1-11,0.006918,0.00765,0.005211,0.005211,23.0,138946.0
2017-1-12,0.005211,0.005501,0.004679,0.00536,3.0,104660.0
2017-1-13,0.005353,0.006485,0.005309,0.00576,5.0,107514.0
2017-1-14,0.005768,0.005848,0.005695,0.005739,31.0,115853.0
2017-1-15,0.005737,0.008734,0.005533,0.008401,959.0,115238.0
2017-1-16,0.008401,0.008423,0.006207,0.006775,1022.0,168750.0
2017-1-17,0.006777,0.007919,0.006713,0.007504,86.0,136131.0
2017-1-18,0.007521,0.00822,0.00721,0.00768,49.0,151076.0
2017-1-19,0.007653,0.007789,0.006619,0.007789,429.0,153748.0
2017-1-20,0.007785,0.007799,0.006627,0.007723,571.0,156406.0
2017-1-21,0.007723,0.009175,0.007723,0.0079,604.0,155153.0
2017-1-22,0.007903,0.009332,0.007064,0.0081,190.0,158786.0
2017-1-23,0.00811,0.017512,0.008041,0.012845,7205.0,162936.0
2017-1-24,0.012693,0.018132,0.011961,0.014906,2304.0,255035.0
2017-1-25,0.014913,0.017815,0.014548,0.015452,89.0,299652.0
2017-1-26,0.015467,0.019628,0.014073,0.01939,6321.0,310791.0
2017-1-27,0.019208,0.023925,0.016381,0.020967,7034.0,385976.0
2017-1-28,0.020967,0.023798,0.017412,0.017674,8260.0,421332.0
2017-1-29,0.018138,0.018788,0.016949,0.018786,2112.0,364485.0
2017-1-30,0.018727,0.018974,0.013765,0.015834,4306.0,376345.0
2017-1-31,0.015828,0.016007,0.013415,0.016007,4816.0,318092.0
2017-2-01,0.016007,0.016845,0.0146,0.014741,336.0,321698.0
2017-2-02,0.01474,0.015284,0.014493,0.015118,434.0,296242.0
2017-2-03,0.015112,0.016393,0.015072,0.015554,392.0,303742.0
2017-2-04,0.015576,0.022239,0.015331,0.020033,911.0,313060.0
2017-2-05,0.020045,0.022951,0.019141,0.020908,604.0,402910.0
2017-2-06,0.020929,0.025782,0.018036,0.021035,2999.0,420698.0
2017-2-07,0.021075,0.027512,0.020475,0.025213,1965.0,423636.0
2017-2-08,0.025236,0.02805,0.016349,0.01907,9374.0,507301.0
2017-2-09,0.0191,0.020138,0.01432,0.016334,5803.0,383957.0
2017-2-10,0.016355,0.017363,0.014288,0.016129,878.0,328781.0
2017-2-11,0.016133,0.020119,0.014656,0.016244,1419.0,324331.0
2017-2-12,0.016229,0.020219,0.013556,0.016894,3740.0,326285.0
2017-2-13,0.016889,0.017019,0.012688,0.013722,5156.0,339563.0
2017-2-14,0.013737,0.015396,0.013017,0.014983,456.0,276192.0
2017-2-15,0.015007,0.015035,0.011577,0.012256,2136.0,301748.0
2017-2-16,0.012258,0.013745,0.01222,0.013716,504.0,246475.0
2017-2-17,0.013699,0.014211,0.013692,0.014059,332.0,275453.0
2017-2-18,0.014099,0.017856,0.014069,0.015722,567.0,283519.0
2017-2-19,0.015727,0.015727,0.013594,0.014649,321.0,316256.0
2017-2-20,0.014661,0.014792,0.014174,0.01445,14.0,294825.0
2017-2-21,0.014441,0.014787,0.01262,0.013395,1636.0,290410.0
2017-2-22,0.013389,0.014285,0.012896,0.013465,125.0,269262.0
2017-2-23,0.013463,0.014142,0.013184,0.014023,865.0,270768.0
2017-2-24,0.014095,0.014427,0.011684,0.012562,1711.0,283481.0
2017-2-25,0.012527,0.012957,0.011382,0.011439,1356.0,251965.0
2017-2-26,0.011443,0.012369,0.011312,0.011691,241.0,230160.0
2017-2-27,0.011676,0.011676,0.00991,0.011636,4073.0,234864.0
2017-2-28,0.011643,0.013908,0.010086,0.010986,863.0,234202.0
2017-3-01,0.010987,0.01275,0.010406,0.01091,38.0,221011.0
2017-3-02,0.010929,0.013,0.010416,0.012297,18.0,219862.0
2017-3-03,0.011006,0.017205,0.010515,0.014769,2362.0,221412.0
2017-3-04,0.014797,0.015527,0.01338,0.013581,63.0,297675.0
2017-3-05,0.013571,0.015816,0.010181,0.015814,54.0,273034.0
2017-3-06,0.015818,0.015859,0.014574,0.015427,51.0,318242.0
2017-3-07,0.015431,0.01546,0.012316,0.013006,62.0,310472.0
2017-3-08,0.013003,0.013091,0.01086,0.011638,72.0,261622.0
2017-3-09,0.011642,0.012089,0.010552,0.010578,1.0,234238.0
2017-3-10,0.010585,0.012438,0.009178,0.010006,841.0,212993.0
2017-3-11,0.010002,0.015519,0.00974,0.013146,748.0,201266.0
2017-3-12,0.013155,0.013718,0.01164,0.013081,12.0,264708.0
2017-3-13,0.013085,0.013777,0.011714,0.011728,121.0,263322.0
2017-3-14,0.01173,0.013567,0.011695,0.013516,20.0,236060.0
2017-3-15,0.013518,0.01361,0.011591,0.013378,255.0,272041.0
2017-3-16,0.013396,0.014544,0.013272,0.013347,54.0,269598.0
2017-3-17,0.013261,0.01417,0.010696,0.01164,1246.0,266900.0
2017-3-18,0.011635,0.011787,0.009593,0.009755,84.0,234169.0
2017-3-19,0.009784,0.013199,0.009784,0.012373,428.0,196925.0
2017-3-20,0.012379,0.013446,0.011676,0.01303,272.0,249165.0
2017-3-21,0.013044,0.018223,0.012757,0.015764,1601.0,262557.0
2017-3-22,0.015766,0.020416,0.013987,0.018874,3924.0,317357.0
2017-3-23,0.01889,0.023051,0.01616,0.021095,4816.0,380258.0
