datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-7-28,126.43,129.57,116.97,121.84,122.0,7421570.0
2017-8-03,121.47,121.73,107.58,112.55,2814.0,7130780.0
2017-8-04,112.55,122.93,91.42,91.42,2011.0,6607250.0
2017-8-05,92.22,100.28,31.77,32.23,548.0,5413610.0
2017-8-06,32.31,125.38,31.59,116.69,2334.0,1896810.0
2017-8-07,116.61,160.11,113.44,158.65,952.0,6845620.0
2017-8-08,158.65,175.29,145.59,170.46,682.0,9313360.0
2017-8-09,170.8,172.31,167.17,168.34,673.0,10026500.0
2017-8-11,88.45,90.34,88.37,90.34,271.0,5192400.0
2017-8-12,90.34,96.16,81.72,84.4,253.0,5303140.0
2017-8-13,83.79,84.44,75.54,83.24,7742.0,4918940.0
2017-8-14,84.42,170.47,83.87,165.0,4620.0,4955790.0
2017-8-15,163.71,201.11,152.4,186.24,3352.0,9610020.0
2017-8-16,187.7,197.0,183.37,184.46,7563.0,11018400.0
2017-8-17,184.51,194.15,168.53,171.65,1888.0,10831400.0
2017-8-18,171.65,171.65,140.08,141.46,1415.0,10076200.0
2017-8-19,141.85,151.17,129.29,143.78,144.0,8327320.0
2017-8-20,143.72,161.88,140.8,149.8,2247.0,8437060.0
2017-8-21,149.84,149.84,124.03,129.83,1039.0,8795940.0
2017-8-22,129.58,129.62,120.46,126.63,1013.0,7606500.0
2017-8-25,134.78,137.05,132.3,135.54,407.0,7912310.0
2017-8-26,135.84,137.74,109.14,110.64,996.0,7974220.0
