datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-1-01,1e-05,1.9e-05,1e-05,1e-05,1.0,1022.0
2017-1-02,1e-05,2e-05,1e-05,2e-05,1.0,1059.0
2017-1-03,2e-05,2.1e-05,2e-05,2.1e-05,0.0,2167.0
2017-1-04,2.1e-05,2.1e-05,1.1e-05,1.2e-05,7.0,2213.0
2017-1-05,1.2e-05,2.3e-05,9e-06,1e-05,0.0,1226.0
2017-1-06,1e-05,1e-05,9e-06,9e-06,3.0,1075.0
2017-1-07,9e-06,9e-06,8e-06,9e-06,11.0,958.0
2017-1-08,9e-06,1.8e-05,9e-06,9e-06,1.0,963.0
2017-1-09,9e-06,9e-06,9e-06,9e-06,0.0,966.0
2017-1-10,9e-06,9e-06,9e-06,9e-06,0.0,956.0
2017-1-11,9e-06,9e-06,9e-06,9e-06,0.0,962.0
2017-1-12,8e-06,1.6e-05,8e-06,1.6e-05,1.0,860.0
2017-1-13,1.6e-05,1.6e-05,8e-06,8e-06,3.0,1704.0
2017-1-14,8e-06,8e-06,8e-06,8e-06,1.0,874.0
2017-1-15,8e-06,1.6e-05,8e-06,1.6e-05,14.0,868.0
2017-1-16,1.6e-05,1.7e-05,8e-06,8e-06,3.0,1743.0
2017-1-17,8e-06,1.8e-05,8e-06,9e-06,6.0,882.0
2017-1-18,9e-06,2.7e-05,9e-06,2.7e-05,445.0,964.0
2017-1-19,2.7e-05,9e-05,1.8e-05,5.4e-05,6951.0,2820.0
2017-1-20,7.2e-05,0.000251,4.4e-05,0.000143,15951.0,7626.0
2017-1-21,0.000134,0.000359,0.000134,0.000249,23005.0,14234.0
2017-1-22,0.000249,0.000286,0.000128,0.000157,8202.0,26398.0
2017-1-23,0.000157,0.000176,6.5e-05,7.4e-05,2989.0,16681.0
2017-1-24,7.3e-05,9.1e-05,4.6e-05,7.1e-05,703.0,7724.0
2017-1-25,7.1e-05,9.9e-05,5.4e-05,7.2e-05,722.0,7571.0
2017-1-26,7.2e-05,0.00011,7.2e-05,0.00011,928.0,7654.0
2017-1-27,0.00011,0.000248,8.3e-05,0.00012,3797.0,11674.0
2017-1-28,0.00012,0.000139,6.4e-05,0.000101,837.0,12676.0
2017-1-29,0.000101,0.000138,9.2e-05,0.00012,660.0,10753.0
2017-1-30,0.00012,0.000138,9.2e-05,9.2e-05,116.0,12673.0
2017-1-31,9.2e-05,0.000125,8.3e-05,8.7e-05,453.0,9758.0
2017-2-01,8.7e-05,0.000118,6.8e-05,7.9e-05,323.0,9259.0
2017-2-02,7.9e-05,8e-05,6e-05,7.1e-05,229.0,8388.0
2017-2-03,7.1e-05,9.3e-05,6.1e-05,9.3e-05,125.0,7506.0
2017-2-04,9.3e-05,0.000103,6.2e-05,9.4e-05,106.0,9841.0
2017-2-05,9.4e-05,9.4e-05,4.1e-05,7.2e-05,340.0,9957.0
2017-2-06,7.2e-05,9.3e-05,4.1e-05,9.3e-05,303.0,7632.0
2017-2-07,9.4e-05,9.5e-05,4.2e-05,6.4e-05,184.0,9925.0
2017-2-08,6.4e-05,7.5e-05,4.3e-05,6.4e-05,149.0,6758.0
2017-2-09,6.4e-05,7.6e-05,4.8e-05,6e-05,30.0,6773.0
2017-2-10,6e-05,0.000106,5.8e-05,7.9e-05,334.0,6333.0
2017-2-11,7.9e-05,0.000101,7e-05,8e-05,42.0,8387.0
2017-2-12,8e-05,0.0001,8e-05,8e-05,29.0,8511.0
2017-2-13,8e-05,8e-05,6.9e-05,6.9e-05,32.0,8472.0
2017-2-14,6.9e-05,9.1e-05,5.9e-05,8e-05,218.0,7360.0
2017-2-15,8e-05,9.1e-05,6e-05,6e-05,54.0,8534.0
2017-2-16,7.1e-05,9.2e-05,6.1e-05,6.2e-05,101.0,7478.0
2017-2-17,6.2e-05,8.4e-05,6.2e-05,6.3e-05,64.0,6527.0
2017-2-18,6.3e-05,8.5e-05,6.3e-05,6.3e-05,157.0,6674.0
2017-2-19,6.3e-05,9.5e-05,6.3e-05,7.3e-05,40.0,6709.0
2017-2-20,7.3e-05,7.4e-05,6.3e-05,6.5e-05,28.0,7783.0
2017-2-21,6.5e-05,7.8e-05,6.5e-05,6.7e-05,49.0,6865.0
2017-2-22,6.7e-05,7.8e-05,5.6e-05,5.6e-05,52.0,7091.0
2017-2-23,5.6e-05,6.9e-05,5.6e-05,5.8e-05,69.0,5923.0
2017-2-24,4.7e-05,6e-05,3.5e-05,4.7e-05,208.0,4973.0
2017-2-25,4.7e-05,5.9e-05,4.6e-05,4.6e-05,23.0,4963.0
2017-2-26,4.6e-05,8.2e-05,4.5e-05,8.2e-05,136.0,4853.0
2017-2-27,8.1e-05,8.2e-05,5.8e-05,7.1e-05,19.0,8637.0
2017-2-28,7.1e-05,7.2e-05,4.7e-05,4.7e-05,148.0,7511.0
2017-3-01,4.7e-05,6.1e-05,4.7e-05,6.1e-05,79.0,5004.0
2017-3-02,6.1e-05,6.1e-05,4.9e-05,5e-05,34.0,6492.0
2017-3-03,5e-05,6.4e-05,5e-05,5.1e-05,15.0,5304.0
2017-3-04,5.1e-05,6.3e-05,4.9e-05,6.3e-05,73.0,5417.0
2017-3-05,6.3e-05,6.3e-05,5e-05,5.1e-05,1.0,6649.0
2017-3-06,5.1e-05,6.4e-05,3.8e-05,3.8e-05,76.0,5375.0
2017-3-07,3.8e-05,7.4e-05,3.7e-05,7.3e-05,432.0,4050.0
2017-3-08,7.3e-05,7.4e-05,4.8e-05,5.8e-05,67.0,7781.0
2017-3-09,5.8e-05,5.9e-05,4.6e-05,4.8e-05,4.0,6098.0
2017-3-10,4.8e-05,6.2e-05,4.3e-05,5.6e-05,206.0,5044.0
2017-3-11,5.6e-05,5.9e-05,4.6e-05,5.9e-05,138.0,5918.0
2017-3-12,5.9e-05,7.1e-05,4.7e-05,6.1e-05,24.0,6237.0
2017-3-13,6.1e-05,7.4e-05,3.7e-05,3.7e-05,81.0,6477.0
2017-3-14,3.7e-05,6.2e-05,3.7e-05,3.7e-05,45.0,3919.0
2017-3-15,3.7e-05,6.3e-05,3.7e-05,5e-05,21.0,3944.0
2017-3-16,5e-05,6.1e-05,4.6e-05,4.8e-05,16.0,5307.0
2017-3-17,4.7e-05,4.7e-05,3.5e-05,4.4e-05,3.0,5005.0
2017-3-18,4.4e-05,4.5e-05,2.9e-05,3.9e-05,18.0,4664.0
2017-3-19,3.9e-05,5.3e-05,3e-05,4.1e-05,252.0,4142.0
2017-3-20,4.1e-05,5.3e-05,4.1e-05,4.2e-05,23.0,4399.0
2017-3-21,4.2e-05,4.5e-05,3.3e-05,3.4e-05,27.0,4476.0
2017-3-22,3.4e-05,5.4e-05,3.3e-05,4.2e-05,67.0,3564.0
2017-3-23,4.2e-05,4.2e-05,4.1e-05,4.2e-05,11.0,4453.0
2017-3-24,4.2e-05,5.2e-05,2.8e-05,2.8e-05,35.0,4404.0
2017-3-25,2.8e-05,3.9e-05,2.7e-05,3.9e-05,1.0,2979.0
2017-3-26,3.9e-05,4e-05,1.9e-05,3.9e-05,137.0,4131.0
2017-3-27,3.9e-05,5.1e-05,3.1e-05,4.2e-05,46.0,4122.0
2017-3-28,4.2e-05,5.2e-05,4.1e-05,5.2e-05,9.0,4430.0
2017-3-29,5.2e-05,5.3e-05,3.1e-05,4.2e-05,32.0,5545.0
2017-3-30,4.2e-05,4.2e-05,2.1e-05,2.1e-05,30.0,4420.0
2017-3-31,2.1e-05,3.2e-05,2.1e-05,3.2e-05,3.0,2177.0
2017-4-01,3.2e-05,3.3e-05,3.2e-05,3.3e-05,3.0,3409.0
2017-4-02,3.3e-05,3.3e-05,3.2e-05,3.3e-05,2.0,3453.0
2017-4-03,3.3e-05,4.6e-05,3.3e-05,4.6e-05,3.0,3508.0
2017-4-04,4.6e-05,5.7e-05,3.4e-05,5.7e-05,60.0,4858.0
2017-4-05,5.7e-05,5.7e-05,4.5e-05,4.5e-05,59.0,6012.0
2017-4-06,4.5e-05,4.8e-05,4.5e-05,4.7e-05,1.0,4774.0
2017-4-07,4.7e-05,5.9e-05,4.7e-05,5.9e-05,0.0,5000.0
2017-4-08,5.9e-05,5.9e-05,3.5e-05,3.5e-05,39.0,6216.0
2017-4-09,3.5e-05,3.6e-05,3.5e-05,3.6e-05,36.0,3742.0
2017-4-10,3.6e-05,4.8e-05,3.5e-05,4.7e-05,1.0,3776.0
2017-4-11,4.7e-05,4.8e-05,3.6e-05,3.6e-05,12.0,5036.0
2017-4-12,3.6e-05,6e-05,3.6e-05,3.6e-05,13.0,3832.0
2017-4-13,3.6e-05,3.6e-05,3.5e-05,3.5e-05,53.0,3820.0
2017-4-14,3.5e-05,3.6e-05,3.5e-05,3.5e-05,2.0,3722.0
2017-4-15,3.5e-05,5.9e-05,3.5e-05,4.7e-05,13.0,3713.0
2017-4-16,4.7e-05,4.7e-05,3.5e-05,4.7e-05,46.0,4973.0
2017-4-17,4.7e-05,4.8e-05,3.5e-05,4.8e-05,6.0,5018.0
2017-4-18,4.8e-05,4.9e-05,3.6e-05,3.6e-05,8.0,5063.0
2017-4-19,4.8e-05,4.9e-05,3.6e-05,4.8e-05,7.0,5140.0
2017-4-20,4.8e-05,4.8e-05,3.6e-05,3.7e-05,2.0,5136.0
2017-4-21,3.7e-05,6.1e-05,3.7e-05,6.1e-05,31.0,3910.0
2017-4-22,6.1e-05,6.1e-05,3.6e-05,3.7e-05,6.0,6482.0
2017-4-23,3.7e-05,6.1e-05,3.6e-05,4.8e-05,4.0,3918.0
2017-4-24,4.8e-05,5e-05,3.7e-05,5e-05,8.0,5130.0
2017-4-25,5e-05,5.1e-05,3.8e-05,3.8e-05,17.0,5303.0
2017-4-26,3.8e-05,5.1e-05,3.8e-05,3.8e-05,15.0,4027.0
2017-4-27,3.8e-05,5.3e-05,3.8e-05,4e-05,21.0,4077.0
