datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-6-06,2.8e-05,2.9e-05,2.7e-05,2.9e-05,4507.0,0.0
2017-6-07,2.9e-05,2.9e-05,2.6e-05,2.7e-05,7302.0,0.0
2017-6-08,2.7e-05,5.6e-05,2.6e-05,5.6e-05,59284.0,0.0
2017-6-09,5.6e-05,5.7e-05,2.8e-05,2.8e-05,30176.0,0.0
2017-6-10,2.8e-05,2.9e-05,2.8e-05,2.9e-05,6296.0,0.0
2017-6-11,2.9e-05,3e-05,2.9e-05,3e-05,1862.0,0.0
2017-6-12,3e-05,3e-05,2.5e-05,2.7e-05,1049.0,0.0
2017-6-13,2.6e-05,2.8e-05,2.6e-05,2.7e-05,903.0,0.0
2017-6-14,2.7e-05,2.8e-05,2.3e-05,2.5e-05,770.0,0.0
2017-6-15,2.5e-05,2.5e-05,2.1e-05,2.4e-05,205.0,0.0
2017-6-16,2.4e-05,2.5e-05,2.3e-05,2.5e-05,3.0,0.0
2017-6-17,2.5e-05,2.5e-05,2.5e-05,2.5e-05,252.0,0.0
2017-6-18,2.5e-05,2.5e-05,2.5e-05,2.5e-05,72.0,0.0
2017-6-19,2.5e-05,2.5e-05,2.5e-05,2.5e-05,3.0,0.0
2017-6-20,2.5e-05,2.5e-05,2.5e-05,2.5e-05,17.0,0.0
2017-6-21,2.5e-05,2.5e-05,2.5e-05,2.5e-05,58.0,0.0
2017-6-22,2.5e-05,2.5e-05,2.5e-05,2.5e-05,79.0,0.0
2017-6-23,2.5e-05,2.7e-05,2.5e-05,2.7e-05,2.0,0.0
2017-6-24,2.7e-05,2.7e-05,2.5e-05,2.6e-05,3.0,0.0
2017-6-25,2.6e-05,2.6e-05,2.4e-05,2.5e-05,1.0,0.0
2017-6-26,2.5e-05,2.6e-05,2.3e-05,2.4e-05,3.0,0.0
2017-6-27,2.4e-05,2.5e-05,2.3e-05,2.5e-05,5.0,0.0
2017-6-28,2.5e-05,2.6e-05,2.5e-05,2.6e-05,3.0,0.0
2017-6-29,2.6e-05,2.6e-05,2.5e-05,2.5e-05,1.0,0.0
2017-6-30,2.5e-05,2.5e-05,2.4e-05,2.5e-05,35.0,0.0
2017-7-01,2.5e-05,2.5e-05,2.4e-05,2.4e-05,0.0,0.0
2017-7-02,2.4e-05,2.5e-05,2.4e-05,2.5e-05,0.0,0.0
2017-7-03,2.5e-05,2.6e-05,2.5e-05,2.5e-05,6.0,0.0
2017-7-04,2.5e-05,2.6e-05,2.5e-05,2.6e-05,1.0,0.0
2017-7-05,2.6e-05,2.6e-05,2.5e-05,2.6e-05,3.0,0.0
2017-7-06,2.6e-05,2.6e-05,2.6e-05,2.6e-05,6.0,0.0
2017-7-07,2.6e-05,2.6e-05,2.5e-05,2.5e-05,2.0,0.0
2017-7-08,2.5e-05,2.5e-05,2.5e-05,2.5e-05,0.0,0.0
2017-7-09,2.5e-05,2.6e-05,2.5e-05,2.5e-05,27.0,0.0
2017-7-10,2.5e-05,2.5e-05,2.3e-05,2.3e-05,3.0,0.0
2017-7-11,2.3e-05,2.4e-05,2.3e-05,2.3e-05,5.0,0.0
2017-7-12,2.3e-05,2.4e-05,2.2e-05,2.4e-05,2.0,0.0
2017-7-13,2.4e-05,2.4e-05,2.3e-05,2.3e-05,3.0,0.0
2017-7-14,2.3e-05,2.4e-05,2.2e-05,2.2e-05,2.0,0.0
2017-7-15,2.2e-05,2.2e-05,2e-05,2e-05,2.0,0.0
2017-7-16,2e-05,2.1e-05,1.8e-05,1.9e-05,42.0,0.0
2017-7-17,1.9e-05,2.2e-05,1.9e-05,2.2e-05,7.0,0.0
2017-7-18,2.2e-05,2.4e-05,2.2e-05,2.3e-05,3.0,0.0
2017-7-19,2.3e-05,2.4e-05,2.2e-05,2.3e-05,3.0,0.0
2017-7-20,2.3e-05,2.9e-05,2.3e-05,2.8e-05,0.0,0.0
2017-7-21,2.8e-05,2.8e-05,2.6e-05,2.7e-05,1.0,0.0
2017-7-22,2.7e-05,2.9e-05,2.7e-05,2.8e-05,1.0,0.0
2017-7-23,2.8e-05,2.9e-05,2.7e-05,2.7e-05,0.0,0.0
2017-7-24,2.7e-05,2.8e-05,2.7e-05,2.8e-05,28.0,0.0
2017-7-25,2.8e-05,2.8e-05,2.5e-05,2.6e-05,1.0,0.0
2017-7-26,2.6e-05,2.6e-05,2.4e-05,2.5e-05,3.0,0.0
2017-7-27,2.5e-05,2.7e-05,2.5e-05,2.7e-05,10.0,0.0
2017-7-28,2.7e-05,2.8e-05,2.7e-05,2.8e-05,29.0,0.0
2017-7-29,2.8e-05,2.8e-05,2.7e-05,2.7e-05,1.0,0.0
2017-7-30,2.7e-05,2.7e-05,2.6e-05,2.6e-05,1.0,0.0
2017-7-31,2.7e-05,2.9e-05,2.7e-05,2.9e-05,3.0,0.0
2017-8-01,2.9e-05,2.9e-05,2.7e-05,2.7e-05,0.0,0.0
2017-8-02,2.7e-05,2.8e-05,2.7e-05,2.7e-05,0.0,0.0
2017-8-03,2.7e-05,2.8e-05,2.7e-05,2.8e-05,3.0,0.0
2017-8-04,2.8e-05,2.9e-05,2.8e-05,2.9e-05,1.0,0.0
2017-8-05,2.9e-05,3.2e-05,2.9e-05,3.2e-05,1.0,0.0
2017-8-06,3.2e-05,3.3e-05,3.2e-05,3.2e-05,6.0,0.0
2017-8-07,3.2e-05,3.3e-05,3.2e-05,3.3e-05,1.0,0.0
2017-8-09,3.3e-05,3.4e-05,3.3e-05,3.3e-05,1.0,0.0
2017-8-10,3.3e-05,3.4e-05,3.3e-05,3.4e-05,5.0,0.0
2017-8-11,3.4e-05,3.7e-05,3.4e-05,3.7e-05,6.0,0.0
2017-8-12,3.7e-05,4e-05,3.6e-05,3.9e-05,0.0,0.0
2017-8-13,3.9e-05,4.2e-05,3.9e-05,4.1e-05,1.0,0.0
2017-8-14,4.1e-05,4.3e-05,4e-05,4.3e-05,0.0,0.0
2017-8-15,4e-05,4.2e-05,4e-05,4.1e-05,1.0,0.0
2017-8-16,4.2e-05,4.4e-05,3.9e-05,4.4e-05,33.0,0.0
2017-8-17,4.4e-05,4.5e-05,4.2e-05,4.3e-05,0.0,0.0
2017-8-18,4.3e-05,4.4e-05,4.1e-05,4.1e-05,1.0,0.0
2017-8-19,4.1e-05,4.2e-05,4e-05,4.2e-05,3.0,0.0
2017-8-20,4.1e-05,4.1e-05,4e-05,4.1e-05,0.0,0.0
2017-8-21,4.1e-05,4.1e-05,4e-05,4e-05,1.0,0.0
2017-8-22,4e-05,4.1e-05,3.6e-05,4.1e-05,0.0,0.0
2017-8-23,4.1e-05,4.3e-05,4.1e-05,4.1e-05,0.0,0.0
2017-8-24,4.1e-05,4.4e-05,4.1e-05,4.3e-05,24.0,0.0
2017-8-25,4.3e-05,4.5e-05,4.3e-05,4.4e-05,54.0,0.0
2017-8-26,4.4e-05,4.4e-05,4.3e-05,4.3e-05,10.0,0.0
