datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jul 24, 2017",0.000192,0.000221,0.000163,0.000166,1289.0,169180.0
"Jul 25, 2017",0.000165,0.000194,0.000124,0.000153,1176.0,145468.0
"Jul 26, 2017",0.000154,0.000156,0.000122,0.000153,6059.0,134948.0
"Jul 27, 2017",0.000153,0.00016,0.000103,0.000133,1364.0,134792.0
"Jul 28, 2017",0.000134,0.000168,0.000109,0.000167,1143.0,117704.0
"Jul 29, 2017",0.000168,0.000168,0.000108,0.000136,1121.0,147278.0
"Jul 30, 2017",0.000136,0.000137,0.000105,0.000137,1212.0,119797.0
"Jul 31, 2017",0.000137,0.000142,0.000109,0.00012,756.0,120386.0
"Aug 01, 2017",0.000121,0.000148,0.000113,0.000115,317.0,106346.0
"Aug 02, 2017",0.000115,0.000139,0.000108,0.000108,308.0,100662.0
"Aug 03, 2017",0.000108,0.000198,0.000108,0.000144,2181.0,95250.0
"Aug 04, 2017",0.000144,0.000229,0.000143,0.000227,4920.0,126934.0
"Aug 05, 2017",0.000227,0.000251,0.000158,0.000195,908.0,199673.0
"Aug 06, 2017",0.000195,0.00023,0.000158,0.000227,1054.0,171390.0
"Aug 07, 2017",0.000226,0.000235,0.000193,0.000203,5729.0,198670.0
"Aug 08, 2017",0.000204,0.000239,0.000171,0.000206,3417.0,178963.0
"Aug 09, 2017",0.000206,0.000238,0.000169,0.000234,3348.0,180902.0
"Aug 10, 2017",0.000234,0.000241,0.000168,0.000171,3150.0,205625.0
"Aug 11, 2017",0.000171,0.000248,0.000107,0.000146,5870.0,150178.0
"Aug 12, 2017",0.000182,0.000223,0.000144,0.000193,1990.0,160222.0
"Aug 13, 2017",0.000193,0.000204,0.000159,0.000163,1610.0,169676.0
"Aug 14, 2017",0.000163,0.000216,0.000161,0.000216,1080.0,143099.0
"Aug 15, 2017",0.000217,0.000219,0.000156,0.000166,669.0,190387.0
"Aug 16, 2017",0.000166,0.000214,0.000158,0.000189,137.0,146046.0
"Aug 17, 2017",0.000189,0.000224,0.000167,0.000171,891.0,166478.0
"Aug 18, 2017",0.000171,0.000217,0.000119,0.000123,980.0,150184.0
"Aug 19, 2017",0.000123,0.000166,0.000119,0.000125,351.0,108384.0
"Aug 20, 2017",0.000124,0.000166,0.000121,0.000163,205.0,109314.0
"Aug 21, 2017",0.000162,0.000164,8.1e-05,8.1e-05,705.0,142641.0
"Aug 22, 2017",8.1e-05,0.000164,8.1e-05,0.000122,412.0,71559.0
