datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-1-01,2.2e-07,2.7e-07,8.800000000000001e-08,2.2999999999999997e-07,1.0,5170.0
2017-1-02,2.2999999999999997e-07,2.4e-07,1.8e-07,2.2999999999999997e-07,0.0,5403.0
2017-1-03,2.2999999999999997e-07,2.4e-07,1.3999999999999998e-07,1.3999999999999998e-07,0.0,5557.0
2017-1-04,1.3999999999999998e-07,1.3999999999999998e-07,1.3999999999999998e-07,1.3999999999999998e-07,0.0,3318.0
2017-1-05,1.5e-07,1.5e-07,8.500000000000001e-08,1.3e-07,0.0,3470.0
2017-1-06,1.3e-07,1.3e-07,1.2e-07,1.2e-07,3.0,3079.0
2017-1-07,1.2e-07,1.2e-07,1.1e-07,1.1e-07,3.0,2769.0
2017-1-08,1.2e-07,1.6e-07,1.2e-07,1.6e-07,1.0,2834.0
2017-1-09,1.6e-07,1.7e-07,1.6e-07,1.7e-07,0.0,3820.0
2017-1-10,1.7e-07,1.8999999999999998e-07,1.3e-07,1.3999999999999998e-07,0.0,4114.0
2017-1-11,1.3999999999999998e-07,9.4e-07,1.1e-07,1.5e-07,64.0,3293.0
2017-1-12,1.2e-07,1.6e-07,1.1e-07,1.6e-07,2.0,2759.0
2017-1-13,1.6e-07,1.6e-07,1.2e-07,1.2e-07,0.0,3789.0
2017-1-14,1.2e-07,3.1e-07,1.2e-07,1.6e-07,1.0,2790.0
2017-1-15,1.6e-07,6.699999999999999e-07,1.6e-07,2e-07,56.0,3730.0
2017-1-16,2e-07,6.699999999999999e-07,1.2e-07,1.2e-07,17.0,4692.0
2017-1-17,1.2e-07,1.2e-07,1.2e-07,1.2e-07,0.0,2799.0
2017-1-18,1.2e-07,1.2e-07,1.1e-07,1.2e-07,0.0,2825.0
2017-1-19,1.2e-07,4.2999999999999996e-07,1.1e-07,4.2e-07,45.0,2753.0
2017-1-20,4.2e-07,4.2999999999999996e-07,1.5e-07,3.8999999999999997e-07,0.0,10152.0
2017-1-21,3.8999999999999997e-07,3.8999999999999997e-07,1.2e-07,1.2e-07,0.0,9299.0
2017-1-22,1.2e-07,1.8999999999999998e-07,1.1e-07,1.8999999999999998e-07,0.0,2800.0
2017-1-23,1.8999999999999998e-07,1.8999999999999998e-07,1.1e-07,1.2e-07,0.0,4609.0
2017-1-24,1.1e-07,1.8999999999999998e-07,1.1e-07,1.5e-07,14.0,2751.0
2017-1-25,1.5e-07,2.6e-07,1.5e-07,1.5e-07,2.0,3620.0
2017-1-26,1.5e-07,1.8999999999999998e-07,1.5e-07,1.5e-07,0.0,3552.0
2017-1-27,1.5e-07,1.5e-07,1.5e-07,1.5e-07,0.0,3666.0
2017-1-28,1.5e-07,1.8999999999999998e-07,1.5e-07,1.5e-07,0.0,3687.0
2017-1-29,1.5e-07,1.8999999999999998e-07,1.2e-07,1.8999999999999998e-07,32.0,3684.0
2017-1-30,1.8999999999999998e-07,1.8999999999999998e-07,1.2e-07,1.2e-07,0.0,4604.0
2017-1-31,1.2e-07,2e-07,8.1e-08,8.1e-08,9.0,2884.0
2017-2-01,8.1e-08,2e-07,8.1e-08,8.1e-08,121.0,1950.0
2017-2-02,8.1e-08,1.2e-07,4e-08,8.199999999999999e-08,115.0,1948.0
2017-2-03,8.199999999999999e-08,1.6e-07,8.1e-08,8.199999999999999e-08,57.0,1951.0
2017-2-04,8.199999999999999e-08,1.2e-07,8e-08,8.1e-08,0.0,1953.0
2017-2-05,8.1e-08,1.2e-07,8e-08,8.1e-08,159.0,1944.0
2017-2-06,8.1e-08,8.199999999999999e-08,8.1e-08,8.1e-08,72.0,1940.0
2017-2-07,8.1e-08,1.2e-07,4.0999999999999997e-08,9.7e-08,188.0,1938.0
2017-2-08,9.6e-08,1.2e-07,7.8e-08,1.2e-07,28.0,2308.0
2017-2-09,1.2e-07,1.2e-07,5.1e-08,5.3e-08,18.0,2790.0
2017-2-10,5.2e-08,5.3e-08,3.9e-08,3.9e-08,0.0,1246.0
2017-2-11,3.9e-08,1.1e-07,3.9e-08,7.5e-08,9.0,930.0
2017-2-12,7.5e-08,1.1e-07,5.7999999999999997e-08,5.9000000000000006e-08,3.0,1797.0
2017-2-13,5.9000000000000006e-08,7.8e-08,5.1e-08,7.7e-08,11.0,1409.0
2017-2-14,7.7e-08,7.7e-08,4.0999999999999997e-08,5.2e-08,0.0,1837.0
2017-2-15,5.2e-08,9.9e-08,5.2e-08,9.9e-08,0.0,1244.0
2017-2-16,9.9e-08,9.9e-08,7.5e-08,7.599999999999999e-08,0.0,2372.0
2017-2-17,7.599999999999999e-08,7.8e-08,7.5e-08,7.7e-08,0.0,1820.0
2017-2-20,1e-07,1e-07,7.5e-08,7.599999999999999e-08,5.0,2467.0
2017-2-21,7.599999999999999e-08,1.1e-07,3.9e-08,4e-08,19.0,1811.0
2017-2-22,4e-08,1.1e-07,3.9e-08,7.4e-08,28.0,960.0
2017-2-23,7.3e-08,1.2e-07,4e-08,1.2e-07,36.0,1756.0
2017-2-24,1.1e-07,1.2e-07,7.3e-08,7.3e-08,20.0,2746.0
2017-2-25,7.3e-08,1.5e-07,4.3e-08,7.3e-08,16.0,1739.0
2017-2-26,7.3e-08,1.5e-07,4.0999999999999997e-08,7.599999999999999e-08,38.0,1752.0
2017-2-27,7.599999999999999e-08,7.599999999999999e-08,7.3e-08,7.599999999999999e-08,378.0,1822.0
2017-2-28,7.599999999999999e-08,7.599999999999999e-08,7.5e-08,7.5e-08,9.0,1818.0
2017-3-01,7.5e-08,7.599999999999999e-08,3.7999999999999996e-08,3.7999999999999996e-08,629.0,1799.0
2017-3-02,3.7999999999999996e-08,5.7e-08,3.7e-08,3.9e-08,21.0,908.0
2017-3-03,3.9e-08,4e-08,3.7999999999999996e-08,3.9e-08,17.0,922.0
2017-3-04,3.9e-08,4.8e-08,3.9e-08,4.8e-08,1.0,929.0
2017-3-05,4.7000000000000004e-08,1e-06,4.5e-08,5e-08,3.0,1122.0
2017-3-06,5.1e-08,5.1e-08,4.5999999999999995e-08,4.5999999999999995e-08,1.0,1215.0
2017-3-07,4.7000000000000004e-08,5.2e-08,3.3e-08,3.7e-08,5.0,1118.0
2017-3-08,3.7e-08,4.0999999999999997e-08,3.0000000000000004e-08,3.0000000000000004e-08,1.0,879.0
2017-3-09,3.0000000000000004e-08,3.4e-08,3.0000000000000004e-08,3.1e-08,1.0,726.0
2017-3-10,3.1e-08,3.2e-08,2.8999999999999998e-08,3.0000000000000004e-08,0.0,736.0
2017-3-11,3.0000000000000004e-08,3.1e-08,2.8999999999999998e-08,3.1e-08,0.0,717.0
2017-3-12,3.1e-08,4.4000000000000004e-08,3.1e-08,3.3e-08,1.0,743.0
2017-3-13,3.4e-08,1.3e-07,3.3e-08,4.2000000000000006e-08,210.0,812.0
2017-3-14,4.2000000000000006e-08,4.9e-08,3.7e-08,4e-08,6.0,997.0
2017-3-15,4e-08,1e-07,3.7999999999999996e-08,4e-08,11.0,970.0
2017-3-16,4e-08,5.400000000000001e-08,3.6000000000000005e-08,3.6000000000000005e-08,1.0,958.0
2017-3-17,3.6000000000000005e-08,1e-07,3.2e-08,3.3e-08,3.0,866.0
2017-3-18,3.3e-08,9.6e-08,3.1e-08,3.7999999999999996e-08,27.0,791.0
2017-3-19,3.7999999999999996e-08,1.2e-07,3.7999999999999996e-08,8e-08,69.0,900.0
2017-3-20,7.9e-08,1.1e-07,3.6000000000000005e-08,3.7e-08,14.0,1899.0
2017-3-21,3.6000000000000005e-08,7.7e-08,3.5e-08,3.9e-08,65.0,852.0
2017-3-22,3.9e-08,3.9e-08,2.5e-08,2.8999999999999998e-08,13.0,926.0
2017-3-23,2.8999999999999998e-08,4.8e-08,2.4e-08,2.4e-08,6.0,695.0
2017-3-24,2.4e-08,3.1e-08,2.2999999999999998e-08,2.6e-08,10.0,579.0
2017-3-25,2.6e-08,5e-08,1.3e-08,4.7000000000000004e-08,15.0,632.0
2017-3-26,4.7000000000000004e-08,4.7000000000000004e-08,2.1000000000000003e-08,2.1000000000000003e-08,4.0,1122.0
2017-3-27,2.2000000000000002e-08,5.1e-08,1.8000000000000002e-08,2.8999999999999998e-08,10.0,517.0
2017-3-28,2.8999999999999998e-08,3.4e-08,1.8999999999999998e-08,2e-08,0.0,698.0
2017-3-29,1.8999999999999998e-08,6.1e-08,1.8999999999999998e-08,5.9000000000000006e-08,3.0,464.0
2017-3-30,6.1e-08,1.3e-07,5.7999999999999997e-08,1.3e-07,0.0,1462.0
2017-3-31,1.3e-07,1.3e-07,6.5e-08,7.200000000000001e-08,0.0,3093.0
2017-4-01,7.3e-08,1.3e-07,7e-08,1e-07,0.0,1747.0
2017-4-02,1e-07,1.2e-07,5.9000000000000006e-08,7.7e-08,0.0,2466.0
2017-4-03,7.3e-08,1.6e-07,6.4e-08,1.3999999999999998e-07,0.0,1755.0
2017-4-04,1.3999999999999998e-07,1.7e-07,1.3999999999999998e-07,1.5e-07,0.0,3461.0
2017-4-05,1.5e-07,1.5e-07,1.3999999999999998e-07,1.5e-07,0.0,3549.0
2017-4-06,1.6e-07,1.6e-07,1.5e-07,1.5e-07,0.0,3803.0
2017-4-07,1.5e-07,1.5e-07,9.400000000000001e-08,9.400000000000001e-08,2.0,3695.0
2017-4-08,9.300000000000001e-08,1.2e-07,9.300000000000001e-08,1.2e-07,0.0,2232.0
2017-4-09,1.2e-07,1.3e-07,1e-07,1.3e-07,1.0,2946.0
2017-4-10,1.3e-07,1.3e-07,1e-07,1.1e-07,0.0,3033.0
2017-4-11,1.1e-07,1.2e-07,6.5e-08,1.2e-07,0.0,2536.0
2017-4-12,1.2e-07,5.5e-07,1.2e-07,5.4e-07,51.0,2878.0
2017-4-13,5.4e-07,5.4e-07,9.8e-08,1e-07,26.0,12892.0
2017-4-14,1e-07,1.3e-07,9.8e-08,1.3e-07,0.0,2396.0
