datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-1-01,0.001311,0.001996,0.001308,0.001986,0.0,31837.0
2017-1-02,0.001987,0.001988,0.001389,0.001962,1.0,48256.0
2017-1-03,0.001962,0.001987,0.001764,0.001796,3.0,47651.0
2017-1-04,0.001795,0.001905,0.001795,0.001886,1.0,44347.0
2017-1-05,0.002087,0.00212,0.001539,0.001708,1.0,51541.0
2017-1-06,0.001713,0.001782,0.001566,0.001741,0.0,42302.0
2017-1-07,0.001744,0.001752,0.001476,0.001535,2.0,43071.0
2017-1-08,0.001536,0.001649,0.001269,0.001283,1.0,37928.0
2017-1-09,0.001285,0.001615,0.00125,0.001608,0.0,31735.0
2017-1-10,0.001607,0.00165,0.001604,0.001643,2.0,39694.0
2017-1-11,0.001643,0.001664,0.001381,0.001434,0.0,40580.0
2017-1-12,0.001515,0.001652,0.001505,0.001611,13.0,37428.0
2017-1-13,0.00161,0.002901,0.00156,0.00288,1.0,39759.0
2017-1-14,0.002884,0.002923,0.00156,0.001572,1.0,71234.0
2017-1-15,0.001571,0.001581,0.001561,0.001568,1.0,38813.0
2017-1-16,0.001586,0.001611,0.001583,0.001604,0.0,39178.0
2017-1-17,0.001605,0.001727,0.001603,0.001709,0.0,39640.0
2017-1-18,0.00141,0.001695,0.00141,0.001695,1.0,34835.0
2017-1-19,0.001702,0.001737,0.001698,0.001727,0.0,42048.0
2017-1-20,0.001726,0.001726,0.001703,0.00172,0.0,42638.0
2017-1-21,0.003214,0.003246,0.003208,0.003226,0.0,79388.0
2017-1-22,0.003226,0.003281,0.001739,0.001773,0.0,79689.0
2017-1-23,0.001775,0.0024,0.00176,0.001997,2.0,43852.0
2017-1-24,0.001996,0.001996,0.001527,0.001711,19.0,49295.0
2017-1-25,0.001712,0.005529,0.00171,0.005529,13.0,42278.0
2017-1-26,0.00553,0.005809,0.001806,0.001808,4.0,136601.0
2017-1-27,0.001808,0.002114,0.001804,0.002107,188.0,44649.0
2017-1-28,0.002107,0.030787,0.002107,0.024125,164.0,52041.0
2017-1-29,0.024124,0.024153,0.002228,0.002229,7.0,595871.0
2017-1-30,0.002228,0.002537,0.002228,0.002283,53.0,55044.0
2017-1-31,0.002283,0.003287,0.00228,0.002964,60.0,56380.0
2017-2-01,0.002963,0.003073,0.001658,0.001672,285.0,73194.0
2017-2-02,0.001671,0.002574,0.001662,0.00253,11.0,41285.0
2017-2-03,0.002529,0.002867,0.002105,0.002867,11.0,62458.0
2017-2-04,0.002871,0.004485,0.00273,0.002931,44.0,70904.0
2017-2-05,0.002933,0.002933,0.002022,0.002639,150.0,72436.0
2017-2-06,0.002642,0.004665,0.002425,0.003208,418.0,65258.0
2017-2-07,0.003197,0.003206,0.00223,0.002249,62.0,78973.0
2017-2-08,0.002231,0.0026,0.002231,0.002498,26.0,55103.0
2017-2-09,0.002502,0.002603,0.001954,0.002088,16.0,61801.0
2017-2-10,0.002091,0.002166,0.001912,0.002155,1.0,51644.0
2017-2-11,0.002156,0.002198,0.002143,0.00218,0.0,53249.0
2017-2-12,0.002178,0.00218,0.002036,0.002168,5.0,53788.0
2017-2-13,0.002168,0.002629,0.002126,0.002154,6.0,53540.0
2017-2-14,0.002157,0.002195,0.001781,0.001788,5.0,53275.0
2017-2-15,0.001791,0.001995,0.001791,0.001813,6.0,44239.0
2017-2-16,0.001814,0.002238,0.001814,0.002226,6.0,44801.0
2017-2-17,0.002223,0.002469,0.001825,0.002302,50.0,54902.0
2017-2-18,0.002308,0.00413,0.002286,0.004107,8.0,57015.0
2017-2-19,0.004108,0.004511,0.004092,0.004508,4.0,101467.0
2017-2-20,0.001886,0.001925,0.001886,0.001925,6.0,46577.0
2017-2-21,0.001923,0.002395,0.001909,0.002391,6.0,47506.0
2017-2-22,0.00239,0.003882,0.002328,0.003581,43.0,59039.0
2017-2-23,0.003581,0.004348,0.003001,0.003042,5.0,88450.0
2017-2-24,0.003058,0.005402,0.00215,0.002606,5.0,75534.0
2017-2-25,0.002598,0.004871,0.002594,0.004612,72.0,64179.0
2017-2-26,0.004613,0.004613,0.002797,0.002797,15.0,113948.0
2017-2-27,0.002794,0.003014,0.002119,0.002124,11.0,69002.0
2017-2-28,0.002125,0.006863,0.002109,0.005205,23.0,52497.0
2017-3-01,0.005205,0.005848,0.003964,0.005817,351.0,128570.0
2017-3-02,0.005828,0.005933,0.004408,0.005529,287.0,143948.0
2017-3-03,0.005666,0.005719,0.004414,0.004753,266.0,139945.0
2017-3-04,0.005152,0.005521,0.004393,0.004987,301.0,127252.0
2017-3-05,0.004835,0.005703,0.004368,0.005451,665.0,119418.0
2017-3-06,0.0051,0.005803,0.00455,0.005678,671.0,125978.0
2017-3-07,0.00568,0.00568,0.004232,0.004867,428.0,140290.0
2017-3-08,0.004865,0.005059,0.003827,0.003833,333.0,120174.0
2017-3-09,0.003835,0.004779,0.003788,0.004347,342.0,94717.0
2017-3-10,0.004338,0.005057,0.003868,0.004255,470.0,107148.0
2017-3-11,0.004253,0.004551,0.003563,0.003565,268.0,105055.0
2017-3-12,0.003567,0.004798,0.003431,0.004592,303.0,88110.0
2017-3-13,0.004594,0.007171,0.004274,0.006144,670.0,113461.0
2017-3-14,0.005264,0.00663,0.004296,0.004535,619.0,130025.0
2017-3-15,0.004767,0.005949,0.004341,0.005122,618.0,117751.0
2017-3-16,0.005128,0.005784,0.004023,0.004334,478.0,126664.0
2017-3-17,0.005314,0.005435,0.003672,0.003736,494.0,131249.0
2017-3-18,0.003734,0.005007,0.003237,0.003466,251.0,92237.0
2017-3-19,0.003476,0.004722,0.003311,0.003909,473.0,85869.0
2017-3-20,0.003734,0.004624,0.003643,0.003964,593.0,92232.0
2017-3-21,0.004031,0.004728,0.003861,0.003939,497.0,99561.0
