datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jan 01, 2017",0.000112,0.000214,0.000108,0.000196,5.0,0.0
"Jan 02, 2017",0.000196,0.000202,0.000112,0.000124,4.0,0.0
"Jan 03, 2017",0.000124,0.000237,0.000122,0.000237,7.0,0.0
"Jan 04, 2017",0.000237,0.000389,0.000228,0.000287,30.0,0.0
"Jan 05, 2017",0.000287,0.000336,0.000125,0.000136,9.0,0.0
"Jan 06, 2017",0.000137,0.000207,0.000121,0.00013,12.0,0.0
"Jan 07, 2017",0.00013,0.000229,0.00012,0.000159,28.0,0.0
"Jan 08, 2017",0.000159,0.00018,0.00013,0.000131,10.0,0.0
"Jan 09, 2017",0.000131,0.000195,0.000129,0.000195,17.0,0.0
"Jan 10, 2017",0.000194,0.000202,0.000136,0.000201,19.0,0.0
"Jan 11, 2017",0.000201,0.000203,0.000122,0.000122,5.0,0.0
"Jan 12, 2017",0.000121,0.000196,0.000116,0.000167,13.0,0.0
"Jan 13, 2017",0.000167,0.000671,0.000161,0.000199,89.0,0.0
"Jan 14, 2017",0.0002,0.000537,0.000156,0.000348,45.0,0.0
"Jan 15, 2017",0.000348,0.000522,0.000202,0.000209,13.0,0.0
"Jan 16, 2017",0.000209,0.00026,0.000193,0.000259,7.0,0.0
"Jan 17, 2017",0.000259,0.000381,0.000177,0.000205,12.0,0.0
"Jan 18, 2017",0.000205,0.00021,0.000186,0.000196,10.0,0.0
"Jan 19, 2017",0.000196,0.000274,0.00018,0.00018,6.0,0.0
"Jan 20, 2017",0.00018,0.000288,0.00017,0.000266,15.0,0.0
"Jan 21, 2017",0.000266,0.000267,0.000173,0.000175,8.0,0.0
"Jan 22, 2017",0.000175,0.000296,0.000175,0.000191,7.0,0.0
"Jan 23, 2017",0.000191,0.000541,0.000176,0.000526,92.0,0.0
"Jan 24, 2017",0.00052,0.000528,0.000225,0.0004,784.0,0.0
"Jan 25, 2017",0.000399,0.000706,0.000312,0.000673,471.0,0.0
"Jan 26, 2017",0.000674,0.000702,0.00035,0.000595,107.0,0.0
"Jan 27, 2017",0.000595,0.000733,0.000471,0.000476,84.0,0.0
"Jan 28, 2017",0.000476,0.000686,0.000476,0.000653,98.0,0.0
"Jan 29, 2017",0.000653,0.000674,0.000477,0.000674,80.0,0.0
"Jan 30, 2017",0.000674,0.000675,0.000533,0.000628,46.0,0.0
"Jan 31, 2017",0.000628,0.00075,0.000569,0.000749,205.0,0.0
"Feb 01, 2017",0.000749,0.000753,0.000629,0.000639,51.0,0.0
"Feb 02, 2017",0.00064,0.000785,0.00064,0.000713,130.0,0.0
"Feb 03, 2017",0.000712,0.000903,0.00071,0.000903,143.0,0.0
"Feb 04, 2017",0.000904,0.001345,0.000794,0.000911,418.0,0.0
"Feb 05, 2017",0.000912,0.000949,0.000827,0.000888,34.0,0.0
"Feb 06, 2017",0.000889,0.001035,0.000874,0.001035,590.0,0.0
"Feb 07, 2017",0.001037,0.001037,0.000878,0.00091,300.0,0.0
"Feb 08, 2017",0.000911,0.000942,0.000546,0.00059,160.0,0.0
"Feb 09, 2017",0.000591,0.001074,0.000346,0.000565,4254.0,0.0
"Feb 10, 2017",0.000565,0.001237,0.000544,0.001065,342.0,0.0
"Feb 11, 2017",0.001066,0.001543,0.000642,0.001526,356.0,0.0
"Feb 12, 2017",0.001525,0.001525,0.000884,0.00092,111.0,0.0
"Feb 13, 2017",0.00092,0.00103,0.000854,0.00092,106.0,0.0
"Feb 14, 2017",0.000921,0.000976,0.000917,0.000949,143.0,7885.0
"Feb 15, 2017",0.00095,0.000956,0.0009,0.000901,59.0,8237.0
"Feb 16, 2017",0.000901,0.000961,0.000899,0.000945,79.0,7872.0
"Feb 17, 2017",0.000944,0.001136,0.000937,0.001107,195.0,8335.0
"Feb 18, 2017",0.001111,0.001327,0.000945,0.001006,1235.0,9899.0
"Feb 19, 2017",0.001006,0.001185,0.000972,0.001058,130.0,9048.0
"Feb 20, 2017",0.001059,0.00106,0.000811,0.000854,80.0,9617.0
"Feb 21, 2017",0.000853,0.001307,0.000847,0.000958,213.0,7847.0
"Feb 22, 2017",0.000957,0.001314,0.000937,0.000947,84.0,8925.0
"Feb 23, 2017",0.000947,0.00096,0.000485,0.000527,43.0,8925.0
"Feb 24, 2017",0.00053,0.000866,0.000525,0.000866,97.0,5058.0
"Feb 25, 2017",0.000864,0.001021,0.000833,0.000838,13.0,8336.0
"Feb 26, 2017",0.000838,0.000853,0.000818,0.000851,11.0,8188.0
"Feb 27, 2017",0.00085,0.000978,0.000819,0.000892,11.0,8397.0
"Feb 28, 2017",0.000893,0.001136,0.000886,0.001134,9.0,8855.0
"Mar 01, 2017",0.001134,0.001137,0.000328,0.000876,344.0,11250.0
"Mar 02, 2017",0.000878,0.000878,0.000508,0.000675,335.0,8708.0
"Mar 03, 2017",0.000768,0.00078,0.000507,0.000612,2329.0,7623.0
"Mar 04, 2017",0.000625,0.000651,0.000503,0.000503,1555.0,6204.0
"Mar 05, 2017",0.000503,0.00091,0.00049,0.000836,5552.0,4988.0
"Mar 06, 2017",0.000672,0.001,0.000493,0.00074,3890.0,6663.0
"Mar 07, 2017",0.000741,0.001539,0.000552,0.000553,2562.0,7347.0
"Mar 08, 2017",0.000553,0.001362,0.000551,0.000621,2688.0,5483.0
"Mar 09, 2017",0.000621,0.000891,0.000591,0.000796,3378.0,6163.0
"Mar 10, 2017",0.000797,0.000926,0.000719,0.000782,4899.0,7905.0
"Mar 11, 2017",0.000781,0.00095,0.000768,0.000812,1948.0,7751.0
"Mar 12, 2017",0.000812,0.001068,0.000811,0.00106,5642.0,8056.0
"Mar 13, 2017",0.00106,0.00107,0.000866,0.000924,5963.0,10514.0
"Mar 14, 2017",0.000899,0.001723,0.000874,0.001314,11983.0,8920.0
"Mar 15, 2017",0.001314,0.001612,0.000806,0.001165,9957.0,13033.0
"Mar 16, 2017",0.001167,0.001443,0.000926,0.000975,6412.0,11575.0
"Mar 17, 2017",0.000967,0.001135,0.000868,0.000924,5646.0,9597.0
"Mar 18, 2017",0.000924,0.001068,0.000692,0.00072,3363.0,9161.0
"Mar 19, 2017",0.000722,0.000826,0.00051,0.000684,4073.0,7159.0
"Mar 20, 2017",0.000705,0.000752,0.000562,0.00057,3959.0,6994.0
"Mar 21, 2017",0.00057,0.000605,0.000546,0.000594,1777.0,5659.0
"Mar 22, 2017",0.000594,0.001525,0.000551,0.001262,10487.0,5892.0
"Mar 23, 2017",0.001256,0.002146,0.001051,0.001403,3880.0,12463.0
"Mar 24, 2017",0.001315,0.004641,0.001125,0.002333,26523.0,13043.0
"Mar 25, 2017",0.002427,0.003044,0.001451,0.002604,22568.0,24076.0
"Mar 26, 2017",0.002554,0.005591,0.002293,0.002421,6528.0,25330.0
"Mar 27, 2017",0.00243,0.003841,0.002259,0.003838,2718.0,24106.0
"Mar 28, 2017",0.003834,0.004634,0.002546,0.004474,4470.0,38035.0
"Mar 29, 2017",0.00447,0.006185,0.003088,0.004722,5859.0,44336.0
"Mar 30, 2017",0.004732,0.005022,0.003846,0.004054,735.0,46939.0
"Mar 31, 2017",0.004054,0.005012,0.003794,0.003801,534.0,40218.0
"Apr 01, 2017",0.003801,0.006852,0.00365,0.003772,1550.0,37706.0
"Apr 02, 2017",0.003773,0.008215,0.003773,0.004302,3013.0,37422.0
"Apr 03, 2017",0.004305,0.00767,0.004305,0.006181,1159.0,42704.0
"Apr 04, 2017",0.00619,0.007961,0.004706,0.004772,1648.0,61402.0
"Apr 05, 2017",0.004776,0.006534,0.00474,0.004895,1836.0,47371.0
"Apr 06, 2017",0.0049,0.005585,0.004335,0.004486,1418.0,48609.0
"Apr 07, 2017",0.004471,0.005242,0.00405,0.004056,379.0,44354.0
"Apr 08, 2017",0.004041,0.004125,0.004008,0.004078,288.0,40089.0
"Apr 09, 2017",0.004081,0.004241,0.004072,0.004105,461.0,40480.0
"Apr 10, 2017",0.004103,0.00432,0.004056,0.00416,448.0,40695.0
"Apr 11, 2017",0.004162,0.005861,0.003083,0.003939,1463.0,41281.0
"Apr 12, 2017",0.003938,0.005878,0.00389,0.003985,682.0,39064.0
"Apr 13, 2017",0.003987,0.007935,0.003017,0.005202,1567.0,39547.0
"Apr 14, 2017",0.005207,0.009316,0.004944,0.005094,3347.0,51651.0
"Apr 15, 2017",0.005093,0.009359,0.005014,0.005232,3982.0,50523.0
"Apr 16, 2017",0.005232,0.014056,0.005232,0.008333,3097.0,51901.0
"Apr 17, 2017",0.009366,0.013845,0.006113,0.008945,4080.0,92903.0
"Apr 18, 2017",0.008944,0.017887,0.00837,0.016081,10239.0,88724.0
"Apr 19, 2017",0.016133,0.034795,0.014265,0.029898,50354.0,160027.0
"Apr 20, 2017",0.034184,0.034328,0.015143,0.015658,21616.0,339089.0
"Apr 21, 2017",0.01567,0.024309,0.01567,0.016817,6837.0,155436.0
"Apr 22, 2017",0.016822,0.022796,0.014928,0.015107,6417.0,166868.0
"Apr 23, 2017",0.015109,0.021486,0.010157,0.013051,4837.0,149872.0
"Apr 24, 2017",0.013079,0.018028,0.010026,0.012259,3507.0,129734.0
"Apr 25, 2017",0.012239,0.017017,0.010042,0.012405,2673.0,121405.0
"Apr 26, 2017",0.01241,0.017127,0.011006,0.011937,3194.0,123104.0
"Apr 27, 2017",0.011944,0.014386,0.010652,0.011479,2431.0,118479.0
"Apr 28, 2017",0.011192,0.013193,0.009933,0.010672,847.0,111020.0
"Apr 29, 2017",0.010683,0.01404,0.009266,0.010305,4044.0,105969.0
"Apr 30, 2017",0.010306,0.010953,0.009186,0.009446,790.0,102226.0
"May 01, 2017",0.009449,0.01115,0.008816,0.008848,1360.0,93732.0
"May 02, 2017",0.008845,0.009183,0.007988,0.008127,1235.0,87735.0
"May 03, 2017",0.008146,0.008164,0.005947,0.006049,908.0,80809.0
"May 04, 2017",0.006051,0.012296,0.004974,0.006177,1255.0,60025.0
"May 05, 2017",0.00619,0.011245,0.005698,0.005847,951.0,61403.0
"May 06, 2017",0.005852,0.010194,0.005835,0.007679,518.0,58049.0
"May 07, 2017",0.007683,0.015541,0.007587,0.012361,2285.0,76209.0
"May 08, 2017",0.012362,0.016334,0.009493,0.013786,834.0,122627.0
"May 09, 2017",0.01379,0.016699,0.01012,0.010314,2917.0,136793.0
"May 10, 2017",0.010321,0.010344,0.007015,0.007811,1554.0,102376.0
"May 11, 2017",0.007825,0.008604,0.007016,0.007291,359.0,77616.0
"May 12, 2017",0.007298,0.008021,0.00536,0.00536,593.0,72397.0
"May 13, 2017",0.005349,0.006411,0.005055,0.005667,219.0,53061.0
"May 14, 2017",0.005685,0.008052,0.005133,0.008052,2020.0,56391.0
"May 15, 2017",0.008058,0.00807,0.005608,0.00624,723.0,79930.0
"May 16, 2017",0.006231,0.007058,0.006099,0.006273,168.0,61804.0
"May 17, 2017",0.006271,0.009473,0.006255,0.009365,708.0,62207.0
"May 18, 2017",0.00936,0.014881,0.007232,0.007285,179.0,92845.0
"May 19, 2017",0.007289,0.007929,0.007277,0.007608,234.0,72305.0
"May 20, 2017",0.0076,0.014944,0.005905,0.010195,34582.0,75384.0
"May 21, 2017",0.010135,0.010833,0.006942,0.007104,2002.0,100534.0
"May 22, 2017",0.00713,0.008911,0.007071,0.00884,302.0,70730.0
"May 23, 2017",0.008827,0.009986,0.007615,0.008128,852.0,87558.0
"May 24, 2017",0.008137,0.009704,0.007739,0.008229,538.0,80719.0
"May 25, 2017",0.008214,0.00905,0.005701,0.005788,1521.0,81474.0
"May 26, 2017",0.005746,0.012072,0.005684,0.006898,456.0,56994.0
"May 27, 2017",0.006921,0.009052,0.00541,0.006203,157.0,68649.0
"May 28, 2017",0.00624,0.008722,0.006155,0.007561,144.0,61902.0
