datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-1-01,7.7e-05,9e-05,7.7e-05,9e-05,1.0,0.0
2017-1-02,9e-05,0.000124,9e-05,0.000123,15.0,0.0
2017-1-03,0.000123,0.000124,9.2e-05,0.000104,13.0,0.0
2017-1-04,0.000104,0.000126,9.6e-05,0.000104,24.0,0.0
2017-1-05,0.000104,0.000181,8.2e-05,0.000142,29.0,0.0
2017-1-06,0.000142,0.000147,8.9e-05,9e-05,4.0,0.0
2017-1-07,9e-05,0.000127,8.2e-05,9.1e-05,6.0,0.0
2017-1-08,9.1e-05,0.000129,9e-05,0.000127,1.0,0.0
2017-1-09,0.000128,0.000181,9.8e-05,0.000181,54.0,0.0
2017-1-10,0.00018,0.000183,0.000126,0.000145,3.0,0.0
2017-1-11,0.000145,0.000145,0.000107,0.000109,1.0,0.0
2017-1-12,0.000109,0.000124,9.1e-05,0.000121,12.0,0.0
2017-1-13,0.000121,0.000133,0.000117,0.000132,0.0,0.0
2017-1-14,0.000132,0.000134,0.000106,0.000131,16.0,0.0
2017-1-15,0.000131,0.000132,0.000106,0.000115,2.0,0.0
2017-1-16,0.000115,0.000125,0.000115,0.000125,0.0,0.0
2017-1-17,0.000125,0.000136,0.00012,0.000127,3.0,0.0
2017-1-18,0.000127,0.000554,0.000125,0.000266,593.0,0.0
2017-1-19,0.000266,0.000266,0.000141,0.000144,141.0,0.0
2017-1-20,0.000144,0.000278,0.000116,0.000251,382.0,0.0
2017-1-21,0.000251,0.000251,0.000165,0.000166,4.0,0.0
2017-1-22,0.000166,0.000168,0.000126,0.000148,17.0,0.0
2017-1-23,0.000148,0.000231,0.000147,0.000157,2.0,0.0
2017-1-24,0.000146,0.000148,0.000143,0.000143,2.0,0.0
2017-1-25,0.000143,0.000207,0.000143,0.000153,2.0,0.0
2017-1-26,0.000153,0.000229,0.000153,0.000229,121.0,0.0
2017-1-27,0.000229,0.000231,0.000156,0.000156,32.0,0.0
2017-1-28,0.000156,0.000157,0.000129,0.000157,6.0,0.0
2017-1-29,0.000157,0.000221,0.000111,0.000184,210.0,0.0
2017-1-30,0.000184,0.000194,0.000166,0.000193,0.0,0.0
2017-1-31,0.000193,0.000233,0.000184,0.000184,14.0,0.0
2017-2-01,0.000184,0.000218,0.000184,0.000218,1.0,0.0
2017-2-02,0.000218,0.000222,0.000208,0.000212,2.0,0.0
2017-2-03,0.000212,0.000227,0.000192,0.000206,4.0,0.0
2017-2-04,0.000206,0.000209,0.000203,0.000209,0.0,0.0
2017-2-05,0.000209,0.000413,0.000204,0.000205,215.0,0.0
2017-2-06,0.000206,0.000343,0.000206,0.000239,10.0,0.0
2017-2-07,0.000239,0.00034,0.000239,0.00034,3.0,0.0
2017-2-08,0.00034,0.000345,0.000189,0.000202,19.0,0.0
2017-2-09,0.000202,0.000334,0.000202,0.000288,508.0,0.0
2017-2-10,0.000289,0.000305,0.000275,0.000287,7.0,0.0
2017-2-11,0.000287,0.000292,0.000285,0.000292,1.0,0.0
2017-2-12,0.00022,0.00027,0.00021,0.00027,4.0,0.0
2017-2-13,0.00027,0.00027,0.000205,0.000208,1.0,0.0
2017-2-14,0.000208,0.000211,0.000208,0.000211,3.0,0.0
2017-2-15,0.000211,0.000272,0.00021,0.000272,6.0,0.0
2017-2-16,0.000272,0.000275,0.000185,0.000185,7.0,0.0
