datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Feb 08, 2017",0.00048,0.00048,0.000478,0.000478,7241.0,0.0
"Feb 09, 2017",0.00082,0.003756,0.000385,0.000477,92505.0,0.0
"Feb 10, 2017",0.000478,0.000478,0.000159,0.000168,37092.0,0.0
"Feb 11, 2017",0.000168,0.000279,0.000153,0.000181,24055.0,0.0
"Feb 12, 2017",0.000181,0.00019,0.0001,0.00015,39285.0,0.0
"Feb 13, 2017",0.00014,0.000179,0.000109,0.000119,41895.0,0.0
"Feb 14, 2017",0.000119,0.00012,7.9e-05,9e-05,20148.0,0.0
"Feb 15, 2017",9.1e-05,0.000121,8e-05,0.000111,9223.0,0.0
"Feb 16, 2017",0.000111,0.000143,0.000103,0.000123,9048.0,0.0
"Feb 17, 2017",0.000123,0.000123,9.4e-05,0.000117,7216.0,0.0
"Feb 18, 2017",0.000108,0.000118,8.5e-05,9.5e-05,8944.0,0.0
"Feb 19, 2017",9.5e-05,0.000137,8.4e-05,9.4e-05,23906.0,0.0
"Feb 20, 2017",9.4e-05,0.000106,8.4e-05,8.6e-05,16601.0,0.0
"Feb 21, 2017",8.6e-05,0.000101,6.5e-05,9.1e-05,7387.0,0.0
"Feb 22, 2017",9.1e-05,9.2e-05,5.6e-05,6.7e-05,11252.0,0.0
"Feb 23, 2017",6.7e-05,6.9e-05,4.5e-05,5.8e-05,2326.0,0.0
"Feb 24, 2017",5.9e-05,7.2e-05,4.7e-05,5.9e-05,653.0,0.0
"Feb 25, 2017",5.9e-05,7e-05,4.5e-05,5.7e-05,1043.0,0.0
"Feb 26, 2017",5.7e-05,6.5e-05,4.5e-05,6e-05,1046.0,0.0
"Feb 27, 2017",6e-05,7.1e-05,4.7e-05,5.9e-05,1555.0,0.0
"Feb 28, 2017",5.9e-05,7.1e-05,4.7e-05,5.2e-05,922.0,0.0
"Mar 01, 2017",5.2e-05,6.3e-05,4.9e-05,5e-05,1217.0,0.0
"Mar 02, 2017",5e-05,7.5e-05,5e-05,6.3e-05,2418.0,0.0
"Mar 03, 2017",6.3e-05,8.1e-05,5.1e-05,7e-05,341.0,0.0
"Mar 04, 2017",7e-05,8.2e-05,5.3e-05,6.4e-05,915.0,0.0
"Mar 05, 2017",6.4e-05,6.7e-05,5.4e-05,6.5e-05,724.0,0.0
"Mar 06, 2017",6.5e-05,6.8e-05,5.1e-05,5.2e-05,2298.0,0.0
"Mar 07, 2017",5.2e-05,6.4e-05,4.9e-05,6.1e-05,1242.0,0.0
"Mar 08, 2017",6.2e-05,6.3e-05,3.9e-05,5.7e-05,1178.0,0.0
"Mar 09, 2017",5.7e-05,7.1e-05,4.7e-05,4.9e-05,3449.0,0.0
"Mar 10, 2017",4.9e-05,6.1e-05,3.8e-05,4.5e-05,1000.0,0.0
"Mar 11, 2017",4.5e-05,5.8e-05,3.6e-05,4.6e-05,305.0,0.0
"Mar 12, 2017",4.6e-05,6.1e-05,3.6e-05,6.1e-05,8964.0,0.0
"Mar 13, 2017",6.1e-05,7.4e-05,4.9e-05,7.4e-05,8604.0,0.0
"Mar 14, 2017",7.4e-05,0.000112,6.1e-05,8.7e-05,6449.0,0.0
"Mar 15, 2017",8.7e-05,8.8e-05,6.3e-05,6.3e-05,4506.0,0.0
"Mar 16, 2017",6.3e-05,9.9e-05,6e-05,7.1e-05,2627.0,0.0
"Mar 17, 2017",7.1e-05,8.9e-05,5.7e-05,5.8e-05,803.0,0.0
"Mar 18, 2017",5.8e-05,6.7e-05,5e-05,5.8e-05,1326.0,0.0
"Mar 19, 2017",5.8e-05,7.4e-05,5.2e-05,6.4e-05,777.0,0.0
