datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jul 15, 2017",4.1e-05,4.1e-05,3.2e-05,4e-05,9656.0,0.0
"Jul 16, 2017",4e-05,0.000102,3.1e-05,8.9e-05,44246.0,0.0
"Jul 17, 2017",8.9e-05,0.000118,7.7e-05,0.000111,30646.0,0.0
"Jul 18, 2017",0.000111,0.000118,7.6e-05,8.2e-05,15160.0,0.0
"Jul 19, 2017",8.2e-05,0.000117,6.8e-05,0.000104,29075.0,0.0
"Jul 20, 2017",0.000104,0.000175,8.2e-05,0.000121,173294.0,0.0
"Jul 21, 2017",0.000122,0.000138,6.9e-05,9e-05,48217.0,0.0
"Jul 22, 2017",7.4e-05,0.000119,6.2e-05,8.4e-05,65041.0,0.0
"Jul 23, 2017",8.4e-05,8.5e-05,5.6e-05,7.9e-05,46391.0,0.0
"Jul 24, 2017",5.8e-05,0.000214,5.3e-05,0.000188,274767.0,0.0
"Jul 25, 2017",0.00019,0.000283,0.000135,0.000283,630019.0,0.0
"Jul 26, 2017",0.000284,0.000637,0.000199,0.00023,461759.0,0.0
"Jul 27, 2017",0.00023,0.000233,0.000134,0.000187,120921.0,0.0
"Jul 28, 2017",0.000209,0.000217,0.000145,0.000193,71594.0,0.0
"Jul 29, 2017",0.000169,0.000195,0.000161,0.000166,30971.0,0.0
"Jul 30, 2017",0.000167,0.000189,0.000135,0.000137,29735.0,0.0
"Jul 31, 2017",0.000138,0.00017,0.000114,0.000144,25315.0,0.0
"Aug 01, 2017",0.000145,0.000171,0.000118,0.000143,7525.0,0.0
"Aug 02, 2017",0.000124,0.000265,0.000124,0.000215,88071.0,0.0
"Aug 03, 2017",0.00024,0.000326,0.00024,0.000304,174318.0,0.0
"Aug 04, 2017",0.000304,0.000306,0.000228,0.000256,69000.0,0.0
"Aug 05, 2017",0.000229,0.000284,0.000226,0.000259,44456.0,0.0
"Aug 06, 2017",0.000232,0.000294,0.00023,0.000265,25560.0,0.0
"Aug 07, 2017",0.000264,0.000282,0.000213,0.000238,33463.0,0.0
"Aug 08, 2017",0.000239,0.000303,0.000238,0.00028,37024.0,0.0
"Aug 09, 2017",0.000256,0.000281,0.000228,0.000241,15903.0,0.0
"Aug 10, 2017",0.000241,0.000262,0.000207,0.000207,25678.0,1375020.0
"Aug 11, 2017",0.000233,0.000255,0.000206,0.00022,15560.0,1327410.0
"Aug 12, 2017",0.00022,0.000264,0.0002,0.000206,11637.0,1252430.0
"Aug 13, 2017",0.000206,0.000274,0.00018,0.000244,29056.0,1184820.0
"Aug 14, 2017",0.000243,0.00025,0.000174,0.000178,12020.0,1398720.0
"Aug 15, 2017",0.000179,0.000253,0.000165,0.00017,18523.0,1031720.0
"Aug 16, 2017",0.000206,0.000257,0.000163,0.000182,14965.0,1194920.0
"Aug 17, 2017",0.000187,0.000226,0.000171,0.00018,10970.0,1082740.0
"Aug 18, 2017",0.00018,0.000215,0.000135,0.000166,9112.0,1044130.0
"Aug 19, 2017",0.000166,0.0002,0.00012,0.000126,20999.0,966684.0
"Aug 20, 2017",0.000126,0.000169,0.000123,0.000132,3848.0,736666.0
"Aug 21, 2017",0.000132,0.000157,0.000121,0.000153,7098.0,769719.0
"Aug 22, 2017",0.000154,0.000154,0.00011,0.000131,5441.0,902735.0
