datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-6-16,0.035097,0.068171,0.035097,0.054881,32224.0,38194.0
2017-6-17,0.044989,0.09992,0.02498,0.0627,35341.0,49495.0
2017-6-18,0.070419,0.22477,0.070419,0.114883,44223.0,82249.0
2017-6-19,0.114933,0.172337,0.062725,0.0934,19413.0,142092.0
2017-6-20,0.068745,0.096923,0.017486,0.031225,6388.0,89654.0
2017-6-21,0.031225,0.062375,0.014039,0.025105,5375.0,42796.0
2017-6-22,0.025105,0.07494,0.022482,0.059927,10004.0,36124.0
2017-6-23,0.061151,0.096923,0.03747,0.051402,11128.0,92155.0
2017-6-24,0.051445,0.061042,0.038395,0.038529,3048.0,81021.0
2017-6-25,0.03857,0.056788,0.037726,0.045449,5962.0,63370.0
2017-6-26,0.045351,0.05103,0.024238,0.045693,4531.0,77599.0
2017-6-27,0.046772,0.046772,0.026935,0.031424,3337.0,82955.0
2017-6-28,0.031648,0.041944,0.027483,0.027746,4000.0,58432.0
2017-6-29,0.030758,0.047804,0.022929,0.02848,4367.0,58874.0
2017-6-30,0.028537,0.035588,0.024063,0.029261,2933.0,56552.0
2017-7-01,0.02925,0.048146,0.024122,0.048146,6498.0,59955.0
2017-7-02,0.04814,0.048195,0.029499,0.042328,3395.0,101961.0
2017-7-03,0.032861,0.091523,0.032608,0.091523,13962.0,71816.0
2017-7-04,0.091315,0.11691,0.054499,0.054499,19845.0,205779.0
2017-7-05,0.05447,0.08992,0.053364,0.060649,7470.0,126389.0
2017-7-06,0.060679,0.077633,0.057207,0.057453,7362.0,144873.0
2017-7-07,0.057495,0.062178,0.049272,0.050306,4661.0,141162.0
2017-7-08,0.050348,0.057651,0.047917,0.048311,4340.0,127018.0
2017-7-09,0.048341,0.048492,0.036034,0.037229,4745.0,125199.0
2017-7-10,0.037296,0.086504,0.035909,0.038918,7274.0,99115.0
2017-7-11,0.039626,0.048709,0.031107,0.031108,2897.0,107948.0
2017-7-12,0.031062,0.03551,0.028471,0.03243,1945.0,86675.0
2017-7-13,0.032454,0.047368,0.029903,0.033608,5800.0,92731.0
2017-7-14,0.033574,0.05293,0.033179,0.042466,5642.0,98170.0
2017-7-15,0.039855,0.047965,0.029213,0.029596,3475.0,119203.0
2017-7-16,0.029507,0.035893,0.023739,0.024871,3489.0,90172.0
2017-7-17,0.024844,0.036159,0.024837,0.03378,2814.0,77501.0
2017-7-18,0.033851,0.048603,0.030697,0.036424,4929.0,107779.0
2017-7-19,0.036484,0.042482,0.033916,0.036979,1709.0,118498.0
2017-7-20,0.036868,0.04299,0.032279,0.041014,4397.0,121995.0
2017-7-21,0.041319,0.0493,0.039253,0.040942,4835.0,139500.0
2017-7-22,0.040934,0.065534,0.040759,0.061899,9448.0,140935.0
2017-7-23,0.061895,0.062274,0.045292,0.05153,3142.0,217275.0
2017-7-24,0.051471,0.061121,0.045788,0.048159,7384.0,183655.0
2017-7-25,0.048154,0.059606,0.042517,0.047056,5738.0,175098.0
2017-7-26,0.047077,0.047568,0.039568,0.040908,3572.0,174424.0
2017-7-27,0.041025,0.049037,0.039485,0.044591,6493.0,154767.0
2017-7-28,0.044737,0.05658,0.044737,0.049141,6834.0,171822.0
2017-7-29,0.048955,0.054686,0.043931,0.044605,6015.0,191279.0
2017-7-30,0.044599,0.050789,0.040614,0.041425,5026.0,177185.0
2017-7-31,0.041468,0.043902,0.038013,0.03969,2892.0,167304.0
2017-8-01,0.039709,0.061139,0.036999,0.054122,43803.0,162214.0
2017-8-02,0.054112,0.054439,0.043279,0.043731,6973.0,222408.0
2017-8-03,0.043795,0.053499,0.043795,0.051051,11449.0,182046.0
2017-8-04,0.050897,0.05291,0.049055,0.050141,22026.0,214306.0
2017-8-05,0.050714,0.056181,0.046902,0.04819,35716.0,216081.0
2017-8-06,0.048529,0.051973,0.036286,0.044977,12995.0,209790.0
2017-8-07,0.044868,0.063668,0.037242,0.063668,43667.0,196619.0
2017-8-08,0.062112,0.062555,0.051023,0.05278,10867.0,276204.0
2017-8-09,0.052726,0.062224,0.049506,0.057238,13917.0,237306.0
2017-8-10,0.056536,0.064164,0.055441,0.05814,8353.0,258144.0
2017-8-11,0.058158,0.075304,0.057845,0.075089,16455.0,269233.0
2017-8-12,0.075031,0.077694,0.069629,0.070773,10544.0,352011.0
2017-8-13,0.070766,0.079562,0.063788,0.064139,5245.0,335776.0
2017-8-14,0.068875,0.123994,0.056437,0.123994,34561.0,331001.0
2017-8-15,0.098984,0.124516,0.082062,0.085647,113580.0,482228.0
2017-8-16,0.085744,0.106632,0.081181,0.090641,19169.0,423100.0
2017-8-17,0.090596,0.102426,0.074348,0.088295,17919.0,452385.0
2017-8-18,0.085005,0.093722,0.064928,0.078168,32679.0,429928.0
2017-8-19,0.078112,0.083401,0.05529,0.059458,21480.0,399972.0
2017-8-20,0.059181,0.066636,0.056584,0.057329,15026.0,306929.0
2017-8-21,0.056235,0.073839,0.05616,0.069379,15293.0,295397.0
2017-8-22,0.069539,0.077778,0.058886,0.071244,12187.0,369580.0
2017-8-23,0.074384,0.082918,0.065418,0.080471,22321.0,400161.0
2017-8-24,0.080497,0.104617,0.077061,0.089122,19066.0,438435.0
2017-8-25,0.088983,0.130415,0.088965,0.124634,45724.0,490045.0
2017-8-26,0.124994,0.219956,0.113313,0.166393,91527.0,696262.0
