datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jan 01, 2017",0.144362,0.162641,0.144362,0.150247,207507.0,14617900.0
"Jan 02, 2017",0.150291,0.165129,0.149029,0.158091,188263.0,15224700.0
"Jan 03, 2017",0.158092,0.162545,0.153842,0.159033,111416.0,16021700.0
"Jan 04, 2017",0.15914,0.176735,0.158249,0.172757,204520.0,16134600.0
"Jan 05, 2017",0.173878,0.185065,0.145381,0.157554,161476.0,17636100.0
"Jan 06, 2017",0.158248,0.16529,0.136385,0.141302,188513.0,16057500.0
"Jan 07, 2017",0.141359,0.147264,0.13127,0.145559,98729.0,14349800.0
"Jan 08, 2017",0.145559,0.161811,0.141809,0.157737,141961.0,14782400.0
"Jan 09, 2017",0.158679,0.159543,0.146741,0.149266,92910.0,16119400.0
"Jan 10, 2017",0.149196,0.156168,0.144804,0.149062,93383.0,15162400.0
"Jan 11, 2017",0.149072,0.157991,0.13479,0.140104,139328.0,15156100.0
"Jan 12, 2017",0.140401,0.142742,0.128978,0.138436,102894.0,14280500.0
"Jan 13, 2017",0.138343,0.142513,0.133051,0.140261,55126.0,14077100.0
"Jan 14, 2017",0.140447,0.148415,0.139761,0.147586,73772.0,14297200.0
"Jan 15, 2017",0.148051,0.168503,0.148039,0.161148,270640.0,15077600.0
"Jan 16, 2017",0.161863,0.161863,0.15096,0.154283,119266.0,16491200.0
"Jan 17, 2017",0.154748,0.160837,0.154256,0.157547,105637.0,15772900.0
"Jan 18, 2017",0.157643,0.169004,0.154036,0.161745,78993.0,16074800.0
"Jan 19, 2017",0.162348,0.16551,0.154694,0.15663,69961.0,16561400.0
"Jan 20, 2017",0.156967,0.159171,0.1543,0.154868,39035.0,16019200.0
"Jan 21, 2017",0.154866,0.161977,0.153007,0.158228,54266.0,15811400.0
"Jan 22, 2017",0.158225,0.162473,0.152656,0.155556,39804.0,16161100.0
"Jan 23, 2017",0.155731,0.157312,0.150725,0.155645,55916.0,15913000.0
"Jan 24, 2017",0.153851,0.155529,0.148628,0.148936,45335.0,15727600.0
"Jan 25, 2017",0.148996,0.150036,0.145298,0.145909,73999.0,15237700.0
"Jan 26, 2017",0.145769,0.149097,0.145097,0.146255,169125.0,14913500.0
"Jan 27, 2017",0.146261,0.161357,0.143183,0.147809,291370.0,14970400.0
"Jan 28, 2017",0.146687,0.159264,0.144956,0.155418,206858.0,15020300.0
"Jan 29, 2017",0.155309,0.161035,0.152185,0.157884,144577.0,15909800.0
"Jan 30, 2017",0.157961,0.168072,0.156736,0.161823,189453.0,16188000.0
"Jan 31, 2017",0.161715,0.164026,0.157721,0.160103,164623.0,16579600.0
"Feb 01, 2017",0.160204,0.163635,0.153805,0.159417,188355.0,16431000.0
"Feb 02, 2017",0.159949,0.161813,0.153652,0.15786,135496.0,16411800.0
"Feb 03, 2017",0.158457,0.161202,0.153085,0.160143,107780.0,16265500.0
"Feb 04, 2017",0.16044,0.164757,0.155232,0.158697,117411.0,16475900.0
"Feb 05, 2017",0.158723,0.165641,0.15767,0.163118,118021.0,16306400.0
"Feb 06, 2017",0.164439,0.165506,0.156448,0.159951,132625.0,16900700.0
"Feb 07, 2017",0.160256,0.166804,0.160256,0.165273,80620.0,16477700.0
"Feb 08, 2017",0.165628,0.166764,0.160568,0.162493,101197.0,17037100.0
"Feb 09, 2017",0.16217,0.163772,0.144906,0.154264,189544.0,16688100.0
"Feb 10, 2017",0.154354,0.155228,0.144555,0.147097,56800.0,15890400.0
"Feb 11, 2017",0.147314,0.154154,0.145912,0.150625,59644.0,15171900.0
"Feb 12, 2017",0.150493,0.152037,0.14781,0.149559,79289.0,15505700.0
"Feb 13, 2017",0.149834,0.150125,0.142674,0.144006,89637.0,15444200.0
"Feb 14, 2017",0.144226,0.15006,0.144179,0.147843,94109.0,14872300.0
"Feb 15, 2017",0.147469,0.147702,0.140564,0.142241,96408.0,15212800.0
"Feb 16, 2017",0.141806,0.14645,0.140598,0.144879,99588.0,14634700.0
"Feb 17, 2017",0.144346,0.14611,0.141412,0.145351,75400.0,14903000.0
"Feb 18, 2017",0.14568,0.147002,0.134913,0.139254,106133.0,15047000.0
"Feb 19, 2017",0.139254,0.145248,0.133044,0.13553,83473.0,14389200.0
"Feb 20, 2017",0.135625,0.138671,0.124752,0.124859,126712.0,14020100.0
"Feb 21, 2017",0.122043,0.133094,0.120261,0.130772,172798.0,12621300.0
"Feb 22, 2017",0.130201,0.133604,0.126541,0.12959,78040.0,13470600.0
"Feb 23, 2017",0.129396,0.141581,0.128314,0.133549,99217.0,13392700.0
"Feb 24, 2017",0.134658,0.14361,0.126585,0.132936,107579.0,13943000.0
"Feb 25, 2017",0.132563,0.137863,0.126326,0.13009,88925.0,13731700.0
"Feb 26, 2017",0.130199,0.133472,0.127995,0.128532,102766.0,13492500.0
"Feb 27, 2017",0.128353,0.128353,0.120144,0.124146,116903.0,13306700.0
"Feb 28, 2017",0.123611,0.124905,0.110599,0.112352,215096.0,12820400.0
"Mar 01, 2017",0.112432,0.119302,0.099628,0.10478,231932.0,11665800.0
"Mar 02, 2017",0.104965,0.110891,0.095652,0.109435,215899.0,10895600.0
"Mar 03, 2017",0.108538,0.124568,0.107077,0.109048,149754.0,11271100.0
"Mar 04, 2017",0.109329,0.119331,0.108901,0.115802,95676.0,11358000.0
"Mar 05, 2017",0.116181,0.127668,0.115495,0.119649,203732.0,12074800.0
"Mar 06, 2017",0.118737,0.130935,0.118737,0.124933,103639.0,12345600.0
"Mar 07, 2017",0.125893,0.126539,0.114776,0.12034,134803.0,13095000.0
"Mar 08, 2017",0.120248,0.120397,0.109247,0.110449,142038.0,12513000.0
"Mar 09, 2017",0.110532,0.123206,0.109469,0.118916,157196.0,11506700.0
"Mar 10, 2017",0.118843,0.120787,0.104464,0.113279,178964.0,12377100.0
"Mar 11, 2017",0.114474,0.118265,0.1109,0.111927,86252.0,11927000.0
"Mar 12, 2017",0.111551,0.118127,0.108665,0.113241,160726.0,11627200.0
"Mar 13, 2017",0.113317,0.134209,0.112282,0.12857,293186.0,11816200.0
"Mar 14, 2017",0.130063,0.180962,0.126184,0.146783,1078790.0,13568000.0
"Mar 15, 2017",0.146904,0.170264,0.142451,0.167172,575218.0,15331100.0
"Mar 16, 2017",0.171343,0.209961,0.157835,0.191859,955187.0,17889000.0
"Mar 17, 2017",0.194562,0.197039,0.164313,0.164313,474332.0,20321500.0
"Mar 18, 2017",0.16448,0.195111,0.160043,0.174334,552518.0,17186500.0
"Mar 19, 2017",0.177649,0.190537,0.166261,0.186555,423163.0,18570200.0
"Mar 20, 2017",0.187285,0.261113,0.184857,0.240709,1183900.0,19585400.0
"Mar 21, 2017",0.240922,0.400428,0.240922,0.303869,6382180.0,25204800.0
"Mar 22, 2017",0.30566,0.30566,0.243729,0.285156,1726510.0,31990800.0
"Mar 23, 2017",0.286611,0.307988,0.265448,0.265448,1102930.0,30009500.0
"Mar 24, 2017",0.270093,0.289441,0.257284,0.257284,973098.0,28291600.0
"Mar 25, 2017",0.258235,0.295661,0.243635,0.269478,1064710.0,27060600.0
"Mar 26, 2017",0.269307,0.486311,0.251469,0.268239,660583.0,28232500.0
"Mar 27, 2017",0.270922,0.322991,0.270922,0.286597,1907780.0,28413300.0
"Mar 28, 2017",0.287418,0.319706,0.284567,0.303948,927521.0,30155600.0
"Mar 29, 2017",0.30387,0.345001,0.29204,0.337734,1089920.0,31894700.0
"Mar 30, 2017",0.336026,0.350706,0.309848,0.331256,893252.0,35284300.0
"Mar 31, 2017",0.330211,0.340741,0.277549,0.309446,1263370.0,34687700.0
"Apr 01, 2017",0.310093,0.315487,0.290832,0.31423,477805.0,32586900.0
