datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jul 20, 2017",0.001883,0.013766,0.001766,0.009816,4218.0,0.0
"Jul 21, 2017",0.009893,0.018438,0.007232,0.011054,4653.0,42344.0
"Jul 22, 2017",0.011052,0.013772,0.008512,0.009924,1187.0,47305.0
"Jul 23, 2017",0.009856,0.012551,0.006566,0.009816,380.0,42187.0
"Jul 24, 2017",0.009804,0.00989,0.005753,0.006049,368.0,41962.0
"Jul 25, 2017",0.006058,0.007906,0.002405,0.002559,635.0,25930.0
"Jul 26, 2017",0.00256,0.003024,0.001858,0.002632,441.0,10959.0
"Jul 27, 2017",0.00264,0.006284,0.002134,0.006212,837.0,11298.0
"Jul 28, 2017",0.00623,0.007527,0.003934,0.006769,186.0,26668.0
"Jul 29, 2017",0.006798,0.006802,0.003356,0.005267,196.0,29096.0
"Jul 30, 2017",0.003914,0.005453,0.003638,0.005422,183.0,16755.0
"Jul 31, 2017",0.005433,0.00547,0.002767,0.003061,44.0,23256.0
"Aug 01, 2017",0.003063,0.005401,0.002849,0.003051,183.0,13109.0
"Aug 02, 2017",0.003052,0.004011,0.003012,0.003982,162.0,13065.0
"Aug 03, 2017",0.003975,0.004011,0.001394,0.001394,187.0,17016.0
"Aug 04, 2017",0.001394,0.019752,0.001388,0.017105,22043.0,5966.0
"Aug 05, 2017",0.016066,0.020369,0.009735,0.015824,16944.0,68767.0
"Aug 06, 2017",0.015834,0.0187,0.010686,0.01189,4656.0,67772.0
"Aug 07, 2017",0.011864,0.016623,0.009141,0.012566,2127.0,50779.0
"Aug 08, 2017",0.012908,0.014722,0.005539,0.009958,891.0,41154.0
"Aug 09, 2017",0.009961,0.011639,0.006208,0.009661,986.0,31758.0
"Aug 10, 2017",0.009662,0.011815,0.003707,0.01011,1819.0,30804.0
"Aug 11, 2017",0.01011,0.011144,0.007328,0.011012,771.0,32233.0
"Aug 12, 2017",0.011003,0.011432,0.007614,0.010943,945.0,35082.0
"Aug 13, 2017",0.010932,0.011484,0.004008,0.008695,715.0,34855.0
"Aug 14, 2017",0.008701,0.011486,0.003362,0.010457,1771.0,27741.0
"Aug 15, 2017",0.010485,0.010536,0.005248,0.00606,686.0,33428.0
"Aug 16, 2017",0.00589,0.007607,0.003666,0.006039,839.0,18780.0
"Aug 17, 2017",0.006044,0.006646,0.003563,0.003852,758.0,19270.0
"Aug 18, 2017",0.003792,0.008723,0.003712,0.004453,1356.0,12091.0
"Aug 19, 2017",0.004472,0.006128,0.003226,0.003995,456.0,14258.0
"Aug 20, 2017",0.003976,0.013504,0.002841,0.005503,4067.0,12677.0
"Aug 21, 2017",0.007326,0.011443,0.003133,0.00393,5479.0,23358.0
"Aug 22, 2017",0.003939,0.017068,0.003215,0.016926,17684.0,12559.0
