datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-1-01,89000000.0,1e-06,85000000.0,97000000.0,1.0,12226.0
2017-1-02,97000000.0,1e-06,86000000.0,93000000.0,3.0,13280.0
2017-1-03,93000000.0,96000000.0,92000000.0,96000000.0,3.0,12671.0
2017-1-04,96000000.0,2e-06,96000000.0,1e-06,5.0,13184.0
2017-1-05,1e-06,1e-06,86000000.0,86000000.0,1.0,19314.0
2017-1-06,86000000.0,9e-06,86000000.0,9e-06,28.0,11823.0
2017-1-07,9e-06,9e-06,2e-06,2e-06,4.0,118728.0
2017-1-08,2e-06,2e-06,87000000.0,91000000.0,3.0,33364.0
2017-1-09,91000000.0,1e-06,89000000.0,1e-06,11.0,12403.0
2017-1-10,1e-06,1e-06,1e-06,1e-06,0.0,14139.0
2017-1-11,1e-06,3e-06,90000000.0,2e-06,4.0,16844.0
2017-1-12,2e-06,2e-06,79000000.0,1e-06,29.0,32549.0
2017-1-13,1e-06,5e-06,97000000.0,1e-06,2.0,19652.0
2017-1-14,1e-06,1e-06,1e-06,1e-06,4.0,14746.0
2017-1-15,1e-06,1e-06,83000000.0,1e-06,6.0,17418.0
2017-1-16,1e-06,1e-06,67000000.0,1e-06,22.0,14194.0
2017-1-17,1e-06,9e-06,1e-06,9e-06,3.0,17993.0
2017-1-18,9e-06,9e-06,1e-06,1e-06,69.0,119480.0
2017-1-19,1e-06,1e-06,99000000.0,1e-06,22.0,16442.0
2017-1-20,1e-06,7e-06,1e-06,7e-06,13.0,15558.0
2017-1-21,7e-06,9e-06,6e-06,8e-06,25.0,91412.0
2017-1-22,8e-06,9e-06,8e-06,9e-06,315.0,103395.0
2017-1-23,9e-06,9e-06,3e-06,3e-06,39.0,123059.0
2017-1-24,3e-06,3e-06,1e-06,1e-06,47.0,41425.0
2017-1-25,1e-06,9e-06,1e-06,9e-06,27.0,19958.0
2017-1-26,9e-06,9e-06,9e-06,9e-06,10.0,118785.0
2017-1-27,9e-06,9e-06,1e-06,8e-06,3.0,121848.0
2017-1-28,8e-06,8e-06,3e-06,4e-06,3.0,108725.0
2017-1-29,4e-06,4e-06,1e-06,1e-06,15.0,53267.0
2017-1-30,1e-06,2e-06,1e-06,2e-06,5.0,15599.0
2017-1-31,2e-06,2e-06,1e-06,1e-06,23.0,20739.0
2017-2-01,1e-06,1e-05,1e-06,1e-05,13.0,16728.0
2017-2-02,1e-05,1e-05,3e-06,3e-06,5.0,133138.0
2017-2-03,3e-06,3e-06,80000000.0,93000000.0,88.0,40406.0
2017-2-04,1e-06,2e-06,1e-06,2e-06,4.0,16609.0
2017-2-05,2e-06,9e-06,1e-06,8e-06,3.0,21187.0
2017-2-06,8e-06,9e-06,1e-06,7e-06,34.0,114157.0
2017-2-07,7e-06,8e-06,5e-06,8e-06,11.0,101113.0
2017-2-08,8e-06,8e-06,2e-06,2e-06,27.0,113642.0
