datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-1-03,2e-06,3e-06,2e-06,2e-06,0.0,35647.0
2017-1-04,2e-06,2e-06,2e-06,2e-06,0.0,34860.0
2017-1-05,2e-06,3e-06,2e-06,3e-06,0.0,35754.0
2017-1-06,3e-06,3e-06,2e-06,2e-06,0.0,37324.0
2017-1-07,2e-06,2e-06,2e-06,2e-06,0.0,28552.0
2017-1-08,2e-06,2e-06,2e-06,2e-06,0.0,29236.0
2017-1-09,2e-06,2e-06,2e-06,2e-06,0.0,29522.0
2017-1-10,2e-06,2e-06,2e-06,2e-06,0.0,32409.0
2017-1-11,2e-06,2e-06,2e-06,2e-06,0.0,33933.0
2017-1-12,2e-06,2e-06,2e-06,2e-06,0.0,27799.0
2017-1-13,2e-06,2e-06,2e-06,2e-06,0.0,28713.0
2017-1-14,2e-06,2e-06,2e-06,2e-06,0.0,30460.0
2017-1-15,2e-06,2e-06,2e-06,2e-06,3.0,28827.0
2017-1-16,2e-06,2e-06,2e-06,2e-06,0.0,27876.0
2017-1-17,2e-06,2e-06,2e-06,2e-06,0.0,27710.0
2017-1-18,2e-06,2e-06,2e-06,2e-06,0.0,27992.0
2017-1-19,2e-06,2e-06,2e-06,2e-06,0.0,27254.0
2017-1-20,2e-06,2e-06,2e-06,2e-06,0.0,27413.0
2017-1-21,2e-06,2e-06,2e-06,2e-06,0.0,28185.0
2017-1-22,2e-06,2e-06,2e-06,2e-06,0.0,28275.0
2017-1-23,2e-06,2e-06,2e-06,2e-06,0.0,31749.0
2017-1-24,2e-06,2e-06,2e-06,2e-06,0.0,31683.0
2017-1-25,2e-06,2e-06,2e-06,2e-06,0.0,27635.0
2017-1-26,2e-06,2e-06,2e-06,2e-06,0.0,27451.0
2017-1-27,2e-06,2e-06,2e-06,2e-06,0.0,28380.0
2017-1-28,2e-06,2e-06,2e-06,2e-06,0.0,30173.0
2017-1-29,2e-06,2e-06,2e-06,2e-06,0.0,28475.0
2017-1-30,2e-06,2e-06,2e-06,2e-06,0.0,29234.0
2017-1-31,2e-06,2e-06,2e-06,2e-06,0.0,29719.0
2017-2-01,2e-06,2e-06,2e-06,2e-06,0.0,29552.0
2017-2-02,2e-06,2e-06,2e-06,2e-06,0.0,29354.0
2017-2-03,2e-06,2e-06,2e-06,2e-06,0.0,30165.0
2017-2-04,2e-06,2e-06,2e-06,2e-06,2.0,30778.0
2017-2-05,2e-06,2e-06,2e-06,2e-06,5.0,30043.0
2017-2-06,2e-06,2e-06,2e-06,2e-06,1.0,30578.0
2017-2-07,2e-06,2e-06,2e-06,2e-06,0.0,29957.0
2017-2-08,2e-06,2e-06,2e-06,2e-06,0.0,31690.0
2017-2-09,2e-06,2e-06,2e-06,2e-06,0.0,30365.0
2017-2-10,2e-06,2e-06,2e-06,2e-06,0.0,29725.0
2017-2-11,2e-06,2e-06,2e-06,2e-06,0.0,29557.0
2017-2-12,2e-06,2e-06,2e-06,2e-06,0.0,28373.0
2017-2-13,2e-06,2e-06,2e-06,2e-06,0.0,28366.0
2017-2-15,2e-06,2e-06,2e-06,2e-06,0.0,27859.0
2017-2-16,2e-06,2e-06,2e-06,2e-06,2.0,26959.0
2017-2-17,2e-06,2e-06,2e-06,2e-06,0.0,29632.0
2017-2-18,2e-06,2e-06,2e-06,2e-06,3.0,29955.0
2017-2-19,2e-06,2e-06,2e-06,2e-06,3.0,29665.0
2017-2-23,2e-06,2e-06,2e-06,2e-06,0.0,27582.0
2017-2-24,2e-06,2e-06,2e-06,2e-06,0.0,29978.0
2017-2-25,2e-06,2e-06,2e-06,2e-06,0.0,30101.0
2017-2-26,2e-06,2e-06,2e-06,2e-06,0.0,27648.0
2017-2-28,2e-06,2e-06,2e-06,2e-06,0.0,27391.0
2017-3-01,2e-06,2e-06,2e-06,2e-06,0.0,27338.0
