datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jan 01, 2017",0.000376,0.000408,0.000374,0.000399,5.0,372066.0
"Jan 02, 2017",0.000399,0.000437,0.000385,0.000388,60.0,395445.0
"Jan 03, 2017",0.000388,0.000439,0.000388,0.000438,61.0,384362.0
"Jan 04, 2017",0.000439,0.000463,0.000397,0.000462,79.0,434233.0
"Jan 05, 2017",0.000463,0.000463,0.000337,0.000395,46.0,458024.0
"Jan 06, 2017",0.000396,0.000408,0.000321,0.000343,247.0,391561.0
"Jan 07, 2017",0.000343,0.000349,0.000306,0.000333,26.0,339856.0
"Jan 08, 2017",0.000333,0.000373,0.000316,0.000319,53.0,329442.0
"Jan 09, 2017",0.000319,0.000367,0.00031,0.000366,6.0,315668.0
"Jan 10, 2017",0.000366,0.000373,0.000341,0.000363,10.0,362360.0
"Jan 11, 2017",0.000363,0.000546,0.000348,0.000369,100.0,359412.0
"Jan 12, 2017",0.000368,0.000434,0.000254,0.000254,177.0,364317.0
"Jan 13, 2017",0.000254,0.00034,0.000244,0.000252,84.0,251331.0
"Jan 14, 2017",0.000253,0.000368,0.000161,0.000276,95.0,250133.0
"Jan 15, 2017",0.000276,0.000469,0.000117,0.000297,667.0,272874.0
"Jan 16, 2017",0.000297,0.000433,0.000262,0.000356,59.0,293525.0
"Jan 17, 2017",0.000356,0.000399,0.000222,0.000391,26.0,352430.0
"Jan 18, 2017",0.000392,0.000395,0.000172,0.000289,144.0,387432.0
"Jan 19, 2017",0.000289,0.000293,0.000179,0.000244,38.0,285495.0
"Jan 20, 2017",0.000245,0.000285,0.000189,0.000276,318.0,242662.0
"Jan 21, 2017",0.000276,0.000286,0.000257,0.000278,111.0,273107.0
"Jan 22, 2017",0.000278,0.000872,0.000278,0.000282,1153.0,274846.0
"Jan 23, 2017",0.000283,0.000389,0.000259,0.000318,52.0,279674.0
"Jan 24, 2017",0.000314,0.000346,0.00023,0.000242,52.0,310818.0
"Jan 25, 2017",0.000242,0.00032,0.000242,0.000277,1.0,239307.0
"Jan 26, 2017",0.000277,0.000333,0.00025,0.000255,47.0,274386.0
"Jan 27, 2017",0.000255,0.000281,0.000235,0.000257,42.0,252052.0
"Jan 28, 2017",0.000257,0.000295,0.000201,0.000288,35.0,254650.0
"Jan 29, 2017",0.000288,0.00029,0.000168,0.000219,63.0,284887.0
"Jan 30, 2017",0.00022,0.000301,0.00022,0.000267,87.0,217308.0
"Jan 31, 2017",0.000267,0.000453,0.000253,0.000452,393.0,264720.0
"Feb 01, 2017",0.000453,0.000565,0.000453,0.000554,154.0,448103.0
"Feb 02, 2017",0.000554,0.000557,0.00034,0.00034,64.0,548200.0
"Feb 03, 2017",0.00034,0.000501,0.000337,0.000339,4.0,336860.0
"Feb 04, 2017",0.00034,0.000429,0.000335,0.000417,78.0,336074.0
"Feb 05, 2017",0.000418,0.000444,0.000401,0.000433,9.0,413231.0
"Feb 06, 2017",0.000434,0.00044,0.000414,0.000416,6.0,429202.0
"Feb 07, 2017",0.000416,0.000425,0.000226,0.000318,209.0,412134.0
"Feb 08, 2017",0.000319,0.000425,0.000316,0.000422,7.0,315404.0
"Feb 09, 2017",0.000423,0.000456,0.000314,0.000314,3.0,418145.0
"Feb 10, 2017",0.000315,0.000701,0.000273,0.000633,1417.0,311330.0
"Feb 11, 2017",0.000633,0.001966,0.000633,0.001249,1731.0,626345.0
"Feb 12, 2017",0.001248,0.001316,0.000476,0.000531,352.0,1235110.0
"Feb 13, 2017",0.000531,0.00067,0.000353,0.000523,434.0,525423.0
"Feb 14, 2017",0.000524,0.000619,0.000475,0.000501,300.0,518497.0
"Feb 15, 2017",0.000502,0.000509,0.000434,0.000435,122.0,496956.0
"Feb 16, 2017",0.000435,0.000526,0.000426,0.000524,19.0,430910.0
"Feb 17, 2017",0.000523,0.000526,0.000442,0.000459,50.0,517836.0
"Feb 18, 2017",0.00046,0.00051,0.000426,0.00051,51.0,455551.0
"Feb 19, 2017",0.00051,0.00051,0.000426,0.000427,9.0,504977.0
"Feb 20, 2017",0.000427,0.000507,0.000384,0.000391,52.0,422823.0
"Feb 21, 2017",0.000391,0.000525,0.000387,0.000524,42.0,386953.0
"Feb 22, 2017",0.000524,0.000524,0.000443,0.000453,7.0,518422.0
"Feb 23, 2017",0.000453,0.00046,0.000369,0.000408,45.0,447907.0
"Feb 24, 2017",0.000419,0.000476,0.000402,0.000441,56.0,414281.0
"Feb 25, 2017",0.00044,0.000456,0.000376,0.000412,3.0,435391.0
"Feb 26, 2017",0.000412,0.000454,0.000401,0.000408,5.0,407563.0
"Feb 27, 2017",0.000407,0.00041,0.000395,0.000398,3.0,402993.0
"Feb 28, 2017",0.000398,0.000416,0.000384,0.000414,21.0,394031.0
"Mar 01, 2017",0.000414,0.000543,0.000392,0.000543,57.0,409360.0
"Mar 02, 2017",0.000544,0.000553,0.000252,0.000325,205.0,538207.0
"Mar 03, 2017",0.000325,0.00049,0.000325,0.000412,115.0,321040.0
"Mar 04, 2017",0.000412,0.000413,0.00035,0.00036,47.0,407915.0
"Mar 05, 2017",0.000359,0.000442,0.000312,0.000344,101.0,355618.0
"Mar 06, 2017",0.000344,0.000395,0.000344,0.000395,49.0,340338.0
"Mar 07, 2017",0.000395,0.000461,0.000293,0.000457,44.0,390424.0
"Mar 08, 2017",0.000457,0.00046,0.000347,0.000348,4.0,452032.0
"Mar 09, 2017",0.000348,0.000515,0.000345,0.000369,37.0,344254.0
"Mar 10, 2017",0.000369,0.000384,0.000323,0.000368,12.0,364864.0
"Mar 11, 2017",0.000368,0.000394,0.000361,0.000365,0.0,364228.0
"Mar 12, 2017",0.000365,0.000484,0.000364,0.000437,51.0,360753.0
"Mar 13, 2017",0.000437,0.000478,0.000425,0.000467,62.0,432061.0
"Mar 14, 2017",0.000467,0.000467,0.000406,0.000409,17.0,461819.0
"Mar 15, 2017",0.000409,0.000413,0.000367,0.000385,6.0,404720.0
"Mar 16, 2017",0.000386,0.000388,0.000331,0.000341,13.0,381221.0
"Mar 17, 2017",0.000339,0.000375,0.000286,0.000286,456.0,335428.0
"Mar 18, 2017",0.000286,0.0004,0.000211,0.000214,363.0,282824.0
"Mar 19, 2017",0.000195,0.000463,0.000192,0.000366,591.0,193192.0
"Mar 20, 2017",0.000362,0.000423,0.000338,0.000421,31.0,358201.0
"Mar 21, 2017",0.000422,0.000443,0.000335,0.000355,1.0,416881.0
"Mar 22, 2017",0.000356,0.000405,0.000325,0.000325,2.0,351508.0
"Mar 23, 2017",0.000326,0.000364,0.000319,0.000357,13.0,237510.0
"Mar 24, 2017",0.000357,0.000357,0.000276,0.000277,9.0,260207.0
"Mar 25, 2017",0.000276,0.000332,0.000265,0.000331,7.0,201692.0
"Mar 26, 2017",0.000331,0.000349,0.000287,0.000289,1.0,241609.0
"Mar 27, 2017",0.000291,0.000359,0.000207,0.000314,79.0,212210.0
"Mar 28, 2017",0.000314,0.000318,0.000277,0.000283,2.0,228894.0
"Mar 29, 2017",0.000282,0.000296,0.000274,0.000295,2.0,206046.0
"Mar 30, 2017",0.000296,0.000404,0.000296,0.000325,43.0,215680.0
"Mar 31, 2017",0.000325,0.000451,0.000325,0.00045,9.0,237271.0
"Apr 01, 2017",0.00045,0.000454,0.000216,0.000323,165.0,328341.0
"Apr 02, 2017",0.000323,0.000324,0.000282,0.000305,3.0,235803.0
"Apr 03, 2017",0.000305,0.000553,0.000305,0.000446,65.0,222443.0
"Apr 04, 2017",0.000447,0.000579,0.000382,0.000505,54.0,325876.0
"Apr 05, 2017",0.000505,0.000686,0.000427,0.000686,23.0,368414.0
"Apr 06, 2017",0.000687,0.000694,0.000469,0.000484,48.0,499860.0
"Apr 07, 2017",0.000483,0.000636,0.000481,0.000543,409.0,351381.0
"Apr 08, 2017",0.000541,0.000564,0.000418,0.000447,157.0,393991.0
"Apr 09, 2017",0.000447,0.000448,0.000424,0.000427,118.0,325189.0
"Apr 10, 2017",0.000426,0.000583,0.000415,0.000463,3.0,310329.0
"Apr 11, 2017",0.000463,0.000725,0.000463,0.000723,574.0,337526.0
"Apr 12, 2017",0.000723,0.000723,0.000361,0.000464,202.0,526691.0
"Apr 13, 2017",0.000464,0.000595,0.000464,0.000593,105.0,338300.0
"Apr 14, 2017",0.000593,0.000665,0.00056,0.000654,3.0,432494.0
"Apr 15, 2017",0.000654,0.0007,0.000565,0.000665,169.0,476380.0
"Apr 16, 2017",0.000665,0.000717,0.000617,0.000617,109.0,484411.0
"Apr 17, 2017",0.000617,0.000713,0.000581,0.000701,244.0,449986.0
"Apr 18, 2017",0.000701,0.000709,0.000486,0.000486,70.0,510806.0
"Apr 19, 2017",0.000486,0.00096,0.000483,0.000872,202.0,354491.0
"Apr 20, 2017",0.000873,0.000999,0.000655,0.000749,44.0,635958.0
"Apr 21, 2017",0.00075,0.001256,0.000693,0.000752,80.0,546278.0
"Apr 22, 2017",0.000753,0.001117,0.000747,0.000876,162.0,548593.0
"Apr 23, 2017",0.000876,0.001053,0.000819,0.000931,23.0,638226.0
"Apr 24, 2017",0.000932,0.001269,0.00039,0.000558,551.0,679340.0
"Apr 25, 2017",0.000558,0.000755,0.000481,0.000648,726.0,406408.0
"Apr 26, 2017",0.000648,0.000895,0.000392,0.000744,1220.0,472001.0
"Apr 27, 2017",0.000744,0.000763,0.000237,0.000727,2455.0,542271.0
"Apr 28, 2017",0.000727,0.000773,0.000717,0.000724,2626.0,529697.0
"Apr 29, 2017",0.000725,0.000769,0.000662,0.000702,35.0,528099.0
"Apr 30, 2017",0.000702,0.000817,0.000646,0.000754,229.0,511607.0
"May 01, 2017",0.000754,0.000803,0.000716,0.000796,404.0,549594.0
"May 02, 2017",0.000796,0.000855,0.000775,0.000789,417.0,579861.0
"May 03, 2017",0.000789,0.000896,0.000789,0.000894,221.0,575016.0
"May 04, 2017",0.000894,0.000939,0.000867,0.000892,182.0,651666.0
"May 05, 2017",0.000894,0.001045,0.000894,0.001027,219.0,651107.0
"May 06, 2017",0.001028,0.001038,0.000911,0.000938,240.0,748538.0
"May 07, 2017",0.000938,0.001214,0.000927,0.001213,41.0,683281.0
"May 08, 2017",0.001214,0.001323,0.000855,0.00103,373.0,883643.0
"May 09, 2017",0.001031,0.002013,0.000694,0.001877,2017.0,750199.0
"May 10, 2017",0.001878,0.001882,0.001511,0.00182,1018.0,1364820.0
"May 11, 2017",0.001823,0.002302,0.001506,0.002221,1246.0,1326260.0
"May 12, 2017",0.002223,0.002702,0.001801,0.002149,1785.0,1617170.0
"May 13, 2017",0.002145,0.003824,0.002069,0.003814,4187.0,1559610.0
"May 14, 2017",0.003826,0.00383,0.003388,0.003577,1192.0,2772210.0
"May 15, 2017",0.00358,0.003592,0.003034,0.003072,354.0,2593350.0
"May 16, 2017",0.003068,0.003474,0.002881,0.003426,454.0,2220160.0
"May 17, 2017",0.003425,0.003581,0.003359,0.003368,63.0,2486740.0
"May 18, 2017",0.003367,0.003373,0.001935,0.002346,967.0,2442210.0
"May 19, 2017",0.002347,0.003045,0.001872,0.00188,843.0,1700750.0
"May 20, 2017",0.001878,0.003108,0.001878,0.002814,1249.0,1360160.0
"May 21, 2017",0.002813,0.003258,0.002794,0.003251,567.0,2037860.0
"May 22, 2017",0.003262,0.003922,0.002721,0.003227,456.0,2362640.0
"May 23, 2017",0.003223,0.022135,0.002817,0.022135,24559.0,2334100.0
"May 24, 2017",0.016571,0.045883,0.014234,0.014482,14888.0,11995600.0
"May 25, 2017",0.014597,0.017888,0.007729,0.010795,1408.0,10563100.0
"May 26, 2017",0.010716,0.012087,0.006586,0.009051,1072.0,7754650.0
"May 27, 2017",0.009082,0.00952,0.004632,0.004657,1281.0,6555120.0
"May 28, 2017",0.004685,0.009243,0.004685,0.008522,236.0,3381830.0
"May 29, 2017",0.008504,0.008527,0.006493,0.007731,861.0,6158510.0
"May 30, 2017",0.00774,0.011616,0.006332,0.008474,77738.0,5604370.0
"May 31, 2017",0.008507,0.009196,0.007826,0.009115,506514.0,6160360.0
"Jun 01, 2017",0.009059,0.014369,0.0089,0.014153,578558.0,6560030.0
"Jun 02, 2017",0.014567,0.018507,0.013038,0.018507,787394.0,10547800.0
"Jun 03, 2017",0.018355,0.018543,0.015194,0.016495,855600.0,13290400.0
"Jun 04, 2017",0.016451,0.025832,0.016124,0.025254,5285960.0,11911300.0
