datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jan 03, 2017",0.000452,0.000459,0.000451,0.000459,2.0,8215.0
"Jan 04, 2017",0.000459,0.00051,0.000459,0.000508,508.0,8354.0
"Jan 05, 2017",0.000508,0.000524,0.000401,0.000422,422.0,9247.0
"Jan 20, 2017",0.000376,0.000378,0.000376,0.000376,23.0,6913.0
"Jan 21, 2017",0.000376,0.000501,0.000367,0.000498,5.0,6907.0
"Jan 22, 2017",0.000498,0.000506,0.000498,0.000506,0.0,9151.0
"Jan 23, 2017",0.00046,0.000464,0.00046,0.000461,7.0,8471.0
"Jan 24, 2017",0.000461,0.000462,0.000343,0.000446,20.0,8475.0
"Jan 25, 2017",0.000446,0.000478,0.000446,0.000451,9.0,8218.0
"Jan 26, 2017",0.000451,0.000817,0.000451,0.000817,19.0,8304.0
"Jan 27, 2017",0.000817,0.00129,0.000815,0.001021,10.0,15052.0
"Jan 28, 2017",0.001021,0.001026,0.000553,0.000553,6.0,18824.0
"Jan 29, 2017",0.000553,0.001845,0.000553,0.000708,46.0,10202.0
"Jan 30, 2017",0.000708,0.003683,0.000708,0.001602,3820.0,13070.0
"Jan 31, 2017",0.001601,0.004616,0.001364,0.001995,5028.0,29578.0
"Feb 01, 2017",0.001861,0.004588,0.001835,0.003006,3993.0,34380.0
"Feb 02, 2017",0.003006,0.003897,0.002783,0.003632,4703.0,55565.0
"Feb 03, 2017",0.003591,0.004098,0.003014,0.003186,4839.0,66417.0
"Feb 04, 2017",0.003186,0.003433,0.002572,0.002986,4074.0,58974.0
"Feb 05, 2017",0.002992,0.003096,0.002581,0.002753,4513.0,55409.0
"Feb 06, 2017",0.00291,0.003489,0.002694,0.003094,2942.0,53927.0
"Feb 07, 2017",0.0031,0.003336,0.002128,0.00259,4231.0,57464.0
"Feb 08, 2017",0.002422,0.00279,0.001874,0.001874,873.0,44930.0
"Feb 09, 2017",0.001876,0.00226,0.001167,0.001558,2672.0,34824.0
"Feb 10, 2017",0.001557,0.001933,0.001191,0.001615,2532.0,28918.0
"Feb 11, 2017",0.001618,0.001966,0.001287,0.001748,1744.0,30070.0
"Feb 12, 2017",0.001746,0.001753,0.001356,0.001439,1359.0,32461.0
"Feb 13, 2017",0.001488,0.001489,0.0011,0.0011,950.0,27684.0
"Feb 14, 2017",0.001101,0.001786,0.001099,0.001587,1268.0,20486.0
"Feb 15, 2017",0.00159,0.001626,0.001105,0.0014,1820.0,29603.0
"Feb 16, 2017",0.001431,0.001548,0.001171,0.001428,1311.0,26658.0
"Feb 17, 2017",0.001324,0.001558,0.001195,0.00135,1133.0,24673.0
"Feb 18, 2017",0.001291,0.001389,0.00127,0.001297,883.0,24070.0
"Feb 19, 2017",0.001297,0.001478,0.001268,0.001341,1001.0,24210.0
"Feb 20, 2017",0.001311,0.002104,0.001265,0.001922,1354.0,24476.0
"Feb 21, 2017",0.001921,0.002095,0.00135,0.001651,1155.0,35887.0
"Feb 22, 2017",0.00165,0.00165,0.00138,0.00143,627.0,30836.0
"Feb 23, 2017",0.001374,0.001507,0.001357,0.001458,2561.0,25698.0
"Feb 24, 2017",0.001466,0.00147,0.001261,0.001338,1412.0,27426.0
"Feb 25, 2017",0.001311,0.001429,0.001243,0.001395,2142.0,24539.0
"Feb 26, 2017",0.001396,0.0015,0.001313,0.001433,833.0,26147.0
"Feb 27, 2017",0.001431,0.001476,0.001273,0.001392,1210.0,26826.0
"Feb 28, 2017",0.001393,0.001504,0.001282,0.00144,964.0,26123.0
"Mar 01, 2017",0.00144,0.001475,0.001303,0.001308,1236.0,27008.0
"Mar 02, 2017",0.00131,0.001598,0.001301,0.001414,882.0,24599.0
"Mar 03, 2017",0.001363,0.001618,0.001169,0.001377,1123.0,25604.0
"Mar 04, 2017",0.00138,0.001455,0.001182,0.001192,861.0,25926.0
"Mar 05, 2017",0.001192,0.001291,0.001152,0.001242,1451.0,22405.0
"Mar 06, 2017",0.001229,0.001384,0.00121,0.00126,1035.0,23130.0
"Mar 07, 2017",0.001248,0.001403,0.00116,0.001162,1291.0,23489.0
"Mar 08, 2017",0.001162,0.001775,0.001122,0.001173,1590.0,21887.0
"Mar 09, 2017",0.001173,0.001607,0.001144,0.0012,1371.0,22111.0
"Mar 10, 2017",0.001201,0.001344,0.001074,0.001173,1502.0,22650.0
"Mar 11, 2017",0.001172,0.001548,0.001128,0.001176,577.0,22113.0
"Mar 12, 2017",0.001177,0.001406,0.001032,0.001087,1157.0,22210.0
"Mar 13, 2017",0.001087,0.001516,0.001085,0.001269,1573.0,20537.0
"Mar 14, 2017",0.001503,0.001677,0.001128,0.001128,1990.0,28408.0
"Mar 15, 2017",0.001327,0.001516,0.001128,0.0013,2003.0,25090.0
"Mar 16, 2017",0.001301,0.001518,0.001003,0.001354,1809.0,24618.0
"Mar 17, 2017",0.001345,0.001472,0.000713,0.000891,1241.0,25464.0
"Mar 18, 2017",0.000781,0.001078,0.000695,0.00076,937.0,14785.0
"Mar 19, 2017",0.000762,0.000979,0.000712,0.000912,1368.0,14435.0
"Mar 20, 2017",0.000747,0.000975,0.000686,0.000886,1799.0,14157.0
"Mar 21, 2017",0.000887,0.000961,0.000756,0.000773,1094.0,16813.0
"Mar 22, 2017",0.000773,0.000833,0.000695,0.000734,999.0,14672.0
"Mar 23, 2017",0.000735,0.001486,0.0007,0.001267,1747.0,13954.0
"Mar 24, 2017",0.000872,0.001681,0.000833,0.000984,1849.0,16568.0
"Mar 25, 2017",0.001227,0.001228,0.000879,0.000905,438.0,23313.0
"Mar 26, 2017",0.000906,0.001283,0.000868,0.000928,970.0,17221.0
"Mar 27, 2017",0.000933,0.001196,0.000933,0.000973,372.0,17747.0
"Mar 28, 2017",0.000971,0.001795,0.000936,0.001215,1249.0,18488.0
"Mar 29, 2017",0.001213,0.002068,0.001183,0.001321,981.0,23107.0
"Mar 30, 2017",0.001324,0.003203,0.001295,0.001334,1754.0,25216.0
"Mar 31, 2017",0.001335,0.002053,0.001335,0.001458,496.0,25437.0
"Apr 01, 2017",0.001458,0.001483,0.001202,0.001318,506.0,27795.0
"Apr 02, 2017",0.001405,0.001424,0.001218,0.001245,1530.0,26798.0
"Apr 03, 2017",0.001246,0.001567,0.001246,0.001395,655.0,23790.0
"Apr 04, 2017",0.001398,0.002148,0.001314,0.001553,906.0,26687.0
"Apr 05, 2017",0.001554,0.002076,0.001401,0.001462,1758.0,29683.0
"Apr 06, 2017",0.001464,0.00242,0.001461,0.001632,1475.0,27973.0
"Apr 07, 2017",0.001627,0.002987,0.001606,0.002318,2292.0,31108.0
"Apr 08, 2017",0.00231,0.004138,0.002283,0.002669,3447.0,44187.0
"Apr 09, 2017",0.002718,0.003158,0.002663,0.002768,2314.0,51995.0
"Apr 10, 2017",0.002861,0.003836,0.002773,0.00298,3891.0,54740.0
"Apr 11, 2017",0.002981,0.003633,0.002981,0.003193,5085.0,57070.0
"Apr 12, 2017",0.003253,0.005222,0.003173,0.005222,5466.0,62315.0
"Apr 13, 2017",0.004804,0.005326,0.003238,0.003274,1852.0,92065.0
"Apr 14, 2017",0.003277,0.003382,0.003246,0.003246,1731.0,62822.0
"Apr 15, 2017",0.003245,0.00353,0.003242,0.003271,1216.0,62230.0
"Apr 16, 2017",0.003272,0.004684,0.00319,0.004684,1438.0,62747.0
"Apr 17, 2017",0.004686,0.005032,0.003234,0.003976,6343.0,89869.0
"Apr 18, 2017",0.003975,0.005324,0.003659,0.003659,2104.0,76244.0
"Apr 19, 2017",0.003661,0.00602,0.003606,0.004502,6473.0,70287.0
"Apr 20, 2017",0.004502,0.005814,0.003778,0.00515,1829.0,86465.0
"Apr 21, 2017",0.005151,0.007046,0.004025,0.005108,10038.0,98953.0
"Apr 22, 2017",0.004928,0.005755,0.004791,0.005557,5777.0,94690.0
"Apr 23, 2017",0.005556,0.005814,0.004355,0.004684,4521.0,106815.0
"Apr 24, 2017",0.00466,0.00469,0.003888,0.004413,6888.0,89630.0
"Apr 25, 2017",0.004414,0.004454,0.004027,0.004442,6390.0,84930.0
"Apr 26, 2017",0.004444,0.004455,0.003645,0.00369,4714.0,85533.0
"Apr 27, 2017",0.003692,0.005923,0.00364,0.004663,5188.0,71098.0
"Apr 28, 2017",0.004782,0.010532,0.004491,0.010532,22965.0,92137.0
"Apr 29, 2017",0.007593,0.013152,0.006748,0.010769,19658.0,146353.0
"Apr 30, 2017",0.010769,0.012212,0.007525,0.010918,21002.0,207691.0
"May 01, 2017",0.010962,0.011736,0.007706,0.008046,11303.0,211504.0
"May 02, 2017",0.008043,0.009544,0.006842,0.007119,3445.0,155266.0
"May 03, 2017",0.007211,0.011661,0.005087,0.009208,3713.0,139260.0
"May 04, 2017",0.009957,0.010537,0.006395,0.007688,2189.0,192410.0
"May 05, 2017",0.00832,0.008367,0.006152,0.006408,1193.0,160852.0
"May 06, 2017",0.006414,0.008285,0.006414,0.006773,2996.0,124063.0
"May 07, 2017",0.006773,0.007832,0.006239,0.006387,1134.0,131071.0
"May 08, 2017",0.006388,0.007878,0.006331,0.00765,3195.0,123680.0
"May 09, 2017",0.00736,0.007667,0.005853,0.005986,2379.0,142566.0
"May 10, 2017",0.00599,0.0062,0.005867,0.006083,2117.0,116081.0
"May 11, 2017",0.006094,0.006482,0.005959,0.006243,2889.0,118161.0
"May 12, 2017",0.006267,0.006327,0.005666,0.00576,1304.0,121587.0
"May 13, 2017",0.005748,0.006245,0.005479,0.006119,2946.0,111568.0
"May 14, 2017",0.006032,0.006295,0.005776,0.00605,2380.0,117136.0
"May 15, 2017",0.006053,0.006063,0.005734,0.005867,2379.0,117611.0
"May 16, 2017",0.005859,0.006485,0.005751,0.005965,2139.0,113886.0
"May 17, 2017",0.006259,0.006814,0.005892,0.00669,2978.0,121738.0
"May 18, 2017",0.006668,0.006702,0.00585,0.006351,2065.0,129749.0
"May 19, 2017",0.006354,0.006993,0.00603,0.006306,3045.0,123702.0
"May 20, 2017",0.006358,0.006551,0.00544,0.006016,1698.0,123837.0
"May 21, 2017",0.006157,0.00652,0.005633,0.005787,3443.0,119978.0
"May 22, 2017",0.005988,0.00702,0.005767,0.007007,4896.0,116731.0
"May 23, 2017",0.006175,0.007279,0.006126,0.006596,2501.0,120418.0
"May 24, 2017",0.006649,0.009575,0.006595,0.009368,9145.0,129703.0
"May 25, 2017",0.008912,0.00973,0.006242,0.006433,4254.0,173887.0
"May 26, 2017",0.006409,0.007732,0.005749,0.006577,4416.0,125081.0
"May 27, 2017",0.005973,0.006686,0.004882,0.00541,1423.0,116601.0
"May 28, 2017",0.005443,0.006578,0.005443,0.005961,3217.0,106277.0
"May 29, 2017",0.005949,0.006035,0.005505,0.00587,3044.0,116179.0
