datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-4-25,0.000254,0.000254,0.000228,0.000253,7427.0,0.0
2017-4-26,0.00024,0.000267,0.000205,0.000218,3195.0,0.0
2017-4-27,0.000218,0.000349,0.000218,0.000291,4229.0,0.0
2017-4-28,0.000291,0.000547,0.000237,0.000354,3001.0,0.0
2017-4-29,0.000367,0.000573,0.000275,0.000276,1182.0,0.0
2017-4-30,0.000276,0.000376,0.000265,0.000323,5833.0,0.0
2017-5-01,0.000323,0.000384,0.000314,0.000356,4634.0,129828.0
2017-5-02,0.000356,0.000411,0.000355,0.000393,2538.0,142720.0
2017-5-03,0.000393,0.000422,0.000345,0.000346,3302.0,157928.0
2017-5-04,0.000386,0.000413,0.00032,0.000369,4160.0,154868.0
2017-5-05,0.00037,0.000386,0.000298,0.000342,3288.0,148334.0
2017-5-06,0.000342,0.000376,0.00028,0.000306,5866.0,137255.0
2017-5-07,0.000306,0.000415,0.000205,0.000225,35691.0,122875.0
2017-5-08,0.000225,0.000355,0.000155,0.000205,15631.0,90366.0
2017-5-09,0.000205,0.000207,9e-05,9e-05,6247.0,82309.0
2017-5-10,9e-05,0.000154,9e-05,0.000123,552.0,36136.0
2017-5-11,0.000123,0.00014,9.4e-05,0.000134,415.0,49489.0
2017-5-12,0.000128,0.000128,8.8e-05,0.000104,1044.0,51342.0
2017-5-13,0.000103,0.000104,6.9e-05,8.9e-05,493.0,41454.0
2017-5-14,8.9e-05,0.000142,8.9e-05,0.000108,1465.0,35723.0
2017-5-15,9e-05,0.000125,7.2e-05,7.4e-05,1323.0,36018.0
2017-5-16,7.5e-05,0.000105,6.8e-05,0.000104,672.0,29962.0
2017-5-17,0.000104,0.000109,7.3e-05,7.3e-05,453.0,41878.0
2017-5-18,7.3e-05,9.3e-05,7.2e-05,8.3e-05,865.0,29192.0
2017-5-19,8.3e-05,9.8e-05,5.8e-05,9.8e-05,392.0,33213.0
2017-5-20,9.8e-05,0.000116,6e-05,8.2e-05,908.0,39362.0
2017-5-21,8.2e-05,8.6e-05,4.4e-05,5.4e-05,363.0,32871.0
2017-5-22,5.5e-05,9.6e-05,4.9e-05,8.9e-05,317.0,21912.0
2017-5-23,8.9e-05,9.2e-05,4.9e-05,6.9e-05,682.0,35706.0
2017-5-24,6.9e-05,9.4e-05,6.9e-05,7.7e-05,170.0,27769.0
2017-5-25,7.7e-05,0.000102,4.5e-05,4.6e-05,432.0,30712.0
2017-5-26,4.6e-05,0.000104,4.5e-05,4.6e-05,73.0,18458.0
2017-5-27,4.6e-05,9.3e-05,4.4e-05,9.3e-05,39.0,18474.0
2017-5-28,9.2e-05,0.0001,4.8e-05,9.2e-05,63.0,37099.0
2017-5-29,9.7e-05,0.000107,6e-05,6.9e-05,176.0,38873.0
2017-5-30,6.9e-05,9.3e-05,6.5e-05,6.5e-05,236.0,27558.0
2017-5-31,6.6e-05,9.4e-05,6.5e-05,9.4e-05,267.0,26376.0
2017-6-01,9.4e-05,0.000119,7.2e-05,7.4e-05,1511.0,37535.0
2017-6-02,7.4e-05,9.8e-05,7.2e-05,7.5e-05,230.0,29544.0
2017-6-03,7.5e-05,0.000103,7.4e-05,0.000103,117.0,30085.0
2017-6-04,0.000103,0.00011,7.6e-05,0.000109,392.0,41204.0
2017-6-05,0.000109,0.000127,8.2e-05,9.2e-05,494.0,43654.0
2017-6-06,9.2e-05,0.00012,6.7e-05,0.000109,793.0,37083.0
2017-6-07,0.000109,0.000333,8.8e-05,0.00033,261.0,43718.0
2017-6-08,0.000331,0.000331,0.000193,0.000222,1518.0,132736.0
2017-6-09,0.000222,0.00027,0.000118,0.000148,1009.0,89157.0
2017-6-10,0.000146,0.000233,8.8e-05,0.000233,188.0,58775.0
2017-6-11,0.000233,0.000262,0.000126,0.000127,363.0,93431.0
2017-6-12,0.000127,0.000222,9.4e-05,0.000214,211.0,50876.0
2017-6-13,0.000213,0.000575,0.000194,0.00025,730.0,85665.0
2017-6-14,0.000251,0.00056,8.2e-05,0.000547,323.0,100766.0
2017-6-15,0.000547,0.000549,0.000121,0.000124,259.0,219388.0
2017-6-16,0.000124,0.000264,0.000121,0.000144,217.0,49748.0
2017-6-17,0.000144,0.000144,7.7e-05,8.3e-05,131.0,57608.0
2017-6-18,8.3e-05,0.000127,7.8e-05,0.000102,2492.0,33512.0
2017-6-19,0.000102,0.000109,7.6e-05,0.000109,169.0,41125.0
2017-6-20,0.000116,0.000183,9.9e-05,0.000182,329.0,46422.0
2017-6-21,0.00018,0.000184,8.8e-05,0.000109,133.0,72439.0
2017-6-22,0.000109,0.000145,8.2e-05,8.2e-05,303.0,43882.0
2017-6-23,8.2e-05,0.000112,8.2e-05,8.7e-05,169.0,32926.0
2017-6-24,8.7e-05,0.000164,7.7e-05,7.8e-05,62.0,34731.0
2017-6-25,7.8e-05,0.00011,7.7e-05,0.000103,156.0,31339.0
2017-6-26,0.000103,0.000121,7.5e-05,0.000103,783.0,41301.0
2017-6-27,0.000105,0.000141,7e-05,9.2e-05,35.0,42134.0
2017-6-28,9.3e-05,0.000194,9.1e-05,0.000148,246.0,37242.0
2017-6-29,0.000148,0.000181,8.1e-05,8.2e-05,53.0,59226.0
2017-6-30,8.2e-05,0.000102,5.9e-05,9.8e-05,96.0,32868.0
2017-7-01,9.8e-05,0.000118,8.6e-05,0.000112,20.0,39442.0
2017-7-02,0.000112,0.000112,7.2e-05,9.4e-05,1.0,44890.0
2017-7-03,9.4e-05,0.000158,7.3e-05,9.1e-05,79.0,37542.0
2017-7-04,9.1e-05,0.000105,5.2e-05,0.000105,2674.0,36397.0
2017-7-05,0.000105,0.000127,7.8e-05,0.000106,79.0,42035.0
2017-7-06,0.000106,0.000146,8e-05,9.6e-05,64.0,42498.0
2017-7-07,9.6e-05,0.000103,5e-05,0.0001,270.0,38506.0
2017-7-08,0.0001,0.000101,5e-05,7.7e-05,216.0,40169.0
2017-7-09,7.7e-05,0.000122,7.7e-05,0.000121,171.0,30902.0
2017-7-10,0.000121,0.000137,7.2e-05,7.4e-05,196.0,48537.0
2017-7-11,7.4e-05,0.000232,4.6e-05,0.00023,169.0,29522.0
2017-7-12,0.000229,0.000297,0.000104,0.000105,45.0,92049.0
2017-7-13,0.000105,0.000173,5.1e-05,7.4e-05,1226.0,42131.0
2017-7-14,7.4e-05,0.000198,6.9e-05,0.000197,607.0,29536.0
2017-7-15,0.000197,0.000241,0.000166,0.000219,312.0,78886.0
2017-7-16,0.000218,0.000318,0.000185,0.000205,341.0,87555.0
2017-7-17,0.000204,0.000362,0.000137,0.000327,312.0,82059.0
2017-7-18,0.000205,0.00034,0.00011,0.000169,1204.0,82431.0
2017-7-19,0.00016,0.000194,8.1e-05,0.000179,231.0,64276.0
2017-7-20,0.000179,0.000293,0.000107,0.000117,164.0,71811.0
2017-7-21,0.000117,0.000176,9.4e-05,9.5e-05,19.0,47110.0
2017-7-22,9e-05,0.000551,7.1e-05,0.000413,418.0,35968.0
