datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-7-12,0.009225,0.01058,0.007185,0.010468,1140.0,0.0
2017-7-13,0.010476,0.012616,0.007673,0.009371,5248.0,48716.0
2017-7-14,0.009364,0.011726,0.009139,0.010001,1256.0,43547.0
2017-7-15,0.009984,0.01053,0.009401,0.010155,1694.0,46428.0
2017-7-16,0.010124,0.012308,0.009762,0.01155,2682.0,47082.0
2017-7-17,0.011537,0.014391,0.010044,0.014367,2663.0,53654.0
2017-7-18,0.014404,0.015015,0.010587,0.01092,2370.0,66985.0
2017-7-19,0.010938,0.014978,0.010694,0.010767,3072.0,50865.0
2017-7-20,0.010735,0.016,0.009362,0.012481,4416.0,49921.0
2017-7-21,0.012574,0.015093,0.008218,0.008537,3159.0,58473.0
2017-7-22,0.008535,0.014286,0.008494,0.01285,710.0,39692.0
2017-7-23,0.01285,0.015411,0.008252,0.012392,2206.0,59759.0
2017-7-24,0.012377,0.013627,0.009814,0.009916,1614.0,57560.0
2017-7-25,0.00993,0.012197,0.007902,0.011925,274.0,46180.0
2017-7-26,0.011931,0.012143,0.007742,0.007931,665.0,55483.0
2017-7-27,0.007953,0.010714,0.007953,0.010612,64.0,36985.0
2017-7-28,0.010644,0.010729,0.00877,0.010676,39.0,49499.0
2017-7-29,0.010721,0.011554,0.008276,0.009505,133.0,49857.0
2017-7-30,0.009513,0.011274,0.009132,0.010928,57.0,44241.0
2017-7-31,0.010951,0.01121,0.00842,0.008726,60.0,50927.0
2017-8-01,0.00873,0.008872,0.006698,0.006786,57.0,40598.0
2017-8-02,0.00644,0.010625,0.004174,0.006738,3078.0,29947.0
2017-8-03,0.006748,0.009532,0.005533,0.005602,20.0,31380.0
2017-8-04,0.005603,0.008027,0.00402,0.004055,351.0,26057.0
2017-8-05,0.004054,0.012761,0.004051,0.007225,11198.0,18850.0
2017-8-06,0.007226,0.011317,0.007226,0.007584,3395.0,33605.0
2017-8-07,0.007567,0.011013,0.007567,0.010165,129.0,35191.0
2017-8-08,0.010175,0.013725,0.008533,0.010263,7020.0,47318.0
2017-8-09,0.010256,0.013314,0.009776,0.013203,17760.0,47695.0
2017-8-10,0.013205,0.013555,0.010022,0.010249,11024.0,61407.0
2017-8-11,0.010248,0.013182,0.008911,0.012056,6890.0,47659.0
2017-8-12,0.012046,0.012882,0.009798,0.010104,1130.0,56019.0
2017-8-13,0.010095,0.012553,0.006445,0.010839,2781.0,46945.0
2017-8-14,0.010845,0.010956,0.008954,0.009235,125.0,50436.0
2017-8-15,0.00926,0.009345,0.007725,0.008298,21.0,43062.0
2017-8-16,0.008307,0.011173,0.007873,0.009357,3031.0,38633.0
2017-8-17,0.009348,0.011212,0.009187,0.009444,2863.0,43473.0
2017-8-18,0.009416,0.010497,0.007119,0.008635,835.0,43786.0
2017-8-19,0.008628,0.009702,0.004201,0.004206,200.0,40123.0
2017-8-20,0.004187,0.008224,0.004091,0.004113,20.0,19470.0
2017-8-21,0.004097,0.005841,0.004086,0.005588,108.0,19055.0
2017-8-22,0.005601,0.005844,0.003915,0.004135,25.0,26048.0
2017-8-23,0.004127,0.005063,0.004082,0.004141,112.0,19192.0
2017-8-24,0.004143,0.004254,0.002464,0.002515,434.0,19266.0
2017-8-25,0.002511,0.002588,0.002493,0.002517,4.0,11676.0
2017-8-26,0.002538,0.002569,0.002538,0.002564,4.0,11800.0
