datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jan 01, 2017",0.00298,0.003305,0.002159,0.00293,511.0,162253.0
"Jan 02, 2017",0.00293,0.003111,0.002726,0.002726,526.0,159524.0
"Jan 03, 2017",0.002726,0.003225,0.002261,0.002288,208.0,148406.0
"Jan 04, 2017",0.002288,0.002648,0.002288,0.002456,241.0,124550.0
"Jan 05, 2017",0.002429,0.003264,0.002357,0.003257,463.0,132268.0
"Jan 06, 2017",0.003257,0.003302,0.002477,0.002766,164.0,177331.0
"Jan 07, 2017",0.002766,0.00316,0.001437,0.002858,843.0,150584.0
"Jan 08, 2017",0.002859,0.002875,0.002755,0.002872,1718.0,155629.0
"Jan 09, 2017",0.002872,0.003102,0.001778,0.002123,240.0,156380.0
"Jan 10, 2017",0.002124,0.003021,0.001285,0.001325,90.0,115619.0
"Jan 11, 2017",0.001322,0.002631,0.0008,0.002425,213.0,71977.0
"Jan 12, 2017",0.002424,0.00253,0.001693,0.002237,365.0,131960.0
"Jan 13, 2017",0.002238,0.002717,0.002238,0.00258,173.0,121832.0
"Jan 14, 2017",0.00258,0.00258,0.002149,0.002177,56.0,140450.0
"Jan 15, 2017",0.002177,0.002519,0.001812,0.002475,1126.0,118530.0
"Jan 16, 2017",0.002475,0.002475,0.001274,0.002286,107.0,134724.0
"Jan 17, 2017",0.002286,0.002286,0.001357,0.001754,57.0,124437.0
"Jan 18, 2017",0.001754,0.002528,0.001579,0.002438,134.0,95488.0
"Jan 19, 2017",0.002437,0.002601,0.001449,0.00197,87.0,132695.0
"Jan 20, 2017",0.00197,0.002272,0.001952,0.002108,122.0,107261.0
"Jan 21, 2017",0.002055,0.00229,0.001379,0.002284,355.0,111887.0
"Jan 22, 2017",0.002284,0.002302,0.002054,0.002183,74.0,124360.0
"Jan 23, 2017",0.002183,0.002185,0.001882,0.002065,178.0,118867.0
"Jan 24, 2017",0.002065,0.00217,0.001618,0.001752,49.0,112450.0
"Jan 25, 2017",0.001752,0.001756,0.001395,0.001404,103.0,95391.0
"Jan 26, 2017",0.001404,0.001641,0.000793,0.001557,59.0,76463.0
"Jan 27, 2017",0.001557,0.001829,0.001314,0.001821,348.0,84789.0
"Jan 28, 2017",0.00182,0.001839,0.00182,0.001838,343.0,99097.0
"Jan 29, 2017",0.001838,0.001843,0.001539,0.001621,49.0,100088.0
"Jan 30, 2017",0.001622,0.001823,0.000963,0.000964,20.0,88284.0
"Jan 31, 2017",0.000964,0.001855,0.000935,0.001834,161.0,52466.0
"Feb 01, 2017",0.001834,0.001849,0.001072,0.001136,15.0,99874.0
"Feb 02, 2017",0.001137,0.00122,0.000306,0.000349,640.0,61888.0
"Feb 03, 2017",0.000349,0.002144,0.000348,0.002133,75.0,18992.0
"Feb 04, 2017",0.002132,0.002291,0.001925,0.001931,122.0,116088.0
"Feb 05, 2017",0.001931,0.002084,0.000938,0.002083,68.0,105106.0
"Feb 06, 2017",0.002085,0.00242,0.002085,0.002368,220.0,113532.0
"Feb 07, 2017",0.002367,0.002367,0.000821,0.000878,10.0,128880.0
"Feb 08, 2017",0.00088,0.002388,0.000769,0.002363,424.0,47914.0
"Feb 09, 2017",0.002363,0.002496,0.000726,0.002495,138.0,128640.0
"Feb 10, 2017",0.002488,0.002635,0.001786,0.002635,571.0,135439.0
"Feb 11, 2017",0.002635,0.002638,0.002611,0.002611,428.0,143450.0
"Feb 12, 2017",0.002611,0.002616,0.002577,0.002577,372.0,142143.0
