datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jul 24, 2017",51.62,54.69,49.61,53.37,187147.0,30941400.0
"Jul 25, 2017",53.36,53.98,44.98,48.28,282698.0,31985000.0
"Jul 26, 2017",48.13,49.06,44.88,47.14,230046.0,28849700.0
"Jul 27, 2017",46.97,47.76,45.97,47.19,133910.0,28153800.0
"Jul 28, 2017",47.19,48.02,45.26,46.58,192114.0,28288100.0
"Jul 29, 2017",46.45,46.5,43.67,46.14,146967.0,27840700.0
"Jul 30, 2017",45.65,46.08,43.33,44.12,123682.0,27363000.0
"Jul 31, 2017",44.19,44.3,41.51,43.96,212263.0,26488600.0
"Aug 01, 2017",43.91,47.14,42.31,45.93,301248.0,26320300.0
"Aug 02, 2017",45.63,47.37,44.34,46.51,361414.0,27348800.0
"Aug 03, 2017",46.93,48.52,46.32,48.1,176920.0,28131600.0
"Aug 04, 2017",48.26,52.22,48.17,51.99,231089.0,28926600.0
"Aug 05, 2017",52.08,59.6,51.3,59.15,343261.0,31216800.0
"Aug 06, 2017",59.36,64.23,57.86,62.59,486196.0,35580300.0
"Aug 07, 2017",61.06,64.64,58.37,61.32,715739.0,36598700.0
"Aug 08, 2017",61.07,69.02,59.8,68.66,461615.0,36602700.0
"Aug 09, 2017",68.69,70.49,64.62,67.84,492909.0,41173300.0
"Aug 10, 2017",68.23,69.16,66.69,67.21,260796.0,40896600.0
"Aug 11, 2017",67.2,80.32,66.67,79.19,840705.0,40282500.0
"Aug 12, 2017",77.68,92.88,77.17,92.37,1340310.0,46562200.0
"Aug 13, 2017",92.17,95.43,85.98,92.71,744750.0,55249000.0
"Aug 14, 2017",94.0,99.77,87.28,90.01,678919.0,56345500.0
"Aug 15, 2017",90.03,90.27,73.27,76.64,440753.0,53963700.0
"Aug 16, 2017",76.09,83.74,74.92,83.08,334109.0,45610000.0
"Aug 17, 2017",83.56,85.8,78.7,80.42,291458.0,50085900.0
"Aug 18, 2017",80.46,83.91,72.57,74.55,440624.0,48226100.0
"Aug 19, 2017",74.69,76.88,72.07,73.48,217840.0,44769600.0
"Aug 20, 2017",73.31,75.09,70.52,74.55,247749.0,43939300.0
"Aug 21, 2017",74.99,75.45,72.52,73.26,334428.0,44946100.0
"Aug 22, 2017",74.54,74.82,67.0,72.81,301785.0,44676500.0
