datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jan 01, 2017",0.001513,0.001565,0.00121,0.001557,113.0,18234.0
"Jan 02, 2017",0.001557,0.001617,0.00153,0.001614,10.0,18773.0
"Jan 03, 2017",0.001614,0.00165,0.001614,0.00165,7.0,19466.0
"Jan 04, 2017",0.001649,0.001814,0.001649,0.001794,7.0,19892.0
"Jan 05, 2017",0.001366,0.001539,0.001366,0.001516,9.0,16478.0
"Jan 06, 2017",0.00152,0.001744,0.001455,0.001552,70.0,18344.0
"Jan 07, 2017",0.001554,0.002026,0.001545,0.002026,153.0,18758.0
"Jan 08, 2017",0.002026,0.002125,0.001866,0.00212,18.0,24465.0
"Jan 09, 2017",0.002123,0.002129,0.001965,0.002005,19.0,25642.0
"Jan 10, 2017",0.002004,0.002104,0.00162,0.001634,104.0,24214.0
"Jan 11, 2017",0.001634,0.002222,0.001388,0.002204,402.0,19744.0
"Jan 12, 2017",0.002256,0.002524,0.001772,0.002166,222.0,27264.0
"Jan 13, 2017",0.002165,0.002442,0.002128,0.002139,13.0,26177.0
"Jan 14, 2017",0.002142,0.002575,0.002082,0.002538,87.0,25911.0
"Jan 15, 2017",0.002537,0.002551,0.002037,0.002055,86.0,30693.0
"Jan 16, 2017",0.002054,0.002103,0.002051,0.002095,14.0,24862.0
"Jan 17, 2017",0.002095,0.002174,0.001375,0.001561,598.0,25365.0
"Jan 18, 2017",0.001562,0.001635,0.001412,0.001545,87.0,18907.0
"Jan 19, 2017",0.001552,0.001653,0.001417,0.001421,215.0,18791.0
"Jan 20, 2017",0.001421,0.001562,0.001404,0.001539,10.0,17208.0
"Jan 21, 2017",0.001539,0.001746,0.001539,0.001742,47.0,18653.0
"Jan 22, 2017",0.001742,0.001762,0.000916,0.001034,968.0,21116.0
"Jan 23, 2017",0.001036,0.002032,0.000828,0.001963,740.0,12556.0
"Jan 24, 2017",0.00194,0.00194,0.001133,0.001285,144.0,23523.0
"Jan 25, 2017",0.001285,0.001606,0.000913,0.001604,340.0,15591.0
"Jan 26, 2017",0.001606,0.001615,0.000777,0.001156,3622.0,19483.0
"Jan 27, 2017",0.001156,0.001472,0.000782,0.001315,665.0,14025.0
"Jan 28, 2017",0.001315,0.001384,0.000985,0.001272,161.0,15956.0
"Jan 29, 2017",0.001272,0.001625,0.001245,0.001508,170.0,15429.0
"Jan 30, 2017",0.001508,0.002028,0.001491,0.001713,176.0,18295.0
"Jan 31, 2017",0.001712,0.001742,0.001629,0.001669,13.0,20770.0
"Feb 01, 2017",0.001873,0.001902,0.001569,0.001731,85.0,22723.0
"Feb 02, 2017",0.001731,0.001994,0.001681,0.001761,6.0,21000.0
"Feb 03, 2017",0.00176,0.002101,0.001755,0.00205,13.0,21354.0
"Feb 04, 2017",0.002052,0.002775,0.00202,0.002607,379.0,24904.0
"Feb 05, 2017",0.002609,0.002609,0.001959,0.001962,28.0,31659.0
"Feb 06, 2017",0.001964,0.001995,0.001656,0.001796,165.0,23837.0
"Feb 07, 2017",0.001799,0.001868,0.001792,0.001868,15.0,21839.0
"Feb 08, 2017",0.00187,0.001899,0.001407,0.001786,80.0,22693.0
"Feb 09, 2017",0.001789,0.001829,0.001588,0.0017,4.0,21710.0
"Feb 10, 2017",0.001703,0.001778,0.001271,0.00177,53.0,20665.0
"Feb 11, 2017",0.00177,0.001805,0.001688,0.001698,4.0,21486.0
"Feb 12, 2017",0.001696,0.001696,0.001286,0.001639,63.0,20586.0
"Feb 13, 2017",0.001638,0.001643,0.001507,0.001585,6.0,19884.0
"Feb 14, 2017",0.001587,0.002202,0.001585,0.002079,547.0,19261.0
"Feb 15, 2017",0.002083,0.002508,0.002077,0.002216,440.0,25282.0
"Feb 16, 2017",0.002217,0.002824,0.002031,0.002527,354.0,26909.0
"Feb 17, 2017",0.002524,0.002817,0.002238,0.002574,525.0,30641.0
"Feb 18, 2017",0.002581,0.00261,0.002031,0.002035,248.0,31332.0
"Feb 19, 2017",0.002036,0.002496,0.002014,0.002054,12.0,24713.0
"Feb 20, 2017",0.002055,0.002215,0.0018,0.002149,500.0,24955.0
"Feb 21, 2017",0.002148,0.002201,0.002143,0.002178,9.0,26077.0
"Feb 22, 2017",0.001879,0.002129,0.001877,0.001877,84.0,22814.0
"Feb 23, 2017",0.001877,0.001942,0.001876,0.001941,12.0,22791.0
"Feb 24, 2017",0.001954,0.001955,0.001921,0.001937,17.0,23721.0
"Feb 25, 2017",0.001931,0.002377,0.001901,0.002265,194.0,23451.0
"Feb 26, 2017",0.002266,0.00309,0.002265,0.002587,281.0,27514.0
"Feb 27, 2017",0.002584,0.002695,0.002583,0.00269,1.0,31380.0
"Feb 28, 2017",0.002692,0.003464,0.002692,0.003044,134.0,32701.0
"Mar 01, 2017",0.003044,0.003482,0.003002,0.003032,101.0,36987.0
"Mar 02, 2017",0.003037,0.003276,0.002801,0.003102,17.0,36904.0
"Mar 03, 2017",0.003102,0.003307,0.002531,0.003187,54.0,37693.0
"Mar 04, 2017",0.003194,0.003694,0.002609,0.003238,112.0,38814.0
"Mar 05, 2017",0.003236,0.003263,0.002665,0.002927,18.0,39335.0
"Mar 06, 2017",0.002928,0.003688,0.002928,0.003526,242.0,35592.0
"Mar 07, 2017",0.003094,0.003226,0.002928,0.003169,12.0,37615.0
"Mar 08, 2017",0.003168,0.003283,0.003017,0.003174,5.0,38523.0
"Mar 09, 2017",0.003175,0.003317,0.00315,0.003209,7.0,38611.0
"Mar 10, 2017",0.003211,0.003684,0.002197,0.002792,340.0,39058.0
"Mar 11, 2017",0.002791,0.002867,0.002585,0.00261,68.0,33949.0
"Mar 12, 2017",0.002612,0.003048,0.002609,0.003041,21.0,31781.0
"Mar 13, 2017",0.003042,0.00309,0.002624,0.002796,115.0,37020.0
"Mar 14, 2017",0.002797,0.003112,0.002783,0.002951,77.0,34040.0
