datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-7-28,0.011723,0.012903,0.010314,0.011152,1095.0,1172330.0
2017-7-29,0.011117,0.011264,0.010498,0.011044,433.0,1111680.0
2017-7-30,0.011067,0.011238,0.008836,0.009966,212.0,1106690.0
2017-7-31,0.009977,0.01186,0.007355,0.011032,1795.0,997651.0
2017-8-01,0.011037,0.013788,0.010901,0.013229,1482.0,1103690.0
2017-8-02,0.013226,0.013248,0.011106,0.012577,1262.0,1322600.0
2017-8-03,0.012597,0.014455,0.011592,0.014369,4023.0,1259710.0
2017-8-04,0.014353,0.015606,0.01144,0.01524,2027.0,1435350.0
2017-8-05,0.015132,0.01764,0.012562,0.012738,738.0,1513180.0
2017-8-06,0.01274,0.017101,0.011768,0.014613,3486.0,1273980.0
2017-8-07,0.014584,0.015999,0.013229,0.013899,1795.0,1458390.0
2017-8-08,0.013748,0.016953,0.013728,0.013895,2532.0,1374760.0
2017-8-09,0.013886,0.01759,0.012811,0.017539,1384.0,1388550.0
2017-8-10,0.017541,0.017647,0.013591,0.017309,2287.0,1754100.0
2017-8-11,0.017308,0.018177,0.01617,0.017839,5111.0,1730780.0
2017-8-12,0.017798,0.018195,0.014791,0.01523,1826.0,1779750.0
2017-8-13,0.015216,0.017045,0.015216,0.01599,1639.0,1521600.0
2017-8-14,0.01597,0.021757,0.010667,0.021646,14864.0,1597040.0
2017-8-15,0.0217,0.0217,0.011064,0.014774,6426.0,2170010.0
2017-8-16,0.014789,0.015527,0.013754,0.014005,8.0,1478930.0
2017-8-17,0.013994,0.018843,0.012933,0.015692,2397.0,1399410.0
2017-8-18,0.015698,0.015756,0.014006,0.015554,1600.0,1569820.0
2017-8-19,0.015553,0.020752,0.01493,0.020131,4803.0,1555250.0
2017-8-20,0.020049,0.022911,0.019468,0.020471,969.0,2004890.0
2017-8-21,0.020392,0.021342,0.015136,0.01646,3153.0,2039230.0
2017-8-22,0.016497,0.017341,0.015248,0.016203,1660.0,1649700.0
2017-8-23,0.016172,0.0198,0.016157,0.017775,3144.0,1617200.0
2017-8-24,0.017781,0.018831,0.016021,0.016251,5552.0,1778120.0
2017-8-25,0.016233,0.019635,0.016127,0.017071,1937.0,1623280.0
2017-8-26,0.017103,0.020923,0.01083,0.01874,17687.0,1710270.0
