datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jun 05, 2017",5.78,5.88,5.71,5.78,1239070.0,0.0
"Jun 06, 2017",5.81,6.24,5.81,5.98,772477.0,0.0
"Jun 07, 2017",5.98,6.01,5.38,5.56,1004770.0,0.0
"Jun 08, 2017",5.56,5.96,5.25,5.94,1007020.0,0.0
"Jun 09, 2017",5.94,6.16,5.26,5.49,1496850.0,0.0
"Jun 10, 2017",5.49,5.5,5.15,5.21,873042.0,0.0
"Jun 11, 2017",5.25,5.29,4.96,5.12,578033.0,0.0
"Jun 12, 2017",5.17,5.3,4.64,4.71,576435.0,0.0
"Jun 13, 2017",4.75,5.48,4.59,5.31,565392.0,0.0
"Jun 14, 2017",5.24,5.42,4.71,4.84,511714.0,0.0
"Jun 15, 2017",4.9,4.94,4.08,4.79,341765.0,0.0
"Jun 16, 2017",4.75,4.98,4.61,4.82,334433.0,0.0
"Jun 17, 2017",4.77,5.09,4.67,4.98,525094.0,0.0
"Jun 18, 2017",5.01,5.14,4.79,5.03,564260.0,0.0
"Jun 19, 2017",5.03,5.85,4.83,5.76,1209340.0,0.0
"Jun 20, 2017",5.76,5.76,5.42,5.52,1732880.0,0.0
"Jun 21, 2017",5.48,5.7,5.12,5.49,928249.0,0.0
"Jun 22, 2017",5.5,5.65,5.3,5.42,886136.0,0.0
"Jun 23, 2017",5.42,5.5,5.28,5.44,1059860.0,0.0
"Jun 24, 2017",5.42,6.23,5.25,5.66,2666640.0,0.0
"Jun 25, 2017",5.65,5.77,5.03,5.45,1416700.0,0.0
"Jun 26, 2017",5.44,5.5,3.81,4.33,1497800.0,0.0
"Jun 27, 2017",4.46,4.58,3.09,4.08,1424020.0,0.0
"Jun 28, 2017",4.07,4.23,3.69,4.07,786704.0,0.0
"Jun 29, 2017",4.1,4.11,3.74,3.92,558771.0,0.0
"Jun 30, 2017",3.93,3.93,3.59,3.62,547755.0,0.0
"Jul 01, 2017",3.66,3.67,3.27,3.32,573443.0,0.0
"Jul 02, 2017",3.31,3.31,2.67,2.98,644980.0,0.0
"Jul 03, 2017",2.96,3.14,2.82,3.04,621000.0,0.0
"Jul 04, 2017",3.09,3.21,2.99,3.05,559692.0,0.0
"Jul 05, 2017",3.03,3.14,2.68,2.86,513030.0,0.0
"Jul 06, 2017",2.82,2.93,2.75,2.8,388423.0,0.0
"Jul 07, 2017",2.81,2.82,2.43,2.43,389197.0,0.0
"Jul 08, 2017",2.43,2.43,2.05,2.42,397700.0,0.0
"Jul 09, 2017",2.42,2.49,2.19,2.19,341665.0,0.0
"Jul 10, 2017",2.2,2.37,1.7,1.82,316470.0,0.0
