datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-6-19,2.5e-05,2.5e-05,2.5e-05,2.5e-05,0.0,0.0
2017-6-20,2.5e-05,2.5e-05,2.5e-05,2.5e-05,2.0,0.0
2017-6-21,2.5e-05,2.5e-05,2.5e-05,2.5e-05,3.0,0.0
2017-6-22,2.5e-05,2.5e-05,2.5e-05,2.5e-05,3.0,0.0
2017-6-23,2.5e-05,2.7e-05,2.5e-05,2.7e-05,1.0,0.0
2017-6-24,2.7e-05,2.7e-05,2.5e-05,2.6e-05,2.0,0.0
2017-6-25,2.6e-05,2.6e-05,2.4e-05,2.5e-05,1.0,0.0
2017-6-26,2.5e-05,2.6e-05,2.3e-05,2.4e-05,6.0,0.0
2017-6-27,2.4e-05,2.5e-05,2.3e-05,2.5e-05,1.0,0.0
2017-6-28,2.5e-05,2.5e-05,2.5e-05,2.5e-05,1.0,0.0
2017-6-29,2.6e-05,2.6e-05,2.5e-05,2.5e-05,0.0,0.0
2017-6-30,2.5e-05,2.5e-05,2.5e-05,2.5e-05,3.0,0.0
2017-7-01,2.5e-05,2.5e-05,2.4e-05,2.4e-05,0.0,0.0
2017-7-02,2.4e-05,2.5e-05,2.4e-05,2.5e-05,0.0,0.0
2017-7-03,2.5e-05,2.6e-05,2.5e-05,2.5e-05,2.0,0.0
2017-7-04,2.5e-05,2.6e-05,2.5e-05,2.6e-05,0.0,0.0
2017-7-05,2.6e-05,2.6e-05,2.5e-05,2.6e-05,28.0,0.0
2017-7-06,2.6e-05,2.6e-05,2.6e-05,2.6e-05,1.0,0.0
2017-7-07,2.6e-05,2.6e-05,2.5e-05,2.5e-05,1.0,0.0
2017-7-08,2.5e-05,2.5e-05,2.5e-05,2.5e-05,0.0,0.0
2017-7-09,2.5e-05,2.6e-05,2.5e-05,2.5e-05,0.0,0.0
2017-7-10,2.5e-05,2.5e-05,2.4e-05,2.4e-05,0.0,0.0
2017-7-11,2.3e-05,2.4e-05,2.3e-05,2.3e-05,22.0,0.0
2017-7-12,2.3e-05,2.4e-05,2.2e-05,2.4e-05,23.0,0.0
2017-7-15,2.1e-05,2.1e-05,2e-05,2e-05,0.0,0.0
2017-7-16,2e-05,2.1e-05,2e-05,2.1e-05,0.0,0.0
2017-7-18,2.2e-05,2.4e-05,2.2e-05,2.3e-05,160.0,0.0
2017-7-19,2.3e-05,2.4e-05,2.2e-05,2.2e-05,102.0,0.0
2017-7-20,2.4e-05,2.9e-05,2.4e-05,2.8e-05,2.0,0.0
2017-7-21,2.8e-05,2.8e-05,2.7e-05,2.7e-05,2.0,0.0
2017-7-22,2.8e-05,2.8e-05,2.8e-05,2.8e-05,2.0,0.0
2017-7-23,2.8e-05,2.9e-05,2.7e-05,2.8e-05,0.0,0.0
2017-7-24,2.8e-05,2.8e-05,2.7e-05,2.7e-05,0.0,0.0
2017-7-29,2.7e-05,2.8e-05,2.7e-05,2.7e-05,1.0,0.0
2017-7-30,2.7e-05,2.7e-05,2.6e-05,2.7e-05,1.0,0.0
2017-8-05,3.1e-05,3.3e-05,3.1e-05,3.3e-05,0.0,0.0
2017-8-06,3.3e-05,3.3e-05,3.2e-05,3.2e-05,0.0,0.0
2017-8-08,3.4e-05,3.5e-05,3.4e-05,3.4e-05,2.0,0.0
2017-8-09,3.4e-05,3.4e-05,3.2e-05,3.3e-05,2.0,0.0
2017-8-17,4.3e-05,4.5e-05,4.2e-05,4.3e-05,5.0,0.0
2017-8-18,4.3e-05,4.4e-05,4e-05,4.1e-05,12.0,0.0
2017-8-19,4.1e-05,4.2e-05,4e-05,4e-05,8.0,0.0
2017-8-26,4.3e-05,4.4e-05,4.3e-05,4.3e-05,1.0,0.0
