datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jan 01, 2017",0.017868,0.030771,0.017846,0.018599,10.0,168607.0
"Jan 02, 2017",0.018609,0.034308,0.01853,0.020928,135.0,175599.0
"Jan 03, 2017",0.020927,0.021566,0.018973,0.019313,98.0,197474.0
"Jan 04, 2017",0.019308,0.03676,0.019308,0.021156,491.0,182202.0
"Jan 05, 2017",0.021178,0.031501,0.015106,0.023147,860.0,199841.0
"Jan 06, 2017",0.02321,0.027034,0.015685,0.016183,20.0,219017.0
"Jan 07, 2017",0.016206,0.019081,0.014813,0.016166,17.0,152923.0
"Jan 08, 2017",0.016166,0.019496,0.015891,0.016397,3.0,152552.0
"Jan 09, 2017",0.01642,0.018895,0.015661,0.016368,4.0,154943.0
"Jan 10, 2017",0.016359,0.019101,0.016318,0.016463,47.0,154371.0
"Jan 11, 2017",0.016465,0.016678,0.014492,0.01529,14.0,155366.0
"Jan 12, 2017",0.015268,0.017997,0.01485,0.015317,3.0,144072.0
"Jan 13, 2017",0.015308,0.018559,0.015279,0.015673,8.0,144451.0
"Jan 14, 2017",0.015695,0.018288,0.011534,0.017908,84.0,148099.0
"Jan 15, 2017",0.017901,0.017999,0.011522,0.012763,5.0,168921.0
"Jan 16, 2017",0.012763,0.014946,0.012741,0.014889,1.0,120436.0
"Jan 17, 2017",0.014893,0.017345,0.01488,0.017292,2.0,140534.0
"Jan 18, 2017",0.017303,0.020308,0.01701,0.020308,6.0,163282.0
"Jan 19, 2017",0.020392,0.020615,0.015962,0.017836,38.0,192428.0
"Jan 20, 2017",0.017829,0.017829,0.017099,0.017104,3.0,168239.0
"Jan 21, 2017",0.017104,0.018297,0.014646,0.016318,81.0,161399.0
"Jan 22, 2017",0.016318,0.017715,0.016014,0.017715,34.0,153983.0
"Jan 23, 2017",0.017736,0.020721,0.017357,0.020721,22.0,167362.0
"Jan 24, 2017",0.020475,0.020857,0.016301,0.016329,2.0,193213.0
"Jan 25, 2017",0.016336,0.01678,0.016318,0.016763,3.0,154154.0
"Jan 26, 2017",0.016783,0.026713,0.01678,0.01836,20.0,158371.0
"Jan 27, 2017",0.018361,0.018394,0.016539,0.016556,44.0,173260.0
"Jan 28, 2017",0.016556,0.019311,0.016108,0.017949,91.0,156224.0
"Jan 29, 2017",0.017949,0.019671,0.017949,0.019227,2.0,169374.0
"Jan 30, 2017",0.019227,0.019296,0.016333,0.016397,38.0,181430.0
"Jan 31, 2017",0.016391,0.019881,0.016375,0.019481,2.0,154668.0
"Feb 01, 2017",0.019478,0.02646,0.019478,0.024163,14.0,183799.0
"Feb 02, 2017",0.024161,0.024279,0.020247,0.020449,7.0,227992.0
"Feb 03, 2017",0.020442,0.026606,0.020388,0.020598,3.0,192894.0
"Feb 04, 2017",0.020627,0.02614,0.020415,0.020858,2.0,194640.0
"Feb 05, 2017",0.02087,0.020873,0.02045,0.020616,2.0,196941.0
"Feb 06, 2017",0.020637,0.022902,0.020632,0.020827,16.0,194737.0
"Feb 07, 2017",0.020867,0.023113,0.020867,0.023113,3.0,196907.0
"Feb 08, 2017",0.023134,0.025377,0.020537,0.025302,9.0,218302.0
"Feb 09, 2017",0.025341,0.044784,0.020784,0.021395,320.0,239127.0
"Feb 10, 2017",0.021422,0.032296,0.020373,0.025689,0.0,202145.0
"Feb 11, 2017",0.025695,0.025705,0.020125,0.020132,2.0,242466.0
"Feb 12, 2017",0.020113,0.023992,0.019893,0.019994,1.0,189792.0
"Feb 13, 2017",0.019988,0.020969,0.019963,0.020837,9.0,188611.0
"Feb 14, 2017",0.02086,0.024975,0.020841,0.023133,5.0,196843.0
"Feb 15, 2017",0.023171,0.024489,0.021137,0.021705,7.0,218648.0
"Feb 16, 2017",0.021708,0.023886,0.021708,0.023641,2.0,204849.0
"Feb 17, 2017",0.02361,0.023641,0.021307,0.021681,2.0,222797.0
"Feb 18, 2017",0.021037,0.025233,0.021023,0.025021,27.0,198512.0
"Feb 19, 2017",0.025029,0.02839,0.024002,0.025321,12.0,236183.0
"Feb 20, 2017",0.025341,0.025495,0.022607,0.023382,2.0,239128.0
"Feb 21, 2017",0.023366,0.028635,0.023315,0.024087,25.0,220494.0
"Feb 22, 2017",0.024077,0.024365,0.023802,0.024193,4.0,227195.0
"Feb 23, 2017",0.024189,0.026153,0.024182,0.025832,5.0,228255.0
"Feb 24, 2017",0.025964,0.026577,0.024487,0.02527,4.0,245009.0
"Feb 25, 2017",0.025199,0.027439,0.024599,0.024764,5.0,237791.0
"Feb 26, 2017",0.024773,0.02714,0.022009,0.023638,28.0,233771.0
"Feb 27, 2017",0.023559,0.025275,0.023393,0.02367,86.0,222311.0
"Feb 28, 2017",0.023685,0.027963,0.023625,0.024587,9.0,223502.0
"Mar 01, 2017",0.024588,0.025064,0.024407,0.02493,17.0,232022.0
"Mar 02, 2017",0.024975,0.026128,0.024487,0.025245,13.0,235669.0
"Mar 03, 2017",0.025239,0.028598,0.0238,0.028595,16.0,238162.0
"Mar 04, 2017",0.02865,0.028669,0.022542,0.022891,36.0,270348.0
"Mar 05, 2017",0.022876,0.024448,0.022815,0.024269,5.0,215863.0
"Mar 06, 2017",0.024276,0.03129,0.024199,0.03033,24.0,229073.0
"Mar 07, 2017",0.030339,0.030501,0.023132,0.027163,9.0,286295.0
"Mar 08, 2017",0.027156,0.030137,0.025832,0.025875,59.0,256257.0
"Mar 09, 2017",0.025883,0.02919,0.022084,0.022226,5.0,244241.0
"Mar 10, 2017",0.022243,0.023439,0.019929,0.021001,2.0,209891.0
"Mar 11, 2017",0.020994,0.022922,0.020994,0.022626,3.0,198103.0
"Mar 12, 2017",0.022641,0.023435,0.022485,0.023353,2.0,213647.0
"Mar 13, 2017",0.02336,0.03013,0.02327,0.029454,19.0,220437.0
"Mar 14, 2017",0.02946,0.02946,0.023848,0.024019,5.0,277994.0
"Mar 15, 2017",0.024022,0.024316,0.020596,0.02214,96.0,226680.0
"Mar 16, 2017",0.02217,0.023115,0.020491,0.022269,14.0,209208.0
"Mar 17, 2017",0.022125,0.022125,0.019661,0.020601,5.0,208782.0
"Mar 18, 2017",0.020591,0.02086,0.016149,0.018609,24.0,194306.0
"Mar 19, 2017",0.018665,0.019708,0.018028,0.01901,2.0,176130.0
"Mar 20, 2017",0.019019,0.019958,0.019019,0.019883,6.0,179467.0
"Mar 21, 2017",0.019904,0.021128,0.01924,0.020155,2.0,187820.0
"Mar 22, 2017",0.020157,0.022086,0.011565,0.017735,757.0,190214.0
"Mar 23, 2017",0.01775,0.025562,0.016952,0.020134,2769.0,167496.0
"Mar 24, 2017",0.020132,0.020182,0.017753,0.017813,1349.0,189968.0
