datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jan 01, 2017",0.000145,0.000433,0.000125,0.00014,7.0,0.0
"Jan 02, 2017",0.00014,0.000205,0.000133,0.000133,13.0,0.0
"Jan 03, 2017",0.000133,0.000209,0.000133,0.000209,7.0,0.0
"Jan 04, 2017",0.000209,0.000228,0.000137,0.000173,6.0,0.0
"Jan 05, 2017",0.000174,0.000185,0.000137,0.000182,1.0,0.0
"Jan 06, 2017",0.000183,0.000188,8.9e-05,9.9e-05,15.0,0.0
"Jan 07, 2017",9.9e-05,0.0001,9.1e-05,0.0001,0.0,0.0
"Jan 08, 2017",0.0001,0.000104,9.8e-05,0.0001,0.0,0.0
"Jan 09, 2017",0.0001,0.000101,9.7e-05,9.9e-05,1.0,0.0
"Jan 10, 2017",9.9e-05,0.000101,9.9e-05,0.0001,0.0,0.0
"Jan 11, 2017",0.0001,0.000101,8.4e-05,8.6e-05,0.0,0.0
"Jan 12, 2017",8.6e-05,0.000378,8.3e-05,0.000153,8.0,0.0
"Jan 13, 2017",0.000153,0.000199,0.000153,0.00019,1.0,0.0
"Jan 14, 2017",0.00019,0.000286,0.000147,0.000147,17.0,0.0
"Jan 15, 2017",0.000147,0.000204,0.000123,0.000123,104.0,0.0
"Jan 16, 2017",0.000123,0.000125,5.8e-05,7.5e-05,10.0,0.0
"Jan 17, 2017",7.5e-05,0.000209,7.5e-05,0.000209,4.0,0.0
"Jan 18, 2017",0.000209,0.000237,0.000113,0.000222,3858.0,0.0
"Jan 19, 2017",0.000222,0.001411,0.000142,0.000414,244.0,0.0
"Jan 20, 2017",0.000414,0.000414,0.000143,0.000143,43.0,0.0
"Jan 21, 2017",0.000143,0.000148,9.2e-05,0.000101,44.0,0.0
"Jan 22, 2017",0.000101,0.000169,9.2e-05,9.2e-05,21.0,0.0
"Jan 23, 2017",9.3e-05,0.00013,9.2e-05,0.000129,3.0,0.0
"Jan 24, 2017",0.000127,0.000129,8e-05,8e-05,17.0,0.0
"Jan 25, 2017",8e-05,0.000322,8e-05,0.000117,371.0,0.0
"Jan 26, 2017",0.000117,0.000118,0.0001,0.000101,12.0,0.0
"Jan 27, 2017",0.000101,0.00012,9.2e-05,0.00012,2.0,0.0
"Jan 28, 2017",0.00012,0.00012,9.2e-05,9.2e-05,5.0,0.0
"Jan 29, 2017",9.2e-05,0.000102,9.2e-05,9.2e-05,21.0,0.0
"Jan 30, 2017",9.2e-05,9.2e-05,9.2e-05,9.2e-05,3.0,0.0
"Jan 31, 2017",9.2e-05,9.6e-05,7.6e-05,7.8e-05,3.0,0.0
"Feb 01, 2017",7.8e-05,7.9e-05,6.8e-05,6.9e-05,5.0,0.0
"Feb 02, 2017",6.9e-05,8.1e-05,6.9e-05,8.1e-05,0.0,0.0
"Feb 03, 2017",8.1e-05,8.3e-05,7.1e-05,7.2e-05,2.0,0.0
"Feb 04, 2017",7.2e-05,0.000125,7.1e-05,0.000125,6.0,0.0
"Feb 05, 2017",0.000125,0.000125,8.2e-05,9.2e-05,4.0,0.0
"Feb 06, 2017",9.3e-05,9.4e-05,9.3e-05,9.3e-05,0.0,0.0
"Feb 07, 2017",9.4e-05,9.5e-05,7.4e-05,7.4e-05,10.0,0.0
"Feb 08, 2017",7.4e-05,7.6e-05,7.3e-05,7.4e-05,3.0,0.0
"Feb 09, 2017",7.5e-05,7.6e-05,6.7e-05,7e-05,1.0,0.0
"Feb 10, 2017",7e-05,7e-05,5.7e-05,6.9e-05,2.0,0.0
"Feb 11, 2017",6.9e-05,0.000101,6.9e-05,7e-05,0.0,0.0
"Feb 12, 2017",7e-05,7e-05,6e-05,6e-05,7.0,0.0
"Feb 13, 2017",6e-05,6e-05,5.9e-05,5.9e-05,3.0,0.0
"Feb 14, 2017",6e-05,6.1e-05,5.9e-05,6e-05,1.0,0.0
"Feb 15, 2017",6e-05,8e-05,5e-05,5e-05,2.0,0.0
"Feb 16, 2017",5e-05,5.2e-05,5e-05,5.1e-05,1.0,0.0
"Feb 17, 2017",5.1e-05,8.3e-05,5.1e-05,7.3e-05,3.0,0.0
"Feb 18, 2017",7.3e-05,7.4e-05,7.3e-05,7.4e-05,1.0,0.0
"Feb 21, 2017",5.5e-05,5.6e-05,5.5e-05,5.6e-05,7.0,0.0
"Feb 22, 2017",5.6e-05,5.6e-05,5.5e-05,5.6e-05,1.0,0.0
"Feb 23, 2017",5.6e-05,5.9e-05,5.6e-05,5.8e-05,2.0,0.0
"Feb 24, 2017",5.9e-05,5.9e-05,4.7e-05,4.7e-05,8.0,0.0
"Feb 25, 2017",4.7e-05,4.7e-05,4.5e-05,4.6e-05,1.0,0.0
"Feb 26, 2017",4.6e-05,4.7e-05,4.5e-05,4.7e-05,1.0,0.0
"Feb 27, 2017",4.7e-05,4.7e-05,3.5e-05,3.5e-05,2.0,0.0
"Feb 28, 2017",3.5e-05,4.7e-05,3.5e-05,4.7e-05,1.0,0.0
"Mar 01, 2017",4.7e-05,4.9e-05,4.7e-05,4.9e-05,1.0,0.0
"Mar 02, 2017",4.9e-05,5e-05,4.9e-05,5e-05,2.0,0.0
"Mar 03, 2017",5e-05,0.000101,5e-05,5.1e-05,5.0,0.0
"Mar 04, 2017",5.1e-05,8.8e-05,4.9e-05,5e-05,1.0,0.0
