datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jul 24, 2017",1.0,1.04,0.961878,1.02,237891.0,74197200.0
"Jul 25, 2017",1.02,1.02,0.802509,0.857202,389847.0,75446600.0
"Jul 26, 2017",0.858111,0.880634,0.802798,0.832823,208084.0,81408700.0
"Jul 27, 2017",0.834762,0.892816,0.800436,0.82608,251754.0,79193600.0
"Jul 28, 2017",0.827819,0.840457,0.791146,0.797637,242475.0,78535000.0
"Jul 29, 2017",0.792999,1.08,0.781933,0.991141,349205.0,76067500.0
"Jul 30, 2017",0.989762,1.02,0.71967,0.784975,242736.0,94941700.0
"Jul 31, 2017",0.78863,0.884574,0.785446,0.856322,283540.0,75648400.0
"Aug 01, 2017",0.858533,0.935407,0.715597,0.770449,326920.0,82353700.0
"Aug 02, 2017",0.768793,1.02,0.757099,0.841482,291404.0,73745500.0
"Aug 03, 2017",0.840489,0.94935,0.828587,0.90611,299453.0,80622900.0
"Aug 04, 2017",0.903396,0.959647,0.887907,0.911702,281322.0,86657200.0
"Aug 05, 2017",0.912453,1.06,0.91136,0.960445,346546.0,87525900.0
"Aug 06, 2017",0.959929,1.03,0.926995,0.938601,522422.0,92080100.0
"Aug 07, 2017",0.937208,1.04,0.916084,0.943529,349021.0,89900600.0
"Aug 08, 2017",0.949441,1.01,0.807424,0.926143,683447.0,91073900.0
"Aug 09, 2017",0.924702,1.13,0.824033,1.11,640627.0,88700900.0
"Aug 10, 2017",1.09,1.09,0.8078,0.87298,876696.0,104587000.0
"Aug 11, 2017",0.863209,0.899917,0.805532,0.883767,771437.0,82802300.0
"Aug 12, 2017",0.886328,1.0,0.884623,0.997532,738420.0,85019900.0
"Aug 13, 2017",0.996882,1.06,0.893144,0.983491,1493010.0,95624700.0
"Aug 14, 2017",0.967426,0.980184,0.799945,0.82694,959755.0,94835700.0
"Aug 15, 2017",0.827901,1.2,0.759316,1.13,1081890.0,81158200.0
"Aug 16, 2017",1.14,1.24,1.06,1.23,953474.0,111362000.0
"Aug 17, 2017",1.23,1.25,1.14,1.17,632102.0,120776000.0
"Aug 18, 2017",1.16,1.21,0.933832,0.958278,589238.0,113687000.0
"Aug 19, 2017",0.955173,1.12,0.916939,1.12,430841.0,93634500.0
"Aug 20, 2017",1.11,1.11,1.05,1.08,339820.0,108591000.0
"Aug 21, 2017",1.08,1.1,0.962632,0.990853,453435.0,105576000.0
"Aug 22, 2017",0.997039,0.997816,0.890144,0.997816,328348.0,97738700.0
