datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-1-01,0.000173,0.000185,0.000154,0.000157,2915.0,250078.0
2017-1-02,0.000165,0.000173,0.000157,0.000162,514.0,237910.0
2017-1-03,0.000162,0.000175,0.000162,0.000165,736.0,233595.0
2017-1-04,0.000165,0.000201,0.000165,0.000196,906.0,238470.0
2017-1-05,0.000196,0.000213,0.000161,0.000181,2647.0,283151.0
2017-1-06,0.000182,0.000193,0.000159,0.00017,1701.0,262547.0
2017-1-07,0.000171,0.000181,0.000156,0.000172,721.0,246551.0
2017-1-08,0.000172,0.000184,0.000169,0.000173,1176.0,249200.0
2017-1-09,0.000173,0.000216,0.00016,0.000182,2703.0,250133.0
2017-1-10,0.000182,0.000191,0.000172,0.000182,916.0,262847.0
2017-1-11,0.000182,0.00019,0.000148,0.00015,856.0,262697.0
2017-1-12,0.000156,0.000165,0.000146,0.000152,1616.0,225701.0
2017-1-13,0.000152,0.00016,0.000141,0.000149,670.0,219689.0
2017-1-14,0.000149,0.000166,0.000148,0.000155,1836.0,215621.0
2017-1-15,0.000155,0.000205,0.000154,0.000197,5568.0,224224.0
2017-1-16,0.000189,0.000231,0.000181,0.000208,10312.0,274145.0
2017-1-17,0.000208,0.000223,0.000196,0.000209,6027.0,301084.0
2017-1-18,0.000209,0.000245,0.000196,0.000229,3108.0,302897.0
2017-1-19,0.00023,0.000232,0.000206,0.000208,2442.0,333705.0
2017-1-20,0.000208,0.000222,0.000197,0.000206,552.0,301932.0
2017-1-21,0.000206,0.000221,0.000206,0.000212,563.0,298902.0
2017-1-22,0.000212,0.000224,0.000202,0.000211,818.0,308582.0
2017-1-23,0.000203,0.000219,0.000201,0.000203,1788.0,295499.0
2017-1-24,0.000213,0.000217,0.000196,0.000196,787.0,309835.0
2017-1-25,0.000196,0.000213,0.000193,0.000198,746.0,284419.0
2017-1-26,0.000198,0.0002,0.000182,0.000184,2110.0,288022.0
2017-1-27,0.000184,0.00023,0.000184,0.000213,7160.0,267134.0
2017-1-28,0.000213,0.00023,0.000203,0.000212,1535.0,309283.0
2017-1-29,0.000212,0.000221,0.000203,0.000221,1081.0,307659.0
2017-1-30,0.000221,0.000248,0.00021,0.000239,2728.0,320963.0
2017-1-31,0.000238,0.000251,0.000202,0.000224,6597.0,346938.0
