datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-1-01,0.231661,0.247885,0.229329,0.244493,14887.0,3413850.0
2017-1-02,0.244805,0.25931,0.236888,0.24942,62014.0,3607540.0
2017-1-03,0.249419,0.258886,0.245538,0.252003,103339.0,3675540.0
2017-1-04,0.251564,0.292846,0.24675,0.278799,453152.0,3707150.0
2017-1-05,0.278819,0.278819,0.236267,0.245122,135962.0,4108790.0
2017-1-06,0.245214,0.251175,0.220409,0.222556,46231.0,3613570.0
2017-1-07,0.222593,0.224957,0.20341,0.224209,46643.0,3280220.0
2017-1-08,0.224722,0.235659,0.220159,0.226187,16439.0,3311590.0
2017-1-09,0.226315,0.226537,0.211979,0.225327,12025.0,3335070.0
2017-1-10,0.224617,0.232823,0.219052,0.225151,26336.0,3310050.0
2017-1-11,0.22516,0.230372,0.200465,0.206005,67971.0,3318050.0
2017-1-12,0.205846,0.218369,0.202512,0.212065,25561.0,3033430.0
2017-1-13,0.21203,0.220908,0.206592,0.217716,16043.0,3124560.0
2017-1-14,0.215123,0.219495,0.206881,0.208371,82583.0,3170140.0
2017-1-15,0.208853,0.218129,0.208798,0.213907,7085.0,3077740.0
2017-1-16,0.213904,0.229595,0.213375,0.225047,21277.0,3152170.0
2017-1-17,0.224899,0.243829,0.224899,0.235746,26109.0,3314200.0
2017-1-18,0.235831,0.240697,0.224279,0.225265,20513.0,3475300.0
2017-1-19,0.225377,0.235889,0.224008,0.234044,10575.0,3321250.0
2017-1-20,0.234043,0.23709,0.22787,0.234526,8505.0,3448950.0
2017-1-21,0.234524,0.237379,0.231681,0.23374,6324.0,3456040.0
2017-1-22,0.233755,0.237801,0.22629,0.230384,8073.0,3444710.0
2017-1-23,0.230216,0.232293,0.220152,0.22851,9243.0,3392560.0
2017-1-24,0.228068,0.228068,0.21338,0.215647,9901.0,3360900.0
2017-1-25,0.215692,0.220353,0.212027,0.220353,9856.0,3178520.0
2017-1-26,0.220392,0.22266,0.213491,0.218865,7043.0,3247780.0
2017-1-27,0.218961,0.220621,0.216192,0.218044,7288.0,3226700.0
2017-1-28,0.218385,0.224188,0.208388,0.210967,19737.0,3218210.0
2017-1-29,0.211271,0.218456,0.209523,0.216984,19467.0,3113370.0
2017-1-30,0.217908,0.227312,0.212815,0.222111,35353.0,3211180.0
2017-1-31,0.2221,0.233934,0.220168,0.232038,36391.0,3272950.0
2017-2-01,0.232289,0.240733,0.229072,0.237906,29161.0,3423100.0
2017-2-02,0.238063,0.253267,0.236866,0.250789,30679.0,3508190.0
2017-2-03,0.250852,0.254279,0.241391,0.248663,25004.0,3696660.0
2017-2-04,0.248786,0.258463,0.244718,0.257544,17393.0,3666210.0
2017-2-05,0.257183,0.259115,0.25051,0.253844,20476.0,3789950.0
2017-2-06,0.253952,0.263299,0.252188,0.259021,12872.0,3742340.0
2017-2-07,0.259088,0.263724,0.255677,0.260079,12961.0,3818020.0
2017-2-08,0.260486,0.265311,0.249123,0.256275,15739.0,3838630.0
2017-2-09,0.255921,0.265108,0.227988,0.237374,45290.0,3771350.0
2017-2-10,0.236867,0.244556,0.231209,0.244162,18410.0,3490570.0
2017-2-11,0.244457,0.248202,0.240333,0.241451,16691.0,3602420.0
2017-2-12,0.242258,0.247686,0.238887,0.241767,16186.0,3570010.0
2017-2-13,0.241702,0.248247,0.236597,0.23794,14987.0,3561820.0
2017-2-14,0.238112,0.24556,0.226549,0.238722,22519.0,3508910.0
2017-2-15,0.238722,0.239512,0.228572,0.232702,14151.0,3517900.0
2017-2-16,0.232388,0.244774,0.232388,0.241837,22168.0,3424560.0
2017-2-17,0.241834,0.244374,0.233915,0.240295,9810.0,3563760.0
2017-2-18,0.240486,0.267816,0.236471,0.25954,60022.0,3543900.0
