datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jan 01, 2017",8.4e-05,8.9e-05,7e-05,8.8e-05,84.0,65630.0
"Jan 02, 2017",8.8e-05,8.8e-05,6.1e-05,7.2e-05,117.0,68808.0
"Jan 03, 2017",7.2e-05,8e-05,6.8e-05,7.8e-05,28.0,55913.0
"Jan 04, 2017",8e-05,8.7e-05,7.5e-05,8.1e-05,115.0,62888.0
"Jan 05, 2017",8.1e-05,9.5e-05,6.4e-05,7.1e-05,340.0,63199.0
"Jan 06, 2017",7.1e-05,8.3e-05,7e-05,7.2e-05,142.0,55467.0
"Jan 07, 2017",7.2e-05,9.7e-05,6.5e-05,9e-05,525.0,56522.0
"Jan 08, 2017",9e-05,9.1e-05,7.9e-05,9.1e-05,12.0,70304.0
"Jan 09, 2017",9.1e-05,9.1e-05,7.5e-05,9e-05,237.0,71267.0
"Jan 10, 2017",9e-05,9.1e-05,8.1e-05,8.2e-05,76.0,70619.0
"Jan 11, 2017",8.2e-05,9.2e-05,6.9e-05,7.1e-05,8.0,63902.0
"Jan 12, 2017",7.1e-05,8e-05,6.8e-05,7.2e-05,13.0,55401.0
"Jan 13, 2017",7.2e-05,8.3e-05,7.2e-05,8.2e-05,192.0,56671.0
"Jan 14, 2017",8.2e-05,8.4e-05,7.3e-05,7.4e-05,18.0,64474.0
"Jan 15, 2017",7.4e-05,0.000107,7.4e-05,8.2e-05,555.0,57684.0
"Jan 16, 2017",8.2e-05,0.000104,8.2e-05,8.6e-05,109.0,64502.0
"Jan 17, 2017",8.6e-05,0.000103,8.3e-05,0.000103,59.0,67074.0
"Jan 18, 2017",0.000103,0.000115,8.6e-05,8.8e-05,56.0,80762.0
"Jan 19, 2017",8.9e-05,9.9e-05,8.9e-05,9.9e-05,10.0,69457.0
"Jan 20, 2017",9.9e-05,9.9e-05,9.7e-05,9.8e-05,18.0,77489.0
"Jan 21, 2017",9.8e-05,0.00011,9.2e-05,0.000101,56.0,77008.0
"Jan 22, 2017",0.000101,0.000103,8.1e-05,8.3e-05,380.0,79399.0
"Jan 23, 2017",8.3e-05,0.000101,8.3e-05,8.7e-05,86.0,65355.0
"Jan 24, 2017",8.5e-05,0.000101,8.2e-05,8.6e-05,72.0,66637.0
"Jan 25, 2017",8.6e-05,8.7e-05,7.3e-05,7.3e-05,275.0,67413.0
"Jan 26, 2017",7.3e-05,8.2e-05,6.4e-05,6.6e-05,90.0,57063.0
"Jan 27, 2017",6.6e-05,8.1e-05,6.4e-05,6.4e-05,335.0,51859.0
"Jan 28, 2017",6.4e-05,7.5e-05,6.4e-05,7.4e-05,163.0,50484.0
"Jan 29, 2017",7.4e-05,7.4e-05,7.1e-05,7.4e-05,251.0,57819.0
