datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Mar 20, 2017",0.007214,0.011363,0.007032,0.011229,44.0,2636.0
"Mar 21, 2017",0.011237,0.111389,0.005658,0.014007,635.0,4156.0
"Mar 22, 2017",0.014008,0.048355,0.013753,0.016786,120.0,5609.0
"Mar 23, 2017",0.016801,0.028321,0.015668,0.016929,135.0,7210.0
"Mar 24, 2017",0.016927,0.023705,0.010773,0.01081,441.0,7804.0
"Mar 25, 2017",0.010798,0.036615,0.01042,0.015555,427.0,5283.0
"Mar 26, 2017",0.015574,0.029225,0.015429,0.020301,125.0,8092.0
"Mar 27, 2017",0.020413,0.02916,0.017966,0.018573,763.0,11224.0
"Mar 28, 2017",0.018541,0.025038,0.017543,0.018849,271.0,10743.0
"Mar 29, 2017",0.018829,0.025529,0.017852,0.024907,408.0,11446.0
"Mar 30, 2017",0.018791,0.0215,0.018034,0.018999,724.0,11968.0
"Mar 31, 2017",0.019003,0.053707,0.019003,0.032207,1360.0,12639.0
"Apr 01, 2017",0.032205,0.043047,0.025679,0.043047,642.0,22346.0
"Apr 02, 2017",0.043051,0.043064,0.026127,0.028656,267.0,31154.0
"Apr 03, 2017",0.028677,0.040774,0.028677,0.030311,308.0,21554.0
"Apr 04, 2017",0.030356,0.037812,0.027114,0.027209,339.0,23713.0
"Apr 05, 2017",0.027231,0.032572,0.022484,0.022653,188.0,22096.0
"Apr 06, 2017",0.022674,0.02345,0.007059,0.01301,588.0,19050.0
"Apr 07, 2017",0.012968,0.021999,0.0128,0.02182,75.0,11265.0
"Apr 08, 2017",0.021741,0.022491,0.016424,0.016463,134.0,19477.0
"Apr 09, 2017",0.016472,0.028572,0.016459,0.028493,220.0,15196.0
"Apr 10, 2017",0.028479,0.038059,0.018666,0.035614,595.0,27129.0
"Apr 11, 2017",0.035624,0.035751,0.022062,0.022895,32.0,34849.0
"Apr 12, 2017",0.022891,0.033641,0.019752,0.03361,1379.0,23052.0
"Apr 13, 2017",0.026699,0.038546,0.025708,0.025981,628.0,27577.0
"Apr 14, 2017",0.026005,0.046762,0.025808,0.037382,1943.0,27621.0
"Apr 15, 2017",0.037373,0.04861,0.035184,0.035187,1856.0,40761.0
"Apr 16, 2017",0.03519,0.049828,0.03519,0.049683,1106.0,39310.0
"Apr 17, 2017",0.049696,0.049811,0.041138,0.041858,1045.0,56917.0
"Apr 18, 2017",0.041854,0.04196,0.034284,0.03635,497.0,49127.0
"Apr 19, 2017",0.036364,0.039814,0.030787,0.033404,436.0,43701.0
"Apr 20, 2017",0.033426,0.040923,0.033336,0.040732,956.0,41148.0
"Apr 21, 2017",0.040743,0.047928,0.032437,0.042772,1436.0,51200.0
"Apr 22, 2017",0.042795,0.04296,0.03142,0.032271,391.0,54932.0
"Apr 23, 2017",0.032289,0.043808,0.03195,0.043773,571.0,42332.0
"Apr 24, 2017",0.043861,0.045534,0.033245,0.034604,587.0,58800.0
"Apr 25, 2017",0.034612,0.036635,0.034612,0.03551,117.0,47396.0
"Apr 26, 2017",0.035524,0.040781,0.035522,0.03669,211.0,49573.0
"Apr 27, 2017",0.036713,0.037653,0.034574,0.037648,1145.0,52212.0
"Apr 28, 2017",0.037648,0.037649,0.028063,0.028317,456.0,54595.0
"Apr 29, 2017",0.028347,0.029806,0.027066,0.027705,239.0,41951.0
"Apr 30, 2017",0.027706,0.032782,0.026322,0.028319,495.0,41829.0
"May 01, 2017",0.028328,0.039243,0.028328,0.036962,238.0,43611.0
"May 02, 2017",0.036947,0.047086,0.030181,0.034885,997.0,57865.0
"May 03, 2017",0.034908,0.042067,0.034908,0.036045,197.0,55684.0
"May 04, 2017",0.036061,0.040656,0.033542,0.040656,812.0,58457.0
"May 05, 2017",0.040741,0.042445,0.034891,0.035067,416.0,67141.0
"May 06, 2017",0.035098,0.072529,0.032263,0.044243,1993.0,58806.0
"May 07, 2017",0.044262,0.068683,0.038715,0.054427,6501.0,75478.0
"May 08, 2017",0.054434,0.788068,0.054434,0.627574,11266.0,94221.0
"May 09, 2017",0.627664,0.678809,0.042557,0.088932,4200.0,1104140.0
"May 10, 2017",0.088991,0.089331,0.055921,0.058526,214.0,159105.0
"May 11, 2017",0.058631,0.074722,0.049603,0.054019,1190.0,106572.0
"May 12, 2017",0.054281,0.070429,0.049374,0.05546,1476.0,100295.0
"May 13, 2017",0.055378,0.066966,0.048107,0.052591,655.0,103886.0
"May 14, 2017",0.052759,0.088809,0.052378,0.061007,1542.0,100558.0
"May 15, 2017",0.061046,0.062133,0.051329,0.052802,645.0,118186.0
"May 16, 2017",0.052724,0.062629,0.051131,0.054788,849.0,103591.0
"May 17, 2017",0.054773,0.086305,0.054159,0.068995,1519.0,109262.0
"May 18, 2017",0.068958,0.074397,0.054039,0.054063,2819.0,139452.0
"May 19, 2017",0.054094,0.066419,0.054094,0.057992,200.0,111046.0
"May 20, 2017",0.057929,0.083244,0.057927,0.062061,1111.0,120435.0
"May 21, 2017",0.062039,0.084089,0.061777,0.067382,1695.0,130456.0
"May 22, 2017",0.067609,0.088345,0.067364,0.082314,2321.0,144113.0
"May 23, 2017",0.081508,0.094882,0.071734,0.079361,3759.0,176020.0
"May 24, 2017",0.07931,0.102943,0.07931,0.101493,1064.0,173410.0
"May 25, 2017",0.101303,0.113281,0.073105,0.075075,7679.0,224357.0
"May 26, 2017",0.074524,0.101952,0.07048,0.076655,534.0,167113.0
"May 27, 2017",0.077192,0.077192,0.056524,0.063256,1359.0,174857.0
"May 28, 2017",0.063634,0.07303,0.063038,0.070701,383.0,145826.0
"May 29, 2017",0.070557,0.086958,0.063629,0.068332,959.0,163501.0
"May 30, 2017",0.068412,0.076009,0.06441,0.065695,1042.0,160531.0
"May 31, 2017",0.065953,0.072323,0.062106,0.071889,655.0,156674.0
"Jun 01, 2017",0.071953,0.074146,0.0626,0.065979,937.0,172753.0
"Jun 02, 2017",0.066009,0.074196,0.062472,0.068233,1220.0,160295.0
"Jun 03, 2017",0.068203,0.076689,0.0648,0.073571,2551.0,167565.0
"Jun 04, 2017",0.073373,0.087174,0.071164,0.072361,3310.0,182225.0
"Jun 05, 2017",0.072374,0.120087,0.07178,0.115844,5655.0,181751.0
"Jun 06, 2017",0.116195,0.142624,0.102824,0.142552,12790.0,294986.0
"Jun 07, 2017",0.143076,0.184925,0.114295,0.133469,9150.0,367121.0
"Jun 08, 2017",0.13414,0.229492,0.12246,0.168994,16705.0,348083.0
"Jun 09, 2017",0.168727,0.280889,0.168722,0.216128,20056.0,442160.0
"Jun 10, 2017",0.216453,0.241982,0.184666,0.199842,4016.0,573339.0
"Jun 11, 2017",0.199727,0.270497,0.192887,0.270429,10712.0,534829.0
"Jun 12, 2017",0.270081,0.270742,0.19522,0.210746,9077.0,731128.0
"Jun 13, 2017",0.210041,0.236366,0.17497,0.207759,6545.0,574199.0
"Jun 14, 2017",0.207638,0.216495,0.14803,0.155005,3230.0,573760.0
"Jun 15, 2017",0.154998,0.159769,0.10387,0.113539,7451.0,432958.0
"Jun 16, 2017",0.113458,0.136026,0.105887,0.115611,2552.0,320244.0
"Jun 17, 2017",0.115611,0.132562,0.115381,0.115776,1661.0,329496.0
"Jun 18, 2017",0.115781,0.137123,0.114557,0.124423,2696.0,333159.0
"Jun 19, 2017",0.124419,0.173976,0.124116,0.124984,3214.0,361398.0
"Jun 20, 2017",0.124984,0.161712,0.124691,0.124741,1585.0,366535.0
"Jun 21, 2017",0.124744,0.276851,0.124724,0.195255,20764.0,369288.0
"Jun 22, 2017",0.249764,0.263841,0.170459,0.206156,23078.0,745735.0
"Jun 23, 2017",0.205056,0.258983,0.205056,0.258983,6843.0,617824.0
"Jun 24, 2017",0.25896,0.266926,0.184798,0.195265,8701.0,782514.0
"Jun 25, 2017",0.194818,0.200055,0.17925,0.184042,4187.0,594343.0
"Jun 26, 2017",0.183946,0.184876,0.157597,0.157597,3627.0,565176.0
"Jun 27, 2017",0.161084,0.184926,0.143405,0.17541,3284.0,498271.0
"Jun 28, 2017",0.170768,0.226189,0.162551,0.166075,3561.0,532383.0
"Jun 29, 2017",0.165921,0.189224,0.156998,0.156998,4508.0,522001.0
"Jun 30, 2017",0.157311,0.239486,0.15058,0.201174,12458.0,499229.0
"Jul 01, 2017",0.201088,0.207136,0.154993,0.180064,10663.0,642845.0
"Jul 02, 2017",0.180042,0.215705,0.176778,0.182159,4641.0,580834.0
"Jul 03, 2017",0.181488,0.209499,0.180441,0.190643,4602.0,589823.0
"Jul 04, 2017",0.19021,0.240505,0.19021,0.2169,9228.0,623490.0
"Jul 05, 2017",0.216783,0.247417,0.208633,0.244812,12146.0,716433.0
"Jul 06, 2017",0.244934,0.24631,0.221921,0.22621,10794.0,815430.0
"Jul 07, 2017",0.226376,0.295661,0.220619,0.22593,36137.0,757517.0
"Jul 08, 2017",0.226095,0.28503,0.222759,0.284607,12322.0,760298.0
