datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-1-01,420000000.0,430000000.0,370000000.0,410000000.0,5.0,2530.0
2017-1-02,410000000.0,440000000.0,370000000.0,390000000.0,2.0,2451.0
2017-1-03,420000000.0,430000000.0,380000000.0,430000000.0,1.0,2530.0
2017-1-04,430000000.0,450000000.0,330000000.0,390000000.0,6.0,2573.0
2017-1-05,390000000.0,470000000.0,330000000.0,340000000.0,5.0,2300.0
2017-1-06,340000000.0,410000000.0,330000000.0,400000000.0,1.0,2043.0
2017-1-07,400000000.0,400000000.0,310000000.0,310000000.0,4.0,2400.0
2017-1-08,310000000.0,370000000.0,310000000.0,310000000.0,1.0,1879.0
2017-1-09,310000000.0,370000000.0,300000000.0,320000000.0,1.0,1857.0
2017-1-10,320000000.0,360000000.0,260000000.0,260000000.0,1.0,1930.0
2017-1-11,260000000.0,280000000.0,230000000.0,260000000.0,0.0,1544.0
2017-1-12,260000000.0,270000000.0,220000000.0,240000000.0,6.0,1562.0
2017-1-13,240000000.0,310000000.0,230000000.0,250000000.0,0.0,1433.0
2017-1-14,250000000.0,350000000.0,240000000.0,240000000.0,4.0,1497.0
2017-1-15,240000000.0,340000000.0,240000000.0,250000000.0,1.0,1432.0
2017-1-16,250000000.0,350000000.0,250000000.0,270000000.0,2.0,1481.0
2017-1-17,270000000.0,350000000.0,250000000.0,260000000.0,1.0,1609.0
2017-1-18,260000000.0,340000000.0,250000000.0,280000000.0,3.0,1554.0
2017-1-19,280000000.0,290000000.0,250000000.0,250000000.0,2.0,1658.0
2017-1-20,250000000.0,280000000.0,250000000.0,280000000.0,1.0,1506.0
2017-1-21,280000000.0,290000000.0,260000000.0,280000000.0,0.0,1658.0
2017-1-22,280000000.0,280000000.0,260000000.0,280000000.0,2.0,1679.0
2017-1-23,270000000.0,280000000.0,260000000.0,270000000.0,2.0,1631.0
2017-1-24,270000000.0,270000000.0,250000000.0,250000000.0,2.0,1608.0
2017-1-25,250000000.0,270000000.0,250000000.0,260000000.0,0.0,1514.0
2017-1-26,260000000.0,280000000.0,250000000.0,270000000.0,0.0,1547.0
2017-1-27,270000000.0,280000000.0,260000000.0,260000000.0,0.0,1628.0
2017-1-28,270000000.0,280000000.0,260000000.0,260000000.0,1.0,1623.0
2017-1-29,260000000.0,280000000.0,250000000.0,260000000.0,0.0,1579.0
2017-1-30,250000000.0,280000000.0,250000000.0,260000000.0,0.0,1523.0
2017-1-31,260000000.0,280000000.0,260000000.0,270000000.0,1.0,1557.0
2017-2-01,280000000.0,280000000.0,260000000.0,260000000.0,0.0,1650.0
