datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jul 24, 2017",0.752918,0.844411,0.714841,0.83761,156639.0,7905640.0
"Jul 25, 2017",0.839947,0.863821,0.593671,0.60934,201486.0,8819440.0
"Jul 26, 2017",0.605847,0.703516,0.592025,0.656106,122187.0,6361390.0
"Jul 27, 2017",0.656167,0.660348,0.579328,0.60851,159583.0,6889750.0
"Jul 28, 2017",0.609508,0.7027,0.596987,0.670672,132853.0,6399830.0
"Jul 29, 2017",0.671475,0.69538,0.582295,0.639293,113855.0,7050490.0
"Jul 30, 2017",0.639502,0.659772,0.600948,0.616762,139733.0,6714770.0
"Jul 31, 2017",0.618688,0.683591,0.556448,0.662748,147386.0,6496220.0
"Aug 01, 2017",0.664464,0.935087,0.620152,0.933668,150884.0,6976880.0
"Aug 02, 2017",0.932464,1.0,0.647578,0.819286,262453.0,9790870.0
"Aug 03, 2017",0.82134,0.82468,0.694713,0.709102,183795.0,8624070.0
"Aug 04, 2017",0.709168,0.724687,0.654503,0.670342,180840.0,7446260.0
"Aug 05, 2017",0.667202,0.702819,0.609717,0.630695,207337.0,7005620.0
"Aug 06, 2017",0.632656,0.784365,0.59752,0.741612,203469.0,6642880.0
"Aug 07, 2017",0.741118,0.742645,0.587345,0.662219,216418.0,7781740.0
"Aug 08, 2017",0.666331,0.690111,0.612252,0.669438,222160.0,6996470.0
"Aug 09, 2017",0.670329,0.672481,0.572829,0.645181,215535.0,7038460.0
"Aug 10, 2017",0.643202,0.765197,0.64299,0.762416,265968.0,6753630.0
"Aug 11, 2017",0.761892,1.3,0.761892,1.07,360381.0,7999870.0
"Aug 12, 2017",1.07,1.42,1.07,1.38,318728.0,11232700.0
"Aug 13, 2017",1.38,1.38,1.14,1.17,309875.0,14442300.0
"Aug 14, 2017",1.18,1.28,1.16,1.28,334378.0,12338900.0
"Aug 15, 2017",1.28,1.43,1.28,1.37,317503.0,13465100.0
"Aug 16, 2017",1.37,1.74,1.33,1.73,473570.0,14345800.0
"Aug 17, 2017",1.73,1.79,1.69,1.7,358407.0,18178100.0
"Aug 18, 2017",1.69,1.71,1.37,1.41,267281.0,17784400.0
"Aug 19, 2017",1.41,1.49,1.3,1.33,268444.0,14760500.0
"Aug 20, 2017",1.33,1.46,1.27,1.45,244235.0,13926400.0
"Aug 21, 2017",1.44,1.53,1.37,1.44,226845.0,15136200.0
"Aug 22, 2017",1.45,1.51,1.31,1.5,199190.0,15186200.0
