datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-7-28,0.000559,0.000622,0.000465,0.000503,6936.0,1510100.0
2017-7-29,0.000501,0.00062,0.000456,0.000544,1990.0,1354980.0
2017-7-30,0.000544,0.000625,0.000472,0.0006,3668.0,1468840.0
2017-7-31,0.000519,0.000687,0.000512,0.000687,3170.0,1402800.0
2017-8-01,0.000687,0.000687,0.000514,0.000519,2778.0,1856330.0
2017-8-02,0.000519,0.000594,0.000479,0.000594,1874.0,1402080.0
2017-8-03,0.000595,0.000599,0.000503,0.000528,1834.0,1607340.0
2017-8-04,0.000528,0.000606,0.000509,0.000514,1090.0,1426760.0
2017-8-05,0.000514,0.000682,0.000513,0.000682,4541.0,1388680.0
2017-8-06,0.000683,0.00069,0.000568,0.000613,6234.0,1844480.0
2017-8-07,0.000612,0.000704,0.000503,0.000508,9211.0,1653220.0
2017-8-08,0.000509,0.000652,0.000505,0.000616,5495.0,1375000.0
2017-8-09,0.000615,0.00067,0.000563,0.000669,5994.0,1662870.0
2017-8-10,0.000669,0.000689,0.000609,0.000615,1863.0,1806710.0
2017-8-11,0.000615,0.000739,0.000612,0.000729,2053.0,1661630.0
2017-8-12,0.000729,0.000755,0.00065,0.000702,2219.0,1969280.0
2017-8-13,0.000702,0.000797,0.000675,0.00069,4990.0,1895890.0
2017-8-14,0.000691,0.000737,0.000634,0.00069,11335.0,1866940.0
2017-8-15,0.000692,0.000749,0.000589,0.000669,8186.0,1870850.0
2017-8-16,0.000669,0.000714,0.000604,0.000661,5157.0,1808730.0
2017-8-17,0.000661,0.000671,0.000507,0.000558,3119.0,1785440.0
2017-8-18,0.000556,0.000683,0.000491,0.000494,9885.0,1503200.0
2017-8-19,0.000493,0.000627,0.000441,0.000541,12507.0,1333430.0
2017-8-20,0.000539,0.000577,0.000486,0.000529,10437.0,1456080.0
2017-8-21,0.000487,0.000565,0.000446,0.000561,4444.0,1315530.0
2017-8-22,0.000563,0.000573,0.000427,0.000573,2558.0,1522590.0
2017-8-23,0.000572,0.00058,0.000491,0.000538,2084.0,1545760.0
2017-8-24,0.000539,0.000594,0.000464,0.000521,2724.0,1455400.0
2017-8-25,0.00052,0.000657,0.000481,0.000654,2367.0,1406370.0
2017-8-26,0.000655,0.000782,0.000555,0.000739,10250.0,1769090.0
