datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-7-28,0.583873,0.634584,0.485179,0.607792,16640.0,8758090.0
2017-7-29,0.602909,0.631956,0.469082,0.484956,6973.0,9043640.0
2017-7-30,0.484699,0.579131,0.472077,0.487583,46334.0,7270480.0
2017-7-31,0.48823,0.511775,0.344066,0.465049,72034.0,7323450.0
2017-8-01,0.464929,0.505754,0.301005,0.377355,37138.0,6973930.0
2017-8-02,0.37746,0.426351,0.36731,0.413934,96687.0,5661900.0
2017-8-03,0.414789,0.50846,0.356059,0.402515,18831.0,6221840.0
2017-8-04,0.402611,0.416268,0.333277,0.339541,2633.0,6039170.0
2017-8-05,0.337514,0.417413,0.332438,0.416973,8530.0,5062710.0
2017-8-06,0.420705,0.503838,0.374649,0.457991,400.0,6310580.0
2017-8-07,0.458112,0.459242,0.350101,0.378909,41698.0,6871670.0
2017-8-08,0.376989,0.456557,0.353481,0.409802,13283.0,5654840.0
2017-8-09,0.407249,0.510429,0.363747,0.498384,9800.0,6108730.0
2017-8-10,0.499986,0.557371,0.354076,0.392344,7282.0,7499800.0
2017-8-11,0.395569,0.396928,0.285379,0.310707,8133.0,5933530.0
2017-8-12,0.310667,0.429029,0.284886,0.420095,6194.0,4660000.0
2017-8-13,0.421748,0.448823,0.365502,0.400562,21135.0,6326220.0
2017-8-14,0.399088,0.50243,0.345517,0.465437,7227.0,5986330.0
2017-8-15,0.458445,0.49031,0.345663,0.461405,15404.0,6876680.0
2017-8-16,0.468027,0.48877,0.386377,0.425833,10058.0,7020410.0
2017-8-17,0.427528,0.438417,0.351591,0.422529,12796.0,6412930.0
2017-8-18,0.422646,0.427718,0.314739,0.31764,2565.0,6339680.0
2017-8-19,0.317963,0.402357,0.244742,0.358792,4180.0,4769440.0
2017-8-20,0.359014,0.520716,0.2909,0.47501,17675.0,5385220.0
2017-8-21,0.461042,0.50893,0.318681,0.467542,5085.0,6915630.0
2017-8-22,0.467855,0.47487,0.210528,0.221564,14144.0,7017830.0
2017-8-23,0.223514,0.350959,0.220516,0.243536,20364.0,3352720.0
2017-8-24,0.243331,0.315552,0.232633,0.24445,5102.0,3649960.0
2017-8-25,0.245689,0.29972,0.231961,0.287281,10893.0,3685330.0
2017-8-26,0.286717,0.554643,0.286717,0.550821,25678.0,4300760.0
