datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-6-24,0.001182,0.001182,0.001182,0.001182,56.0,887.0
2017-6-25,0.001183,0.014231,0.001169,0.012524,2312.0,887.0
2017-6-26,0.012497,0.012758,0.006092,0.006092,696.0,9856.0
2017-6-27,0.007065,0.010777,0.006954,0.007596,428.0,5727.0
2017-6-28,0.007645,0.01116,0.007508,0.010961,972.0,6429.0
2017-6-29,0.01095,0.018971,0.010356,0.01769,2947.0,9461.0
2017-6-30,0.018991,0.025153,0.012652,0.01712,2268.0,17026.0
2017-7-01,0.017113,0.029087,0.013303,0.020462,3269.0,15825.0
2017-7-02,0.028884,0.036207,0.020447,0.033732,3836.0,27621.0
2017-7-03,0.033608,0.041037,0.027426,0.039406,3869.0,33030.0
2017-7-04,0.039443,0.066213,0.030574,0.066213,7664.0,77970.0
2017-7-05,0.066177,0.066177,0.043284,0.057167,2931.0,132944.0
2017-7-06,0.057195,0.067156,0.049168,0.05066,8767.0,116410.0
2017-7-07,0.050697,0.062088,0.049542,0.049741,7066.0,104565.0
2017-7-08,0.049783,0.05628,0.025023,0.026923,6736.0,104185.0
2017-7-09,0.026947,0.039638,0.012675,0.015377,9078.0,57143.0
2017-7-10,0.013904,0.01496,0.007521,0.008678,3931.0,29836.0
2017-7-11,0.010766,0.011418,0.001403,0.00636,4586.0,23412.0
2017-7-12,0.006351,0.00686,0.004677,0.0062,958.0,13969.0
2017-7-13,0.006276,0.006308,0.002461,0.002928,1314.0,13981.0
2017-7-14,0.002926,0.006638,0.002825,0.003667,1892.0,6601.0
2017-7-15,0.00335,0.004878,0.002964,0.002967,1174.0,7643.0
2017-7-16,0.002958,0.0032,0.002163,0.002676,607.0,6753.0
2017-7-17,0.002673,0.003683,0.002365,0.003592,1387.0,6102.0
2017-7-18,0.003579,0.005804,0.003063,0.003724,1408.0,8463.0
2017-7-19,0.00373,0.004639,0.002674,0.002714,1489.0,8936.0
2017-7-20,0.002706,0.005062,0.002706,0.004273,925.0,6551.0
2017-7-21,0.004305,0.004956,0.003546,0.003708,511.0,10538.0
2017-7-22,0.003708,0.004171,0.003625,0.004161,352.0,9195.0
2017-7-23,0.004161,0.004543,0.003265,0.003304,744.0,10442.0
2017-7-24,0.003301,0.004212,0.003169,0.003255,436.0,8370.0
2017-7-25,0.003255,0.006347,0.002906,0.003173,3030.0,8346.0
2017-7-26,0.003175,0.004065,0.002918,0.003323,598.0,8239.0
2017-7-27,0.003333,0.003348,0.002101,0.003051,1358.0,8744.0
2017-7-28,0.002581,0.003132,0.001858,0.002066,467.0,6838.0
2017-7-29,0.002058,0.002427,0.001459,0.002202,787.0,5509.0
2017-7-30,0.002201,0.002305,0.001718,0.001725,587.0,5952.0
2017-7-31,0.001727,0.002013,0.001361,0.001373,475.0,4720.0
2017-8-01,0.001374,0.001605,0.000938,0.001392,444.0,3795.0
2017-8-02,0.001392,0.001548,0.001063,0.001105,93.0,3879.0
2017-8-03,0.001107,0.00182,0.001107,0.001394,122.0,3117.0
2017-8-04,0.001393,0.001811,0.00122,0.001428,274.0,3970.0
2017-8-05,0.001427,0.00196,0.001426,0.001692,199.0,4104.0
2017-8-06,0.001693,0.001872,0.001581,0.001872,103.0,4914.0
2017-8-07,0.001771,0.002471,0.00166,0.002033,141.0,5194.0
2017-8-08,0.002035,0.002958,0.001811,0.001813,569.0,5985.0
2017-8-09,0.001812,0.002479,0.001787,0.001972,173.0,5375.0
2017-8-10,0.001972,0.002365,0.00187,0.002357,187.0,5869.0
2017-8-11,0.002357,0.002409,0.001708,0.001936,525.0,7069.0
2017-8-12,0.001935,0.002415,0.001878,0.002052,416.0,5841.0
2017-8-13,0.00205,0.002981,0.00205,0.002557,578.0,6230.0
2017-8-14,0.002559,0.016271,0.001907,0.003366,37032.0,7853.0
2017-8-15,0.003418,0.007643,0.003082,0.005186,12509.0,10597.0
2017-8-16,0.005192,0.008887,0.004786,0.006677,12572.0,16261.0
2017-8-17,0.006583,0.006726,0.003883,0.004164,5095.0,20805.0
2017-8-18,0.004151,0.004311,0.003217,0.003372,1493.0,58871.0
2017-8-19,0.003369,0.004812,0.003297,0.00354,793.0,47776.0
2017-8-20,0.003524,0.004276,0.003279,0.003991,415.0,49967.0
2017-8-21,0.003976,0.003998,0.003151,0.003433,611.0,56380.0
2017-8-22,0.003441,0.003588,0.002144,0.002743,928.0,48794.0
2017-8-23,0.002738,0.003149,0.002694,0.002733,150.0,38823.0
2017-8-24,0.002734,0.00295,0.002088,0.002601,1273.0,38776.0
2017-8-25,0.002597,0.002882,0.002364,0.00244,768.0,36832.0
2017-8-26,0.002445,0.002713,0.002257,0.002303,594.0,34674.0
