datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jul 31, 2017",0.391918,0.417715,0.387712,0.401564,49180.0,0.0
"Aug 01, 2017",0.4002,0.489555,0.352693,0.367984,124893.0,0.0
"Aug 02, 2017",0.368128,0.394446,0.273459,0.31373,121304.0,0.0
"Aug 03, 2017",0.314388,0.45675,0.283861,0.342905,158599.0,0.0
"Aug 04, 2017",0.343003,0.382196,0.335219,0.370544,132065.0,0.0
"Aug 05, 2017",0.370443,0.445303,0.370443,0.40905,153858.0,0.0
"Aug 06, 2017",0.410297,0.45053,0.40817,0.42652,119597.0,0.0
"Aug 07, 2017",0.426501,0.438215,0.389585,0.398863,131428.0,0.0
"Aug 08, 2017",0.399999,0.444824,0.387876,0.432148,130197.0,10003700.0
"Aug 09, 2017",0.432461,0.450489,0.384648,0.412588,129006.0,10815500.0
"Aug 10, 2017",0.412358,0.49326,0.395185,0.475125,166167.0,10312800.0
"Aug 11, 2017",0.475915,0.632994,0.475304,0.61963,283580.0,11902300.0
"Aug 12, 2017",0.619355,0.681501,0.591614,0.672685,238339.0,15489600.0
"Aug 13, 2017",0.671857,0.692981,0.646309,0.674873,190590.0,16802600.0
"Aug 14, 2017",0.677013,0.756984,0.664145,0.721156,247916.0,16931600.0
"Aug 15, 2017",0.723278,0.746486,0.635931,0.72068,277396.0,18088600.0
"Aug 16, 2017",0.722027,0.728623,0.582516,0.728623,244674.0,18057400.0
"Aug 17, 2017",0.732083,1.28,0.674036,0.977867,556637.0,18308900.0
"Aug 18, 2017",0.976863,1.62,0.875863,1.61,2057150.0,24430600.0
"Aug 19, 2017",1.61,2.04,0.947297,1.66,2427350.0,40320900.0
"Aug 20, 2017",1.65,2.88,1.59,2.82,2935310.0,41383900.0
"Aug 21, 2017",2.78,2.83,1.31,1.53,4422000.0,69453100.0
"Aug 22, 2017",1.49,1.65,1.09,1.41,2495650.0,37171300.0
