datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jan 01, 2017",0.000125,0.00013,0.00011,0.00011,0.0,4591.0
"Jan 02, 2017",0.00011,0.000111,0.000101,0.000102,4.0,4024.0
"Jan 03, 2017",0.000102,0.000104,0.000102,0.000103,4.0,3744.0
"Jan 04, 2017",0.00011,0.000113,0.0001,0.000104,33.0,4027.0
"Jan 05, 2017",0.000104,0.000119,9.1e-05,0.000101,1.0,3809.0
"Jan 06, 2017",0.000101,0.000105,0.0001,0.0001,1.0,3714.0
"Jan 09, 2017",8.9e-05,0.0001,8.9e-05,9.9e-05,3.0,3248.0
"Jan 10, 2017",9.9e-05,0.000101,9.9e-05,0.0001,1.0,3639.0
"Jan 12, 2017",8.4e-05,9.9e-05,8.4e-05,9.7e-05,0.0,3074.0
"Jan 13, 2017",9.7e-05,0.000212,9.4e-05,0.000157,1955.0,3539.0
"Jan 14, 2017",0.000157,0.000241,0.00014,0.000147,293.0,5751.0
"Jan 15, 2017",0.000147,0.000164,0.000122,0.000131,123.0,5399.0
"Jan 16, 2017",0.000131,0.000149,0.000131,0.000134,31.0,4819.0
"Jan 17, 2017",0.000134,0.000219,0.000134,0.000218,146.0,4922.0
"Jan 18, 2017",0.000218,0.00023,0.000146,0.00023,57.0,7986.0
"Jan 19, 2017",0.000231,0.00025,0.00017,0.000171,16.0,8448.0
"Jan 20, 2017",0.000171,0.000216,0.000169,0.00017,5.0,6260.0
"Jan 21, 2017",0.00017,0.000184,0.000156,0.000157,26.0,6232.0
"Jan 22, 2017",0.000157,0.000175,0.000154,0.000175,1.0,5743.0
"Jan 23, 2017",0.000176,0.000176,0.000174,0.000176,0.0,6438.0
"Jan 24, 2017",0.00018,0.00018,0.000178,0.000178,0.0,6597.0
"Jan 25, 2017",0.000179,0.000181,0.000152,0.000171,1.0,6543.0
"Jan 26, 2017",0.000171,0.000181,0.000136,0.000138,32.0,6283.0
"Jan 27, 2017",0.000138,0.000175,0.000137,0.000147,20.0,5044.0
"Jan 28, 2017",0.000147,0.000166,0.000147,0.000157,1.0,5397.0
"Jan 29, 2017",0.000157,0.000175,0.000156,0.000156,2.0,5741.0
"Jan 30, 2017",0.000156,0.000175,0.000156,0.000157,1.0,5728.0
"Jan 31, 2017",0.000156,0.000221,0.000156,0.000175,58.0,5734.0
"Feb 01, 2017",0.000175,0.000227,0.000175,0.000227,18.0,6401.0
"Feb 02, 2017",0.000227,0.000239,0.000197,0.000202,3.0,8336.0
"Feb 03, 2017",0.000202,0.000227,0.000192,0.000227,26.0,7413.0
"Feb 04, 2017",0.000227,0.000267,0.000215,0.000219,24.0,8315.0
"Feb 05, 2017",0.000219,0.000219,0.000194,0.000195,6.0,8031.0
"Feb 06, 2017",0.000195,0.000239,0.000195,0.000239,2.0,7161.0
"Feb 07, 2017",0.000239,0.000244,0.000212,0.000212,25.0,8767.0
"Feb 08, 2017",0.000212,0.000244,0.000191,0.000191,19.0,7786.0
"Feb 09, 2017",0.000192,0.000216,0.000191,0.000199,0.0,7023.0
"Feb 10, 2017",0.000199,0.000248,0.000194,0.000247,15.0,7297.0
"Feb 11, 2017",0.000247,0.000252,0.00021,0.000211,2.0,9060.0
"Feb 12, 2017",0.000211,0.00022,0.000209,0.00022,1.0,7723.0
"Feb 13, 2017",0.00022,0.00022,0.000215,0.000218,0.0,8053.0
"Feb 14, 2017",0.000178,0.000212,0.000178,0.000211,39.0,6520.0
"Feb 15, 2017",0.000211,0.000212,0.00021,0.000211,0.0,7744.0
"Feb 16, 2017",0.000214,0.000214,0.000204,0.000205,1.0,7827.0
"Feb 17, 2017",0.000205,0.000211,0.000205,0.000209,2.0,7521.0
"Feb 18, 2017",0.00021,0.000211,0.0002,0.0002,15.0,7690.0
"Feb 19, 2017",0.0002,0.000201,0.000198,0.000199,15.0,7344.0
"Feb 20, 2017",0.000219,0.000265,0.000219,0.000248,18.0,8043.0
"Feb 21, 2017",0.000248,0.000249,0.000216,0.000223,6.0,9097.0
"Feb 22, 2017",0.000223,0.000277,0.000222,0.000246,43.0,8171.0
"Feb 23, 2017",0.000246,0.000282,0.000246,0.00028,0.0,9008.0
"Feb 24, 2017",0.000281,0.000312,0.00028,0.000293,5.0,10314.0
"Feb 25, 2017",0.000293,0.000294,0.000271,0.000275,1.0,10723.0
"Feb 26, 2017",0.000275,0.000278,0.000247,0.000248,1.0,10064.0
"Feb 27, 2017",0.000248,0.00026,0.000235,0.000236,7.0,9093.0
"Feb 28, 2017",0.000236,0.000249,0.000234,0.000236,3.0,8654.0
"Mar 01, 2017",0.000236,0.000315,0.000218,0.00022,42.0,8649.0
"Mar 02, 2017",0.00022,0.000278,0.000219,0.000263,2.0,8078.0
"Mar 03, 2017",0.000263,0.000331,0.000254,0.000255,8.0,9625.0
"Mar 04, 2017",0.000256,0.000344,0.0002,0.000251,63.0,9372.0
"Mar 05, 2017",0.000251,0.000253,0.000248,0.000253,1.0,9193.0
"Mar 06, 2017",0.000255,0.000407,0.000216,0.000407,568.0,9352.0
"Mar 07, 2017",0.000407,0.000408,0.000265,0.000281,21.0,14931.0
"Mar 08, 2017",0.000281,0.000334,0.000264,0.000264,17.0,10310.0
"Mar 09, 2017",0.000265,0.000268,0.000155,0.00019,147.0,9696.0
"Mar 10, 2017",0.00019,0.000203,0.000172,0.000179,12.0,6974.0
"Mar 11, 2017",0.000179,0.000191,0.000175,0.000176,1.0,6546.0
"Mar 12, 2017",0.000176,0.000245,0.000171,0.000244,44.0,6468.0
"Mar 13, 2017",0.000244,0.00026,0.000243,0.000259,0.0,8955.0
"Mar 14, 2017",0.000259,0.000259,0.000247,0.000248,0.0,9483.0
"Mar 15, 2017",0.000248,0.00025,0.000248,0.00025,0.0,9090.0
"Mar 16, 2017",0.00025,0.00025,0.00023,0.000238,1.0,9171.0
"Mar 17, 2017",0.000236,0.000236,0.000228,0.000228,1.0,8650.0
"Mar 18, 2017",0.000218,0.000231,0.000201,0.000205,2.0,7974.0
"Mar 19, 2017",0.000205,0.000225,0.000205,0.000218,0.0,7517.0
"Mar 20, 2017",0.000218,0.000255,0.00018,0.000253,53.0,7982.0
"Mar 21, 2017",0.000253,0.000262,0.000197,0.000202,4.0,9282.0
"Mar 22, 2017",0.000202,0.000239,0.000185,0.000189,30.0,7392.0
"Mar 23, 2017",0.000189,0.000233,0.000185,0.000228,1.0,6927.0
"Mar 24, 2017",0.000228,0.000229,0.000168,0.000169,3.0,8372.0
"Mar 25, 2017",0.000169,0.000209,0.000166,0.000195,32.0,6178.0
"Mar 26, 2017",0.000195,0.000207,0.000172,0.000174,3.0,7139.0
"Mar 27, 2017",0.000175,0.000199,0.000175,0.000199,2.0,6412.0
"Mar 28, 2017",0.000198,0.000213,0.000197,0.000209,7.0,7273.0
"Mar 29, 2017",0.000209,0.000211,0.000203,0.000209,7.0,7667.0
"Apr 01, 2017",0.000214,0.000218,0.000212,0.000216,2.0,7831.0
"Apr 02, 2017",0.000216,0.000229,0.000194,0.000209,25.0,7920.0
