datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jul 24, 2017",0.196947,0.212545,0.180105,0.192337,386202.0,13786300.0
"Jul 25, 2017",0.192574,0.195938,0.143975,0.149891,368973.0,13480200.0
"Jul 26, 2017",0.149877,0.156168,0.123622,0.139288,303066.0,10491400.0
"Jul 27, 2017",0.140705,0.143635,0.131214,0.135008,206639.0,9849370.0
"Jul 28, 2017",0.136116,0.13711,0.124498,0.126194,235584.0,9528120.0
"Jul 29, 2017",0.12585,0.13554,0.116137,0.13527,226791.0,8809490.0
"Jul 30, 2017",0.135397,0.136677,0.118842,0.126511,195561.0,9477770.0
"Jul 31, 2017",0.126821,0.12975,0.118797,0.12233,225371.0,8877460.0
"Aug 01, 2017",0.12179,0.164291,0.12179,0.139104,444119.0,8525270.0
"Aug 02, 2017",0.13901,0.157257,0.138185,0.143026,308632.0,9730730.0
"Aug 03, 2017",0.145094,0.172945,0.143734,0.172694,252947.0,10156600.0
"Aug 04, 2017",0.172383,0.235286,0.164606,0.205119,1387390.0,12066800.0
"Aug 05, 2017",0.203682,0.270267,0.197502,0.233252,1634040.0,14257700.0
"Aug 06, 2017",0.234402,0.241773,0.198691,0.238502,709378.0,16408100.0
"Aug 07, 2017",0.234196,0.276624,0.214256,0.259831,1274540.0,16393700.0
"Aug 08, 2017",0.261064,0.268692,0.227958,0.262313,724702.0,18274500.0
"Aug 09, 2017",0.262173,0.262827,0.226678,0.229137,599558.0,18352100.0
"Aug 10, 2017",0.229248,0.249212,0.205724,0.205979,913865.0,16047300.0
"Aug 11, 2017",0.207107,0.321786,0.202979,0.303826,2571810.0,14497500.0
"Aug 12, 2017",0.303464,0.391706,0.285476,0.374382,3499850.0,21242500.0
"Aug 13, 2017",0.379024,0.402,0.289761,0.321389,1687580.0,26531700.0
"Aug 14, 2017",0.320238,0.357454,0.262228,0.295079,1191940.0,22416700.0
"Aug 15, 2017",0.292876,0.31451,0.272047,0.305907,929176.0,20501300.0
"Aug 16, 2017",0.306297,0.306297,0.279027,0.302128,686979.0,21440800.0
"Aug 17, 2017",0.299102,0.368501,0.28248,0.317524,1437470.0,20937100.0
"Aug 18, 2017",0.314609,0.33571,0.275562,0.291684,1027710.0,22022700.0
"Aug 19, 2017",0.291509,0.302551,0.276233,0.302014,609392.0,20405700.0
"Aug 20, 2017",0.302536,0.329492,0.290951,0.324632,762936.0,21177500.0
"Aug 21, 2017",0.323455,0.324479,0.285958,0.29652,693995.0,22641800.0
"Aug 22, 2017",0.297838,0.300365,0.245582,0.286267,611758.0,20848700.0
