datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-7-11,2.3e-05,2.4e-05,2.3e-05,2.3e-05,180.0,0.0
2017-7-12,2.3e-05,2.4e-05,2.2e-05,2.4e-05,19.0,0.0
2017-7-13,2.4e-05,2.4e-05,2.3e-05,2.3e-05,2.0,0.0
2017-7-14,2.3e-05,2.4e-05,2.2e-05,2.2e-05,137.0,0.0
2017-7-15,2.2e-05,2.2e-05,2e-05,2e-05,34.0,0.0
2017-7-16,2e-05,2.1e-05,1.8e-05,1.9e-05,1.0,0.0
2017-7-17,1.9e-05,2.2e-05,1.9e-05,2.2e-05,4.0,0.0
2017-7-18,2.2e-05,2.4e-05,2.2e-05,2.3e-05,20.0,0.0
2017-7-19,2.3e-05,2.4e-05,2.2e-05,2.3e-05,5.0,0.0
2017-7-20,2.3e-05,2.9e-05,2.3e-05,2.8e-05,38.0,0.0
2017-7-21,2.8e-05,2.8e-05,2.6e-05,2.7e-05,1.0,0.0
2017-7-22,2.7e-05,2.9e-05,2.7e-05,2.8e-05,1.0,0.0
2017-7-23,2.8e-05,2.9e-05,2.7e-05,2.7e-05,1.0,0.0
2017-7-24,2.8e-05,2.8e-05,2.7e-05,2.8e-05,0.0,0.0
2017-7-25,2.8e-05,2.8e-05,2.5e-05,2.6e-05,256.0,0.0
2017-7-26,2.6e-05,2.6e-05,2.4e-05,2.5e-05,6.0,0.0
2017-7-27,2.5e-05,2.6e-05,71000000.0,73000000.0,76.0,0.0
2017-7-28,76000000.0,85000000.0,64000000.0,83000000.0,183.0,0.0
2017-7-29,83000000.0,85000000.0,62000000.0,83000000.0,1029.0,0.0
2017-7-30,83000000.0,88000000.0,60000000.0,62000000.0,207.0,0.0
2017-7-31,62000000.0,72000000.0,49000000.0,50000000.0,488.0,0.0
2017-8-01,51000000.0,72000000.0,36000000.0,67000000.0,520.0,0.0
2017-8-02,67000000.0,3e-06,41000000.0,1e-06,639.0,0.0
2017-8-03,1e-06,1e-06,35000000.0,37000000.0,75.0,0.0
2017-8-04,38000000.0,49000000.0,37000000.0,44000000.0,199.0,0.0
2017-8-05,44000000.0,53000000.0,38000000.0,53000000.0,43.0,0.0
2017-8-06,53000000.0,54000000.0,38000000.0,46000000.0,121.0,0.0
2017-8-07,46000000.0,52000000.0,37000000.0,47000000.0,418.0,0.0
2017-8-08,47000000.0,53000000.0,47000000.0,53000000.0,12.0,0.0
2017-8-09,53000000.0,6e-06,39000000.0,92000000.0,83.0,0.0
2017-8-10,92000000.0,6e-06,92000000.0,6e-06,29.0,0.0
2017-8-11,6e-06,6e-06,64000000.0,95000000.0,52.0,0.0
2017-8-12,1e-06,4e-06,1e-06,3e-06,28.0,0.0
2017-8-13,2e-06,7e-06,2e-06,2e-06,667.0,0.0
2017-8-14,2e-06,5e-06,1e-06,5e-06,426.0,0.0
2017-8-15,5e-06,4.2e-05,5e-06,3.1e-05,233.0,0.0
2017-8-16,3.1e-05,4.4e-05,2.4e-05,4.4e-05,27.0,0.0
2017-8-17,4.4e-05,4.5e-05,4.2e-05,4.3e-05,462.0,0.0
2017-8-18,4.3e-05,4.4e-05,1.7e-05,2.9e-05,95.0,0.0
2017-8-19,2.9e-05,4.2e-05,2.9e-05,4.2e-05,172.0,0.0
2017-8-20,4.1e-05,4.1e-05,6e-06,6e-06,14.0,0.0
2017-8-21,6e-06,9e-06,50000000.0,50000000.0,28.0,0.0
2017-8-22,50000000.0,51000000.0,40000000.0,42000000.0,6.0,0.0
2017-8-23,42000000.0,3.7e-05,42000000.0,3.6e-05,103.0,0.0
2017-8-24,3.6e-05,4.4e-05,3.6e-05,4.3e-05,254.0,0.0
2017-8-25,4.3e-05,4.5e-05,4e-05,4.4e-05,211.0,0.0
2017-8-26,4.4e-05,4.4e-05,4.3e-05,4.3e-05,24.0,0.0
