datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jul 27, 2017",0.000949,0.001312,0.000949,0.001302,618.0,0.0
"Jul 28, 2017",0.0013,0.0014,0.001013,0.001168,411.0,0.0
"Jul 29, 2017",0.001173,0.001209,0.000988,0.001195,239.0,0.0
"Jul 30, 2017",0.001196,0.001198,0.000787,0.000792,617.0,0.0
"Jul 31, 2017",0.000794,0.000992,0.000378,0.000572,132.0,0.0
"Aug 01, 2017",0.000572,0.000949,0.000478,0.000546,65.0,0.0
"Aug 02, 2017",0.000546,0.001075,0.000539,0.000647,500.0,0.0
"Aug 03, 2017",0.000648,0.001036,0.000648,0.001031,36.0,0.0
"Aug 04, 2017",0.001031,0.001035,0.000668,0.000714,39.0,0.0
"Aug 05, 2017",0.000714,0.001265,0.000713,0.001009,363.0,0.0
"Aug 06, 2017",0.001009,0.006193,0.000947,0.003227,108831.0,0.0
"Aug 07, 2017",0.00322,0.004581,0.001541,0.001864,36041.0,0.0
"Aug 08, 2017",0.001865,0.002618,0.00158,0.001711,41748.0,0.0
"Aug 09, 2017",0.001709,0.002153,0.001142,0.001337,34802.0,0.0
"Aug 10, 2017",0.001337,0.001359,0.000888,0.001025,1684.0,0.0
"Aug 11, 2017",0.001025,0.001615,0.000931,0.00095,2539.0,0.0
"Aug 12, 2017",0.000949,0.001526,0.000911,0.001084,1084.0,0.0
"Aug 13, 2017",0.001083,0.00138,0.000888,0.001258,309.0,0.0
"Aug 14, 2017",0.001259,0.001596,0.000916,0.001251,1618.0,0.0
"Aug 15, 2017",0.001255,0.001284,0.001159,0.001245,21.0,0.0
"Aug 16, 2017",0.001246,0.001538,0.001072,0.001538,330.0,0.0
"Aug 17, 2017",0.001536,0.001659,0.001219,0.001588,927.0,0.0
"Aug 18, 2017",0.001584,0.001611,0.001238,0.001439,27.0,0.0
"Aug 19, 2017",0.001438,0.001471,0.001159,0.001208,123.0,0.0
"Aug 20, 2017",0.001202,0.001464,0.001013,0.001229,1626.0,0.0
"Aug 21, 2017",0.001222,0.001608,0.001195,0.001197,2222.0,0.0
"Aug 22, 2017",0.0012,0.001592,0.001051,0.001351,2340.0,0.0
