datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Feb 22, 2017",0.000423,0.000423,0.000223,0.000223,567.0,0.0
"Feb 23, 2017",0.000223,0.000283,0.000137,0.000163,192.0,0.0
"Feb 24, 2017",0.000164,0.000226,0.000141,0.000153,56.0,0.0
"Feb 25, 2017",0.000152,0.000233,0.000146,0.000217,112.0,0.0
"Feb 26, 2017",0.000217,0.000221,0.00017,0.000221,97.0,0.0
"Feb 27, 2017",0.000221,0.00027,0.000177,0.000177,20.0,0.0
"Feb 28, 2017",0.000177,0.000201,0.000142,0.000142,174.0,0.0
"Mar 01, 2017",0.000142,0.000183,0.000118,0.000122,151.0,0.0
"Mar 02, 2017",0.000122,0.000213,8.6e-05,0.000213,184.0,0.0
"Mar 03, 2017",0.000213,0.00024,0.000127,0.000127,166.0,0.0
"Mar 04, 2017",0.000128,0.000128,0.000123,0.000126,139.0,0.0
"Mar 05, 2017",0.000125,0.000125,8.8e-05,8.9e-05,352.0,0.0
"Mar 06, 2017",8.9e-05,0.000102,8.9e-05,8.9e-05,73.0,0.0
"Mar 07, 2017",8.9e-05,8.9e-05,7.3e-05,7.3e-05,145.0,0.0
"Mar 08, 2017",7.3e-05,8.6e-05,7.1e-05,8.1e-05,62.0,0.0
"Mar 09, 2017",8.1e-05,8.1e-05,5.7e-05,5.9e-05,152.0,0.0
"Mar 10, 2017",5.9e-05,6.4e-05,4.3e-05,4.5e-05,58.0,0.0
"Mar 11, 2017",4.5e-05,9.6e-05,4.5e-05,9.4e-05,15.0,0.0
"Mar 12, 2017",9.4e-05,9.6e-05,4.8e-05,4.9e-05,2.0,0.0
"Mar 13, 2017",4.9e-05,0.000111,4.9e-05,0.000111,12.0,0.0
"Mar 14, 2017",0.000111,0.000111,4.9e-05,5e-05,27.0,0.0
"Mar 15, 2017",5e-05,5e-05,5e-05,5e-05,24.0,0.0
"Mar 16, 2017",5e-05,5e-05,4.6e-05,4.8e-05,18.0,0.0
"Mar 17, 2017",4.7e-05,4.7e-05,4.4e-05,4.4e-05,6.0,0.0
"Mar 18, 2017",4.4e-05,4.5e-05,3.8e-05,3.9e-05,10.0,0.0
"Mar 19, 2017",3.9e-05,4e-05,3e-05,3.1e-05,9.0,0.0
"Mar 20, 2017",3.1e-05,4.3e-05,3.1e-05,3.2e-05,16.0,0.0
"Mar 21, 2017",3.2e-05,3.4e-05,3.2e-05,3.4e-05,5.0,0.0
"Mar 22, 2017",3.4e-05,4.3e-05,3.2e-05,4.2e-05,8.0,0.0
"Mar 23, 2017",4.2e-05,4.2e-05,3.1e-05,4.2e-05,11.0,0.0
