datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-1-01,0.007326,0.007627,0.006939,0.007051,41.0,366829.0
2017-1-02,0.007055,0.007395,0.006272,0.006451,814.0,353565.0
2017-1-03,0.006451,0.008261,0.00645,0.007428,1583.0,323515.0
2017-1-04,0.007427,0.00851,0.007427,0.008083,2045.0,372757.0
2017-1-05,0.008091,0.009589,0.006804,0.007522,3386.0,406423.0
2017-1-06,0.007543,0.009016,0.006656,0.009016,1525.0,379165.0
2017-1-07,0.008263,0.009187,0.007536,0.007704,1402.0,415686.0
2017-1-08,0.007705,0.008789,0.007574,0.008311,1841.0,387923.0
2017-1-09,0.008323,0.010347,0.008038,0.009155,2158.0,419341.0
2017-1-10,0.00915,0.009621,0.008585,0.008585,401.0,461346.0
2017-1-11,0.008586,0.01159,0.007025,0.011566,5657.0,433245.0
2017-1-12,0.01155,0.01155,0.007726,0.009083,3722.0,583235.0
2017-1-13,0.009078,0.013165,0.008724,0.013111,4507.0,458762.0
2017-1-14,0.013145,0.013931,0.010163,0.012306,5541.0,664840.0
2017-1-15,0.012301,0.013961,0.011796,0.013576,1882.0,622614.0
2017-1-16,0.013576,0.014121,0.011747,0.014082,2129.0,687648.0
2017-1-17,0.014085,0.015138,0.012318,0.012989,3016.0,713993.0
2017-1-18,0.012998,0.013034,0.011278,0.012297,591.0,659318.0
2017-1-19,0.012348,0.012734,0.011999,0.012734,2994.0,626743.0
2017-1-20,0.012728,0.012728,0.009965,0.01115,2125.0,646450.0
2017-1-21,0.011149,0.011819,0.009938,0.010451,1716.0,566622.0
2017-1-22,0.01045,0.013831,0.010437,0.01131,2173.0,531435.0
2017-1-23,0.011324,0.012827,0.011225,0.011234,346.0,576204.0
2017-1-24,0.011101,0.012218,0.010866,0.011505,405.0,565218.0
2017-1-25,0.011511,0.014431,0.010964,0.013176,5712.0,586062.0
2017-1-26,0.013192,0.01623,0.012206,0.013797,2962.0,671671.0
2017-1-27,0.01394,0.015167,0.012801,0.014768,3929.0,709730.0
2017-1-28,0.014768,0.018947,0.012989,0.014052,3834.0,751933.0
2017-1-29,0.014052,0.015426,0.013183,0.014734,4452.0,715442.0
2017-1-30,0.014733,0.014924,0.012816,0.013334,3621.0,750146.0
2017-1-31,0.013933,0.015286,0.012508,0.01481,4259.0,709389.0
2017-2-01,0.014919,0.015548,0.012161,0.015034,3183.0,763475.0
2017-2-02,0.01479,0.015722,0.010606,0.013459,2753.0,757318.0
2017-2-03,0.013037,0.016467,0.011364,0.014957,1701.0,667977.0
2017-2-04,0.014976,0.016934,0.011841,0.013253,2311.0,767825.0
2017-2-05,0.01326,0.017101,0.013177,0.014766,2953.0,680285.0
2017-2-06,0.014771,0.015939,0.013396,0.014763,3075.0,758272.0
2017-2-07,0.014797,0.018578,0.013641,0.017182,7818.0,760055.0
2017-2-08,0.017198,0.018115,0.016322,0.017307,1815.0,883961.0
2017-2-09,0.017333,0.017853,0.015144,0.01685,3987.0,891450.0
2017-2-10,0.016871,0.020783,0.015867,0.01853,6282.0,868238.0
2017-2-11,0.018534,0.02688,0.017975,0.026742,21982.0,954412.0
2017-2-12,0.026717,0.027428,0.023689,0.024644,7382.0,1376640.0
2017-2-13,0.024636,0.032702,0.017759,0.026304,15915.0,1270220.0
2017-2-14,0.026333,0.02831,0.024182,0.024586,6774.0,1358260.0
2017-2-15,0.023566,0.026864,0.020363,0.023599,13434.0,1215550.0
2017-2-16,0.023452,0.029798,0.021206,0.02364,4277.0,1209670.0
2017-2-17,0.023599,0.02787,0.022232,0.022661,7742.0,1217210.0
2017-2-18,0.022639,0.024061,0.022339,0.023073,3495.0,1167720.0
2017-2-19,0.023081,0.026613,0.02246,0.024121,3091.0,1190520.0
2017-2-20,0.023433,0.027683,0.022889,0.025621,4177.0,1208650.0
2017-2-21,0.025446,0.027958,0.022416,0.023892,9807.0,1312520.0
2017-2-22,0.023831,0.032541,0.019197,0.031542,12529.0,1229190.0
2017-2-23,0.031515,0.035625,0.027941,0.030384,12633.0,1632880.0
2017-2-24,0.030529,0.035268,0.025534,0.027369,7103.0,1581800.0
2017-2-25,0.028031,0.031842,0.026634,0.031842,1523.0,1454490.0
2017-2-26,0.031851,0.034356,0.026266,0.030712,4156.0,1653350.0
2017-2-27,0.030675,0.035888,0.027366,0.035549,4922.0,1593240.0
2017-2-28,0.035571,0.051927,0.034286,0.046711,44944.0,1848480.0
2017-3-01,0.046713,0.049555,0.038797,0.043094,16259.0,2428670.0
2017-3-02,0.043171,0.051471,0.041245,0.050241,10193.0,2245570.0
2017-3-03,0.050229,0.05657,0.042667,0.047725,21489.0,2614010.0
2017-3-04,0.047816,0.050746,0.041477,0.046912,14267.0,2489690.0
2017-3-05,0.04688,0.04982,0.039993,0.046274,28550.0,2442140.0
2017-3-06,0.046287,0.05654,0.038566,0.044781,15213.0,2412430.0
2017-3-07,0.044795,0.045613,0.039013,0.042215,16912.0,2335800.0
2017-3-08,0.042204,0.044607,0.036444,0.04175,38464.0,2201830.0
2017-3-09,0.042159,0.051417,0.042159,0.049077,27332.0,2200510.0
2017-3-10,0.049111,0.051803,0.039943,0.043891,28794.0,2564660.0
2017-3-11,0.043875,0.056493,0.043754,0.056493,35074.0,2292340.0
2017-3-12,0.055919,0.06729,0.054845,0.066329,79327.0,2923030.0
2017-3-13,0.066537,0.096176,0.066537,0.096176,127144.0,3479780.0
2017-3-14,0.09614,0.110923,0.082299,0.110101,156214.0,5030400.0
2017-3-15,0.110069,0.188481,0.110069,0.170252,503598.0,5762070.0
2017-3-16,0.169724,0.173597,0.102398,0.139302,256541.0,8889320.0
2017-3-17,0.13835,0.13835,0.099142,0.10279,129459.0,7249640.0
2017-3-18,0.109944,0.183896,0.109944,0.165387,383777.0,5763980.0
2017-3-19,0.157129,0.341464,0.153723,0.286548,719375.0,8241740.0
2017-3-20,0.287024,0.674024,0.263257,0.360835,1952470.0,15060500.0
2017-3-21,0.359213,0.527395,0.350726,0.527395,1214060.0,18855200.0
2017-3-22,0.52297,0.686535,0.510106,0.678389,2818940.0,27461000.0
2017-3-23,0.680809,1.02,0.452577,0.706544,6539000.0,35762100.0
2017-3-24,0.656892,0.819795,0.414376,0.47303,2837740.0,34518300.0
2017-3-25,0.474303,0.649199,0.392486,0.615858,1642460.0,24932700.0
2017-3-26,0.603674,0.680153,0.560503,0.589681,1016910.0,31745000.0
2017-3-27,0.588361,0.695317,0.552776,0.620125,1062010.0,30951000.0
2017-3-28,0.616401,0.670345,0.58186,0.628593,617077.0,32438000.0
2017-3-29,0.627587,0.646484,0.613568,0.634372,443690.0,33038600.0
2017-3-30,0.631127,0.829394,0.631127,0.8291,1203240.0,33237000.0
2017-3-31,0.829751,0.915,0.801884,0.900375,1172840.0,43713200.0
2017-4-01,0.899858,0.959975,0.826682,0.899967,818014.0,47423900.0
2017-4-02,0.90199,0.928314,0.867859,0.895967,842077.0,47553500.0
2017-4-03,0.894285,0.920187,0.698337,0.766313,959216.0,47164600.0
2017-4-04,0.769879,0.812202,0.690371,0.74764,588512.0,40618200.0
2017-4-05,0.751525,0.76438,0.681916,0.721758,367766.0,39664400.0
2017-4-06,0.742791,0.923515,0.715567,0.889613,731274.0,39217700.0
2017-4-07,0.886762,0.948612,0.827104,0.906082,523036.0,46836100.0
2017-4-08,0.897203,0.94142,0.855768,0.898411,350252.0,47404600.0
2017-4-09,0.897476,0.900814,0.807707,0.832668,391887.0,47436300.0
2017-4-10,0.832292,0.925502,0.832292,0.925446,373731.0,44007000.0
2017-4-11,0.924345,1.17,0.904698,1.15,1665970.0,48891900.0
2017-4-12,1.13,1.51,1.12,1.51,3348420.0,60050700.0
2017-4-13,1.51,1.95,1.33,1.61,4431750.0,79935700.0
2017-4-14,1.62,1.63,1.44,1.62,1222880.0,85843700.0
2017-4-15,1.63,1.92,1.58,1.9,2137580.0,86546100.0
2017-4-16,1.91,2.13,1.9,2.01,2800670.0,101036000.0
2017-4-17,1.98,2.03,1.77,1.93,1766670.0,104841000.0
2017-4-18,1.93,1.99,1.77,1.92,1032470.0,102247000.0
2017-4-19,1.92,1.94,1.84,1.85,1054770.0,101974000.0
2017-4-20,1.84,1.89,1.6,1.72,1354650.0,97723100.0
2017-4-21,1.72,1.79,1.59,1.64,677641.0,91442200.0
2017-4-22,1.66,1.68,1.38,1.57,1050050.0,88029900.0
2017-4-23,1.45,1.54,1.12,1.12,1511360.0,76739800.0
2017-4-24,1.09,1.47,1.01,1.31,3151540.0,58042000.0
2017-4-25,1.33,1.38,1.23,1.27,969658.0,70585800.0
2017-4-26,1.25,1.33,1.17,1.21,952249.0,66669800.0
2017-4-27,1.22,1.51,1.11,1.44,1201070.0,65001600.0
2017-4-28,1.46,1.51,1.33,1.4,1085370.0,77431200.0
2017-4-29,1.41,1.71,1.41,1.71,1164280.0,74728100.0
2017-4-30,1.71,1.95,1.6,1.69,2065690.0,91012000.0
2017-5-01,1.7,1.79,1.58,1.63,1355680.0,90482300.0
2017-5-02,1.63,1.78,1.58,1.71,851062.0,86921500.0
2017-5-03,1.7,1.73,1.49,1.52,1625630.0,90546600.0
2017-5-04,1.52,1.63,1.43,1.52,1700330.0,80983000.0
2017-5-05,1.5,1.61,1.44,1.54,1498250.0,79703600.0
2017-5-06,1.54,1.67,1.53,1.56,981198.0,81861500.0
