datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jan 02, 2017",5.1e-05,5.2e-05,5e-05,5.1e-05,1.0,70.0
"Jan 03, 2017",5.1e-05,5.2e-05,5.1e-05,5.2e-05,0.0,70.0
"Jan 04, 2017",5.6e-05,0.000104,5.6e-05,0.000104,1.0,78.0
"Jan 05, 2017",0.000104,0.000104,4.6e-05,5.1e-05,4.0,143.0
"Jan 06, 2017",5.1e-05,5.2e-05,4.4e-05,4.5e-05,2.0,70.0
"Jan 07, 2017",4.5e-05,5.5e-05,4.1e-05,5.5e-05,4.0,62.0
"Jan 08, 2017",5.5e-05,5.7e-05,5.3e-05,5.5e-05,2.0,75.0
"Jan 09, 2017",5.5e-05,8.1e-05,4.5e-05,4.5e-05,9.0,75.0
"Jan 10, 2017",4.5e-05,0.0001,4.5e-05,5.4e-05,9.0,62.0
"Jan 11, 2017",5.4e-05,7.3e-05,4.7e-05,4.7e-05,11.0,75.0
"Jan 12, 2017",4.7e-05,7e-05,4.6e-05,4.8e-05,14.0,64.0
"Jan 13, 2017",4.8e-05,4.9e-05,4.7e-05,4.8e-05,5.0,66.0
"Jan 14, 2017",5e-05,5e-05,4.9e-05,4.9e-05,7.0,69.0
"Jan 15, 2017",4.9e-05,4.9e-05,4.9e-05,4.9e-05,1.0,68.0
"Jan 16, 2017",6.7e-05,7.5e-05,6.6e-05,6.7e-05,22.0,92.0
"Jan 17, 2017",6.7e-05,0.000151,6.2e-05,7.3e-05,39.0,92.0
"Jan 18, 2017",7.3e-05,0.000136,7e-05,7.1e-05,13.0,100.0
"Jan 19, 2017",7.1e-05,7.2e-05,6.3e-05,7.2e-05,7.0,98.0
"Jan 20, 2017",7.2e-05,8.1e-05,6.2e-05,8.1e-05,2.0,99.0
"Jan 21, 2017",8.1e-05,8.3e-05,6.4e-05,6.5e-05,6.0,111.0
"Jan 22, 2017",6.5e-05,6.6e-05,5.5e-05,5.5e-05,4.0,89.0
"Jan 23, 2017",5.5e-05,0.000139,5.5e-05,8.3e-05,1339.0,76.0
"Jan 24, 2017",8.2e-05,0.000191,5.4e-05,8e-05,2735.0,113.0
"Jan 25, 2017",8e-05,8.1e-05,8e-05,8.1e-05,27.0,111.0
"Jan 26, 2017",8.1e-05,0.000154,7.2e-05,7.3e-05,6.0,112.0
"Jan 27, 2017",7.3e-05,0.000431,7.3e-05,0.000156,1087.0,101.0
"Jan 28, 2017",0.000156,0.000157,0.000147,0.000147,7.0,215.0
"Jan 29, 2017",0.000147,0.000148,7.4e-05,7.4e-05,7.0,203.0
"Jan 30, 2017",7.4e-05,7.4e-05,7.4e-05,7.4e-05,11.0,101.0
"Jan 31, 2017",7.4e-05,0.000214,6.7e-05,0.000213,4501.0,101.0
"Feb 01, 2017",0.000213,0.000217,6.8e-05,9.9e-05,73.0,294.0
"Feb 02, 2017",9.9e-05,0.000229,9.8e-05,0.000192,28.0,136.0
"Feb 03, 2017",0.000192,0.000194,0.000111,0.000113,9.0,265.0
"Feb 04, 2017",0.000113,0.000114,7.2e-05,7.3e-05,12.0,156.0
"Feb 05, 2017",7.3e-05,7.3e-05,7.2e-05,7.2e-05,31.0,101.0
"Feb 06, 2017",7.2e-05,0.000104,7.2e-05,7.3e-05,19.0,99.0
"Feb 07, 2017",7.3e-05,7.4e-05,7.3e-05,7.4e-05,6.0,100.0
"Feb 08, 2017",7.4e-05,7.5e-05,6.2e-05,7.4e-05,12.0,102.0
"Feb 09, 2017",7.5e-05,7.5e-05,5.7e-05,6e-05,3.0,103.0
"Feb 10, 2017",6e-05,6.9e-05,5.8e-05,5.9e-05,5.0,82.0
"Feb 11, 2017",5.9e-05,0.000192,4.9e-05,0.000191,4.0,82.0
"Feb 12, 2017",0.000191,0.000191,6e-05,6e-05,4.0,263.0
"Feb 13, 2017",6e-05,7e-05,5.9e-05,5.9e-05,5.0,83.0
"Feb 14, 2017",6e-05,7e-05,5.9e-05,7e-05,1.0,82.0
"Feb 15, 2017",7e-05,7.1e-05,7e-05,7.1e-05,3.0,97.0
"Feb 16, 2017",7.1e-05,0.000103,7.1e-05,0.000103,6.0,97.0
"Feb 17, 2017",0.000103,0.000103,7.2e-05,7.3e-05,4.0,141.0
"Feb 18, 2017",7.3e-05,7.4e-05,7.3e-05,7.4e-05,3.0,101.0
"Feb 19, 2017",7.4e-05,7.4e-05,7.3e-05,7.3e-05,7.0,102.0
"Feb 20, 2017",7.3e-05,7.6e-05,7.3e-05,7.6e-05,6.0,101.0
