datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jul 24, 2017",13.01,13.37,12.03,12.2,126623.0,11056700.0
"Jul 25, 2017",12.21,12.51,10.68,11.69,127506.0,10378000.0
"Jul 26, 2017",11.65,12.11,10.9,11.21,104553.0,9901600.0
"Jul 27, 2017",11.22,12.43,11.21,12.34,116328.0,9533920.0
"Jul 28, 2017",12.36,12.59,11.66,11.79,128072.0,10505300.0
"Jul 29, 2017",11.75,14.54,11.26,13.91,120699.0,9991500.0
"Jul 30, 2017",13.91,13.95,12.88,13.02,119137.0,11823400.0
"Jul 31, 2017",13.05,14.25,11.91,12.04,140973.0,11090500.0
"Aug 01, 2017",12.01,12.38,10.96,12.29,114874.0,10209700.0
"Aug 02, 2017",12.28,13.24,11.9,13.22,118260.0,10441300.0
"Aug 03, 2017",13.24,13.42,13.12,13.24,122571.0,11255500.0
"Aug 04, 2017",13.22,13.39,12.48,12.96,148776.0,11240900.0
"Aug 05, 2017",12.97,14.25,12.92,14.0,128645.0,11024800.0
"Aug 06, 2017",14.02,14.08,13.15,13.2,133945.0,11921000.0
"Aug 07, 2017",13.18,14.98,13.05,13.55,137101.0,11201000.0
"Aug 08, 2017",13.55,14.27,13.01,14.03,145018.0,11520400.0
"Aug 09, 2017",14.04,14.07,12.62,13.01,136140.0,11933400.0
"Aug 10, 2017",13.0,13.44,11.61,11.61,150326.0,11053000.0
"Aug 11, 2017",11.6,13.6,10.96,13.23,206610.0,9857380.0
"Aug 12, 2017",13.2,14.17,12.3,13.08,197456.0,11219300.0
"Aug 13, 2017",13.08,13.36,11.73,12.15,184973.0,11121700.0
"Aug 14, 2017",12.17,13.13,10.78,10.8,219421.0,10341000.0
"Aug 15, 2017",10.84,10.84,9.72,9.9,169912.0,9211490.0
"Aug 16, 2017",9.9,12.06,9.55,12.06,203360.0,8417310.0
"Aug 17, 2017",12.03,17.02,11.57,12.79,248154.0,10222400.0
"Aug 18, 2017",12.76,12.81,10.7,11.15,194593.0,10844400.0
"Aug 19, 2017",11.16,11.68,10.87,11.37,162674.0,9485790.0
"Aug 20, 2017",11.33,11.47,10.87,11.03,181645.0,9626870.0
"Aug 21, 2017",11.05,11.58,10.84,10.97,144302.0,9390930.0
"Aug 22, 2017",10.94,11.52,10.17,10.66,138113.0,9300060.0
