datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-1-01,1e-05,1e-05,1e-05,1e-05,5.0,0.0
2017-1-07,9e-06,9e-06,9e-06,9e-06,0.0,0.0
2017-1-08,9e-06,9e-06,9e-06,9e-06,0.0,0.0
2017-1-09,9e-06,9e-06,9e-06,9e-06,1.0,0.0
2017-1-10,9e-06,9e-06,9e-06,9e-06,0.0,0.0
2017-1-12,8e-06,8e-06,8e-06,8e-06,0.0,0.0
2017-1-13,8e-06,8e-06,8e-06,8e-06,0.0,0.0
2017-1-14,8e-06,8e-06,8e-06,8e-06,0.0,0.0
2017-1-16,8e-06,8e-06,8e-06,8e-06,0.0,0.0
2017-1-17,8e-06,9e-06,8e-06,9e-06,0.0,0.0
2017-1-18,9e-06,9e-06,9e-06,9e-06,1.0,0.0
2017-1-19,9e-06,9e-06,9e-06,9e-06,0.0,0.0
2017-1-20,9e-06,9e-06,9e-06,9e-06,1.0,0.0
2017-1-21,9e-06,9e-06,9e-06,9e-06,1.0,0.0
2017-1-22,9e-06,1.8e-05,9e-06,9e-06,434.0,0.0
2017-1-23,9e-06,1.8e-05,9e-06,9e-06,40.0,0.0
2017-1-24,1.8e-05,1.8e-05,9e-06,9e-06,30.0,0.0
2017-1-25,9e-06,1.8e-05,9e-06,9e-06,8.0,0.0
2017-1-26,9e-06,1.8e-05,9e-06,9e-06,22.0,0.0
2017-1-27,9e-06,9e-06,9e-06,9e-06,1.0,0.0
2017-1-28,9e-06,0.000157,9e-06,3.7e-05,3926.0,0.0
2017-1-29,3.7e-05,7.4e-05,2.8e-05,2.8e-05,404.0,0.0
2017-1-30,2.8e-05,0.000148,2.8e-05,5.5e-05,2662.0,0.0
2017-1-31,5.5e-05,6.7e-05,2.9e-05,2.9e-05,442.0,0.0
2017-2-01,3.9e-05,4.9e-05,2e-05,4e-05,73.0,0.0
2017-2-02,4e-05,5e-05,2e-05,4e-05,122.0,0.0
2017-2-03,4e-05,4e-05,2e-05,3.1e-05,262.0,0.0
2017-2-04,3.1e-05,3.1e-05,2e-05,2.1e-05,1.0,0.0
2017-2-05,2.1e-05,2.1e-05,2e-05,2.1e-05,1.0,0.0
2017-2-06,2.1e-05,3.1e-05,2.1e-05,3.1e-05,0.0,0.0
2017-2-07,3.1e-05,3.2e-05,1e-05,3.2e-05,74.0,0.0
2017-2-08,3.2e-05,4.3e-05,2.1e-05,3.2e-05,90.0,0.0
2017-2-09,3.2e-05,3.3e-05,2.9e-05,3e-05,1.0,0.0
2017-2-10,3e-05,3e-05,2.8e-05,3e-05,5.0,0.0
2017-2-11,3e-05,3e-05,2e-05,3e-05,3.0,0.0
2017-2-12,3e-05,3e-05,3e-05,3e-05,1.0,0.0
2017-2-13,2e-05,2e-05,2e-05,2e-05,4.0,0.0
2017-2-14,2e-05,3e-05,2e-05,3e-05,30.0,0.0
2017-2-15,3e-05,3e-05,3e-05,3e-05,5.0,0.0
2017-2-16,3e-05,4.1e-05,3e-05,4.1e-05,1.0,0.0
2017-2-17,4.1e-05,4.2e-05,2.1e-05,4.2e-05,42.0,0.0
2017-2-18,4.2e-05,4.2e-05,4.2e-05,4.2e-05,11.0,0.0
2017-2-19,2.1e-05,2.1e-05,2.1e-05,2.1e-05,1.0,0.0
2017-2-20,2.1e-05,3.2e-05,2.1e-05,2.2e-05,40.0,0.0
2017-2-21,2.2e-05,3.4e-05,2.2e-05,3.3e-05,0.0,0.0
2017-2-22,3.3e-05,4.5e-05,3.3e-05,4.5e-05,29.0,0.0
2017-2-23,4.5e-05,4.5e-05,2.3e-05,2.3e-05,26.0,0.0
2017-2-24,2.3e-05,2.4e-05,2.3e-05,2.3e-05,18.0,0.0
2017-2-26,3.5e-05,3.5e-05,3.5e-05,3.5e-05,21.0,0.0
2017-2-27,3.5e-05,3.5e-05,2.4e-05,2.4e-05,2.0,0.0
2017-2-28,2.4e-05,3.6e-05,2.3e-05,3.5e-05,0.0,0.0
2017-3-01,3.5e-05,3.6e-05,2.4e-05,2.4e-05,23.0,0.0
2017-3-02,2.4e-05,2.5e-05,2.4e-05,2.5e-05,6.0,0.0
2017-3-03,2.5e-05,2.6e-05,1.3e-05,1.3e-05,14.0,0.0
2017-3-04,1.3e-05,2.5e-05,1.3e-05,2.5e-05,1.0,0.0
2017-3-05,2.5e-05,3.8e-05,2.5e-05,2.5e-05,7.0,0.0
2017-3-06,2.5e-05,2.6e-05,2.5e-05,2.5e-05,3.0,0.0
2017-3-08,2.5e-05,2.5e-05,1.1e-05,1.2e-05,1.0,0.0
2017-3-09,1.2e-05,3.6e-05,1.2e-05,3.6e-05,0.0,0.0
2017-3-10,3.6e-05,3.8e-05,3.5e-05,3.7e-05,0.0,0.0
2017-3-11,2.3e-05,2.4e-05,2.3e-05,2.4e-05,2.0,0.0
2017-3-12,2.4e-05,2.4e-05,2.4e-05,2.4e-05,2.0,0.0
2017-3-13,2.5e-05,2.5e-05,2.4e-05,2.5e-05,0.0,0.0
2017-3-14,2.5e-05,2.5e-05,1.2e-05,1.2e-05,2.0,0.0
2017-3-15,1.2e-05,1.3e-05,1.2e-05,1.2e-05,2.0,0.0
2017-3-17,2.3e-05,2.3e-05,2.2e-05,2.2e-05,0.0,0.0
2017-3-18,2.2e-05,2.2e-05,2e-05,2e-05,0.0,0.0
2017-3-19,1e-05,4.3e-05,1e-05,4.1e-05,346.0,0.0
2017-3-20,4.1e-05,4.2e-05,2.1e-05,3.2e-05,34.0,0.0
2017-3-21,3.2e-05,3.2e-05,2.1e-05,2.2e-05,10.0,0.0
2017-3-22,2.2e-05,3.3e-05,2e-05,2.1e-05,6.0,0.0
2017-3-23,2.1e-05,3.1e-05,2.1e-05,3.1e-05,0.0,0.0
2017-3-24,3.1e-05,3.1e-05,1.9e-05,1.9e-05,7.0,0.0
2017-3-25,1.9e-05,2.9e-05,1.8e-05,2.9e-05,3.0,0.0
2017-3-26,2.9e-05,2.9e-05,1.9e-05,1.9e-05,118.0,0.0
2017-3-27,1.9e-05,2.1e-05,1e-05,2.1e-05,50.0,0.0
2017-3-28,2.1e-05,2.1e-05,2.1e-05,2.1e-05,3.0,0.0
2017-3-29,2.1e-05,2.1e-05,1e-05,2.1e-05,1.0,0.0
2017-3-30,2.1e-05,2.1e-05,1e-05,1e-05,12.0,0.0
2017-3-31,1e-05,3.2e-05,1e-05,3.2e-05,5.0,0.0
2017-4-01,3.2e-05,3.3e-05,3.2e-05,3.2e-05,0.0,0.0
2017-4-02,3.2e-05,3.3e-05,2.2e-05,2.2e-05,1.0,0.0
2017-4-03,2.2e-05,2.3e-05,1.1e-05,1.1e-05,0.0,0.0
2017-4-04,1.1e-05,3.4e-05,1.1e-05,2.3e-05,14.0,0.0
2017-4-05,2.3e-05,2.3e-05,1.1e-05,1.1e-05,6.0,0.0
2017-4-06,1.1e-05,1.2e-05,1.1e-05,1.2e-05,6.0,0.0
2017-4-07,2.4e-05,2.4e-05,2.4e-05,2.4e-05,0.0,0.0
2017-4-08,2.3e-05,2.4e-05,1.2e-05,2.4e-05,1.0,0.0
