datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-1-01,8.3e-07,8.599999999999999e-07,8.3e-07,8.599999999999999e-07,0.0,2731.0
2017-1-02,8.599999999999999e-07,8.8e-07,8.199999999999999e-07,8.8e-07,0.0,2831.0
2017-1-03,8.8e-07,1e-06,8.699999999999999e-07,8.8e-07,2.0,2916.0
2017-1-04,8.8e-07,9.199999999999999e-07,8.8e-07,9.199999999999999e-07,0.0,2902.0
2017-1-05,1e-06,1e-06,1e-06,1e-06,1.0,4504.0
2017-1-06,1e-06,1e-06,1e-06,1e-06,0.0,4539.0
2017-1-07,1e-06,1e-06,7.9e-07,9.1e-07,0.0,4077.0
2017-1-08,9.1e-07,9.199999999999999e-07,7.9e-07,8.4e-07,0.0,3003.0
2017-1-09,8.4e-07,9.199999999999999e-07,8.3e-07,9e-07,0.0,2768.0
2017-1-10,9e-07,1e-06,8.699999999999999e-07,8.699999999999999e-07,2.0,2979.0
2017-1-11,8.699999999999999e-07,8.8e-07,7.2e-07,7.3e-07,0.0,2882.0
2017-1-12,7.3e-07,7.599999999999999e-07,7.2e-07,7.5e-07,0.0,2405.0
2017-1-13,7.5e-07,7.5e-07,7.2e-07,7.4e-07,0.0,2475.0
2017-1-14,7.4e-07,9.5e-07,7.4e-07,7.4e-07,0.0,2440.0
2017-1-15,7.4e-07,7.5e-07,7e-07,7.5e-07,2.0,2438.0
2017-1-16,7.5e-07,7.5e-07,7e-07,7e-07,0.0,2459.0
2017-1-17,7e-07,8.3e-07,6.9e-07,8.3e-07,0.0,2321.0
2017-1-18,8.3e-07,8.3e-07,6.8e-07,6.9e-07,0.0,2733.0
2017-1-19,6.9e-07,7.1e-07,6.9e-07,6.9e-07,1.0,2283.0
2017-1-20,6.9e-07,7e-07,6.9e-07,7e-07,0.0,2294.0
2017-1-21,7e-07,9e-07,7e-07,7e-07,0.0,2313.0
2017-1-22,7e-07,7.3e-07,6.9e-07,6.9e-07,0.0,2320.0
2017-1-23,6.9e-07,8.8e-07,6.9e-07,6.9e-07,0.0,2293.0
2017-1-24,6.9e-07,6.9e-07,6.8e-07,6.8e-07,0.0,2280.0
2017-1-25,6.8e-07,7.1e-07,3e-07,3e-07,13.0,2254.0
2017-1-26,3e-07,3.1e-07,3e-07,3.1e-07,0.0,982.0
2017-1-27,5.8e-07,5.8e-07,2.2999999999999997e-07,2.2999999999999997e-07,1.0,1904.0
2017-1-28,2.2999999999999997e-07,7.3e-07,2.2999999999999997e-07,3.5e-07,1.0,764.0
2017-1-29,3.5e-07,6.599999999999999e-07,3.5e-07,6.499999999999999e-07,0.0,1146.0
2017-1-30,6.599999999999999e-07,6.8e-07,6.2e-07,6.8e-07,0.0,2167.0
2017-1-31,6.8e-07,7e-07,6.499999999999999e-07,6.499999999999999e-07,0.0,2260.0
2017-2-01,6.499999999999999e-07,7.4e-07,6.499999999999999e-07,7.3e-07,0.0,2156.0
2017-2-02,7.3e-07,7.3e-07,5.599999999999999e-07,5.699999999999999e-07,0.0,2425.0
2017-2-03,5.699999999999999e-07,7.3e-07,5.699999999999999e-07,7.3e-07,0.0,1889.0
2017-2-04,7.4e-07,7.4e-07,6e-07,6.1e-07,0.0,2431.0
2017-2-05,6.1e-07,6.1e-07,6e-07,6.1e-07,0.0,2017.0
2017-2-06,6.1e-07,7.3e-07,4.9e-07,4.9e-07,8.0,2013.0
2017-2-07,4.9e-07,7.3e-07,4.9e-07,7.3e-07,0.0,1609.0
2017-2-08,7.3e-07,7.3e-07,2.7999999999999997e-07,6.8e-07,46.0,2412.0
2017-2-09,6.9e-07,6.9e-07,4.0999999999999994e-07,6.1e-07,0.0,2267.0
2017-2-10,6.1e-07,6.4e-07,5.5e-07,5.699999999999999e-07,1.0,2013.0
2017-2-11,5.699999999999999e-07,6.499999999999999e-07,5.699999999999999e-07,6.4e-07,0.0,1876.0
2017-2-12,6.499999999999999e-07,6.8e-07,6.4e-07,6.8e-07,0.0,2136.0
2017-2-13,6.8e-07,7.1e-07,6.699999999999999e-07,7.1e-07,0.0,2246.0
2017-2-14,7.1e-07,7.2e-07,5.599999999999999e-07,7.2e-07,7.0,2337.0
2017-2-15,7.2e-07,7.3e-07,4.5e-07,7.2e-07,0.0,2371.0
2017-2-16,7.2e-07,7.599999999999999e-07,5.3e-07,7.599999999999999e-07,1.0,2389.0
2017-2-17,7.599999999999999e-07,7.599999999999999e-07,6.1e-07,6.1e-07,0.0,2503.0
2017-2-18,6.1e-07,6.1e-07,6e-07,6.1e-07,0.0,2029.0
2017-2-19,6.1e-07,6.1e-07,6e-07,6e-07,0.0,2010.0
2017-2-20,6e-07,6.1e-07,6e-07,6e-07,0.0,1996.0
2017-2-21,6e-07,8.3e-07,6e-07,7.599999999999999e-07,1.0,1995.0
2017-2-22,7.599999999999999e-07,8.1e-07,7.599999999999999e-07,8e-07,0.0,2511.0
2017-2-23,8e-07,8.1e-07,7.599999999999999e-07,7.699999999999999e-07,0.0,2645.0
2017-2-24,7.699999999999999e-07,8.1e-07,7.699999999999999e-07,8.1e-07,0.0,2540.0
2017-2-25,8.1e-07,8.1e-07,7.599999999999999e-07,7.699999999999999e-07,0.0,2682.0
2017-2-26,7.599999999999999e-07,8e-07,7.2e-07,7.3e-07,0.0,2530.0
2017-2-27,7.2e-07,8.8e-07,7.2e-07,7.599999999999999e-07,1.0,2402.0
2017-2-28,7.599999999999999e-07,8.699999999999999e-07,6.8e-07,7.2e-07,5.0,2523.0
2017-3-01,7.2e-07,9.5e-07,7.1e-07,9.5e-07,0.0,2378.0
2017-3-02,9.5e-07,9.9e-07,7.2e-07,9.8e-07,0.0,3147.0
2017-3-03,9.8e-07,1e-06,8.199999999999999e-07,8.199999999999999e-07,0.0,3252.0
