datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jan 01, 2017",0.010956,0.0118,0.010916,0.011333,2332.0,169824.0
"Jan 02, 2017",0.011339,0.012213,0.011339,0.011849,3165.0,175771.0
"Jan 03, 2017",0.011848,0.01258,0.011566,0.012563,2643.0,183689.0
"Jan 04, 2017",0.01256,0.013549,0.011998,0.013035,6569.0,194744.0
"Jan 05, 2017",0.013048,0.013757,0.01037,0.01099,1857.0,202345.0
"Jan 06, 2017",0.01102,0.011807,0.009831,0.009893,3213.0,170916.0
"Jan 07, 2017",0.009907,0.011044,0.00913,0.010203,3457.0,153668.0
"Jan 08, 2017",0.010203,0.011169,0.010105,0.010197,504.0,158274.0
"Jan 09, 2017",0.010211,0.010607,0.009859,0.01046,1015.0,158419.0
"Jan 10, 2017",0.010455,0.010525,0.010114,0.010201,933.0,162214.0
"Jan 11, 2017",0.010202,0.010332,0.008776,0.009026,883.0,158312.0
"Jan 12, 2017",0.009013,0.009502,0.008585,0.009121,823.0,139876.0
"Jan 13, 2017",0.009116,0.010327,0.00886,0.009479,3567.0,141488.0
"Jan 14, 2017",0.009492,0.011126,0.00941,0.010633,3733.0,147347.0
"Jan 15, 2017",0.010629,0.011798,0.009493,0.009913,3969.0,165010.0
"Jan 16, 2017",0.009912,0.010379,0.009712,0.010292,1121.0,153899.0
"Jan 17, 2017",0.010294,0.011875,0.010285,0.01086,1341.0,159849.0
"Jan 18, 2017",0.010867,0.011529,0.010417,0.011115,1010.0,168753.0
"Jan 19, 2017",0.011161,0.011503,0.010455,0.011421,1962.0,173341.0
"Jan 20, 2017",0.011417,0.016002,0.010807,0.014118,42296.0,177342.0
"Jan 21, 2017",0.014118,0.014986,0.012895,0.014081,2171.0,219312.0
"Jan 22, 2017",0.01408,0.015189,0.01408,0.014525,2800.0,218751.0
"Jan 23, 2017",0.014541,0.016234,0.01442,0.014611,2758.0,225941.0
"Jan 24, 2017",0.013183,0.015155,0.011503,0.014094,4993.0,204852.0
"Jan 25, 2017",0.014101,0.014314,0.009124,0.013316,7126.0,219137.0
"Jan 26, 2017",0.013635,0.014598,0.010993,0.01264,5235.0,211921.0
"Jan 27, 2017",0.01264,0.014105,0.009686,0.014102,4265.0,196484.0
"Jan 28, 2017",0.014102,0.014124,0.009678,0.011076,1244.0,219231.0
"Jan 29, 2017",0.011076,0.01242,0.011076,0.011908,2392.0,172199.0
"Jan 30, 2017",0.011908,0.013662,0.011908,0.012141,848.0,185160.0
"Jan 31, 2017",0.012136,0.01456,0.011954,0.012506,1605.0,188734.0
"Feb 01, 2017",0.012504,0.014281,0.012173,0.013158,984.0,194466.0
"Feb 02, 2017",0.013156,0.01344,0.012065,0.013431,2354.0,204639.0
"Feb 03, 2017",0.013426,0.013844,0.012147,0.013644,10660.0,208856.0
"Feb 04, 2017",0.013663,0.014838,0.011981,0.013671,1398.0,212557.0
"Feb 05, 2017",0.013679,0.01368,0.012064,0.01335,973.0,212831.0
"Feb 06, 2017",0.013364,0.013498,0.012236,0.012435,2127.0,207953.0
"Feb 07, 2017",0.012459,0.013839,0.012294,0.012855,1575.0,193899.0
"Feb 08, 2017",0.012867,0.013891,0.01241,0.01267,229.0,200264.0
"Feb 09, 2017",0.012689,0.013555,0.011543,0.012852,2183.0,197523.0
"Feb 10, 2017",0.012869,0.012911,0.011615,0.012175,193.0,200337.0
"Feb 11, 2017",0.012178,0.012966,0.011846,0.012866,1135.0,189605.0
"Feb 12, 2017",0.012854,0.012854,0.012019,0.01248,1368.0,200151.0
"Feb 13, 2017",0.012476,0.012686,0.011805,0.011812,477.0,194290.0
"Feb 14, 2017",0.011825,0.012658,0.011825,0.01263,707.0,184168.0
"Feb 15, 2017",0.012651,0.012688,0.011985,0.012409,721.0,197063.0
"Feb 16, 2017",0.012411,0.012879,0.012219,0.012401,1113.0,193343.0
"Feb 17, 2017",0.012385,0.013103,0.01238,0.0126,1382.0,192971.0
"Feb 18, 2017",0.012636,0.013213,0.012609,0.012746,518.0,196900.0
"Feb 19, 2017",0.01275,0.013134,0.012584,0.012584,1672.0,198693.0
"Feb 20, 2017",0.012594,0.013432,0.01251,0.013426,683.0,196286.0
"Feb 21, 2017",0.013418,0.013783,0.012944,0.013783,1963.0,209145.0
"Feb 22, 2017",0.013787,0.013787,0.011734,0.013622,1948.0,214937.0
"Feb 23, 2017",0.013619,0.014293,0.013559,0.014192,1274.0,212341.0
"Feb 24, 2017",0.014265,0.014933,0.011964,0.013947,4066.0,222435.0
"Feb 25, 2017",0.014262,0.014314,0.013147,0.013372,654.0,222407.0
"Feb 26, 2017",0.01386,0.014096,0.01358,0.013854,810.0,216170.0
"Feb 27, 2017",0.013812,0.014237,0.013035,0.014118,1326.0,215433.0
"Feb 28, 2017",0.014127,0.014203,0.012361,0.013822,1810.0,220374.0
"Mar 01, 2017",0.013823,0.014004,0.01238,0.013371,554.0,215654.0
"Mar 02, 2017",0.013395,0.014366,0.012297,0.013737,1630.0,209001.0
"Mar 03, 2017",0.013734,0.0144,0.01249,0.012716,2762.0,214318.0
"Mar 04, 2017",0.01274,0.014581,0.01269,0.012951,699.0,198835.0
"Mar 05, 2017",0.012942,0.013843,0.012042,0.013841,858.0,202002.0
"Mar 06, 2017",0.013845,0.013881,0.012845,0.012926,1324.0,216118.0
"Mar 07, 2017",0.01293,0.013784,0.012027,0.012828,2430.0,201857.0
"Mar 08, 2017",0.012825,0.013127,0.004416,0.012046,2750.0,200250.0
"Mar 09, 2017",0.01205,0.012664,0.010752,0.010759,948.0,188165.0
"Mar 10, 2017",0.010767,0.013355,0.010767,0.011794,524.0,168156.0
"Mar 11, 2017",0.01179,0.012519,0.011291,0.011421,443.0,184154.0
"Mar 12, 2017",0.011428,0.012582,0.011428,0.012452,786.0,178530.0
"Mar 13, 2017",0.012456,0.012632,0.011933,0.012622,482.0,194601.0
"Mar 14, 2017",0.012625,0.013804,0.012098,0.013449,2151.0,197260.0
"Mar 15, 2017",0.01345,0.013988,0.012371,0.012449,1798.0,210188.0
"Mar 16, 2017",0.012466,0.012606,0.011476,0.012222,1603.0,194828.0
"Mar 17, 2017",0.012143,0.012366,0.011303,0.011744,3371.0,189806.0
"Mar 18, 2017",0.011739,0.011892,0.009419,0.009579,946.0,183507.0
"Mar 19, 2017",0.009762,0.010667,0.009762,0.01038,561.0,152628.0
"Mar 20, 2017",0.010385,0.011038,0.010385,0.010563,1641.0,162377.0
"Mar 21, 2017",0.010574,0.011276,0.010574,0.011257,1044.0,165362.0
"Mar 22, 2017",0.011258,0.011288,0.010217,0.010684,1525.0,176070.0
"Mar 23, 2017",0.010683,0.010724,0.010303,0.010386,1102.0,167091.0
"Mar 24, 2017",0.010517,0.010538,0.00947,0.009502,1822.0,164522.0
"Mar 25, 2017",0.009492,0.009873,0.00906,0.009843,778.0,148501.0
"Mar 26, 2017",0.009798,0.01011,0.009557,0.009661,1774.0,153308.0
"Mar 27, 2017",0.009714,0.010454,0.009713,0.01042,3187.0,152011.0
"Mar 28, 2017",0.010408,0.010861,0.010141,0.010387,1374.0,162893.0
"Mar 29, 2017",0.010383,0.010442,0.010027,0.010254,896.0,162511.0
"Mar 30, 2017",0.010516,0.036724,0.010132,0.010479,12124.0,164621.0
"Mar 31, 2017",0.010488,0.012091,0.010323,0.01122,2759.0,164200.0
"Apr 01, 2017",0.011221,0.011237,0.010641,0.010929,3524.0,175689.0
"Apr 02, 2017",0.01093,0.011148,0.010778,0.011102,1470.0,171147.0
"Apr 03, 2017",0.011088,0.011554,0.011088,0.011444,6196.0,173644.0
