datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-7-21,0.000494,0.000539,0.000354,0.000355,16877.0,0.0
2017-7-22,0.000355,0.000567,0.000355,0.0004,4544.0,0.0
2017-7-23,0.000426,0.000473,0.000331,0.000387,2701.0,0.0
2017-7-24,0.000386,0.000438,0.000354,0.00036,2066.0,0.0
2017-7-25,0.00036,0.000408,0.000317,0.000331,1904.0,0.0
2017-7-26,0.000331,0.00038,0.000273,0.000376,1595.0,0.0
2017-7-27,0.000377,0.000386,0.000307,0.000372,2089.0,0.0
2017-7-28,0.000373,0.000412,0.000296,0.00036,2717.0,0.0
2017-7-29,0.000362,0.000407,0.000324,0.000326,10507.0,0.0
2017-7-30,0.000326,0.000376,0.000289,0.000305,697.0,0.0
2017-7-31,0.000306,0.00033,0.000193,0.0002,1289.0,0.0
2017-8-01,0.0002,0.000303,0.000186,0.000245,320.0,0.0
2017-8-02,0.000245,0.000245,0.000159,0.000162,242.0,0.0
2017-8-03,0.000162,0.000301,0.000162,0.000251,1416.0,0.0
2017-8-04,0.000251,0.000316,0.000195,0.000257,1214.0,0.0
2017-8-05,0.000257,0.000322,0.00019,0.00026,696.0,0.0
2017-8-06,0.00026,0.00035,0.000195,0.000263,1895.0,0.0
2017-8-07,0.000263,0.000355,0.00026,0.000291,1900.0,0.0
2017-8-08,0.000292,0.000361,0.000272,0.000308,381.0,0.0
2017-8-09,0.000307,0.000312,0.000132,0.000267,1619.0,0.0
2017-8-10,0.000267,0.000272,0.000171,0.000239,412.0,0.0
2017-8-11,0.000239,0.00024,0.000141,0.000146,228.0,0.0
2017-8-12,0.000146,0.00021,0.000146,0.000185,163.0,0.0
2017-8-13,0.000184,0.0003,0.000161,0.000296,31.0,0.0
2017-8-14,0.000297,0.0003,0.000128,0.000131,566.0,0.0
2017-8-15,0.000132,0.000247,0.000129,0.000222,979.0,0.0
2017-8-16,0.000222,0.000261,0.000176,0.0002,436.0,0.0
2017-8-17,0.0002,0.000349,0.000178,0.000218,2313.0,0.0
2017-8-18,0.000217,0.000257,0.000166,0.000173,344.0,0.0
2017-8-19,0.000205,0.000209,0.00016,0.000208,158.0,0.0
2017-8-20,0.000207,0.000207,0.000124,0.000164,698.0,0.0
2017-8-21,0.000163,0.000239,0.000122,0.00016,2416.0,0.0
2017-8-22,0.00016,0.000238,0.000114,0.000205,1254.0,0.0
2017-8-23,0.000204,0.000255,0.000163,0.000206,306.0,0.0
2017-8-24,0.000206,0.000251,0.000118,0.000244,117.0,0.0
2017-8-25,0.000244,0.000247,0.000171,0.000209,67.0,0.0
2017-8-26,0.00021,0.00021,0.000158,0.000167,78.0,0.0
