datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jan 01, 2017",2.9e-05,3e-05,2e-05,2e-05,2.0,5980.0
"Jan 02, 2017",2e-05,2.1e-05,1e-05,1e-05,4.0,4132.0
"Jan 03, 2017",1e-05,2.1e-05,1e-05,1e-05,2.0,2116.0
"Jan 04, 2017",1e-05,2.3e-05,1e-05,2.3e-05,2.0,2163.0
"Jan 05, 2017",1.2e-05,2.1e-05,9e-06,2e-05,19.0,2395.0
"Jan 06, 2017",2e-05,2.1e-05,9e-06,1.8e-05,0.0,4206.0
"Jan 07, 2017",1.8e-05,1.8e-05,8e-06,1.8e-05,1.0,3752.0
"Jan 08, 2017",1.8e-05,1.9e-05,9e-06,9e-06,2.0,3776.0
"Jan 09, 2017",9e-06,1.8e-05,9e-06,1.8e-05,9.0,1894.0
"Jan 10, 2017",1.8e-05,1.8e-05,9e-06,1.8e-05,5.0,3756.0
"Jan 11, 2017",1.8e-05,1.8e-05,9e-06,1.6e-05,9.0,3778.0
"Jan 12, 2017",1.6e-05,1.7e-05,1.5e-05,1.6e-05,1.0,3240.0
"Jan 13, 2017",1.6e-05,1.7e-05,8e-06,1.6e-05,4.0,3355.0
"Jan 14, 2017",1.6e-05,2.5e-05,8e-06,1.6e-05,4.0,3437.0
"Jan 15, 2017",1.6e-05,2.5e-05,8e-06,2.5e-05,16.0,3416.0
"Jan 16, 2017",2.5e-05,2.5e-05,2.2e-05,2.2e-05,55.0,5148.0
"Jan 17, 2017",2.2e-05,2.2e-05,1.7e-05,1.8e-05,0.0,4524.0
"Jan 18, 2017",1.8e-05,2.7e-05,1.7e-05,1.8e-05,4.0,3796.0
"Jan 19, 2017",1.8e-05,2.7e-05,1.8e-05,2.7e-05,3.0,3710.0
"Jan 20, 2017",2.7e-05,2.7e-05,1.8e-05,1.8e-05,2.0,5646.0
"Jan 21, 2017",1.8e-05,2.8e-05,9e-06,1.8e-05,42.0,3749.0
"Jan 22, 2017",1.8e-05,3.7e-05,1.8e-05,2.8e-05,179.0,3864.0
"Jan 23, 2017",2.8e-05,3.3e-05,2.8e-05,3.3e-05,6.0,5818.0
"Jan 24, 2017",3.3e-05,3.3e-05,1.8e-05,2.7e-05,89.0,6966.0
"Jan 25, 2017",2.7e-05,3.6e-05,1.8e-05,3.6e-05,66.0,5623.0
"Jan 26, 2017",3.6e-05,3.6e-05,1.8e-05,2.8e-05,5.0,7577.0
"Jan 27, 2017",2.8e-05,3.7e-05,2.7e-05,2.8e-05,11.0,5787.0
"Jan 28, 2017",2.8e-05,3.7e-05,2.8e-05,2.8e-05,3.0,5805.0
"Jan 29, 2017",2.8e-05,2.8e-05,2.8e-05,2.8e-05,4.0,5820.0
"Jan 30, 2017",2.8e-05,2.8e-05,1.8e-05,2.8e-05,7.0,5811.0
"Jan 31, 2017",2.8e-05,3.9e-05,2.8e-05,3.9e-05,1.0,5820.0
"Feb 01, 2017",3.9e-05,4e-05,1.9e-05,4e-05,2.0,8186.0
"Feb 02, 2017",4e-05,4.1e-05,2e-05,4e-05,52.0,8348.0
"Feb 03, 2017",4e-05,4.1e-05,3e-05,4.1e-05,6.0,8543.0
"Feb 04, 2017",4.1e-05,5.2e-05,3.1e-05,5.2e-05,99.0,8716.0
"Feb 05, 2017",5.2e-05,5.2e-05,3.1e-05,4.1e-05,18.0,11030.0
"Feb 06, 2017",4.1e-05,5.2e-05,3.1e-05,3.1e-05,28.0,8677.0
"Feb 07, 2017",3.1e-05,5.3e-05,2.1e-05,3.2e-05,42.0,6605.0
"Feb 08, 2017",3.2e-05,4.5e-05,2.2e-05,3.6e-05,36.0,6750.0
"Feb 09, 2017",3.6e-05,3.9e-05,3.4e-05,3.5e-05,24.0,7578.0
"Feb 10, 2017",3.5e-05,4e-05,2.9e-05,4e-05,2.0,7400.0
"Feb 11, 2017",4e-05,4e-05,2.2e-05,2.2e-05,2.0,8389.0
"Feb 12, 2017",2.2e-05,4e-05,2e-05,4e-05,13.0,4629.0
"Feb 13, 2017",4e-05,4e-05,2e-05,3e-05,17.0,8483.0
"Feb 14, 2017",3e-05,3e-05,2e-05,2e-05,0.0,6321.0
"Feb 15, 2017",2e-05,2e-05,2e-05,2e-05,0.0,4278.0
"Feb 16, 2017",3.1e-05,3.1e-05,2.1e-05,2.1e-05,79.0,6533.0
"Feb 17, 2017",2.1e-05,3.2e-05,2.1e-05,3.1e-05,39.0,4368.0
"Feb 18, 2017",3.1e-05,3.2e-05,2.1e-05,2.1e-05,5.0,6704.0
"Feb 19, 2017",2.1e-05,2.1e-05,2.1e-05,2.1e-05,2.0,4496.0
"Feb 20, 2017",3.1e-05,4.3e-05,2.1e-05,4.3e-05,30.0,6695.0
"Feb 21, 2017",4.3e-05,4.4e-05,2.2e-05,2.2e-05,19.0,9205.0
"Feb 22, 2017",2.2e-05,4.5e-05,2.2e-05,2.2e-05,7.0,4755.0
"Feb 23, 2017",2.2e-05,2.4e-05,2.2e-05,2.3e-05,6.0,4768.0
"Feb 24, 2017",2.3e-05,3.5e-05,2.3e-05,2.3e-05,14.0,5005.0
"Feb 25, 2017",2.3e-05,3.5e-05,2.2e-05,2.3e-05,2.0,4997.0
"Feb 26, 2017",2.3e-05,2.3e-05,2.3e-05,2.3e-05,1.0,4888.0
"Feb 27, 2017",2.3e-05,3.5e-05,2.3e-05,2.4e-05,30.0,4974.0
"Feb 28, 2017",2.4e-05,3.6e-05,2.3e-05,3.5e-05,10.0,5050.0
"Mar 01, 2017",3.5e-05,4.4e-05,2.4e-05,2.5e-05,7.0,7575.0
"Mar 02, 2017",2.5e-05,3.8e-05,2.4e-05,3.8e-05,75.0,5406.0
"Mar 03, 2017",3.8e-05,3.8e-05,2.5e-05,2.5e-05,3.0,8038.0
"Mar 04, 2017",2.6e-05,2.6e-05,2.5e-05,2.5e-05,39.0,5477.0
"Mar 05, 2017",2.5e-05,3.8e-05,2.5e-05,2.5e-05,3.0,5381.0
"Mar 06, 2017",2.5e-05,2.6e-05,2.5e-05,2.5e-05,4.0,5440.0
"Mar 07, 2017",2.5e-05,2.6e-05,1.2e-05,2.4e-05,3.0,5468.0
"Mar 08, 2017",2.4e-05,3.6e-05,2.3e-05,2.3e-05,11.0,5256.0
"Mar 09, 2017",2.3e-05,2.4e-05,2.3e-05,2.4e-05,1.0,4944.0
"Mar 10, 2017",2.4e-05,2.5e-05,2.2e-05,2.2e-05,1.0,5113.0
"Mar 11, 2017",2.2e-05,2.4e-05,2.2e-05,2.4e-05,0.0,4800.0
"Mar 12, 2017",2.4e-05,3.6e-05,1.2e-05,2.4e-05,5.0,5060.0
"Mar 13, 2017",2.4e-05,3.7e-05,1.2e-05,1.2e-05,5.0,5257.0
"Mar 14, 2017",1.2e-05,2.5e-05,1.2e-05,1.2e-05,1.0,2652.0
"Mar 15, 2017",1.2e-05,3.8e-05,1.2e-05,3.7e-05,15.0,2671.0
"Mar 16, 2017",3.8e-05,3.8e-05,2.3e-05,2.4e-05,8.0,8088.0
"Mar 17, 2017",2.4e-05,2.4e-05,2.2e-05,2.2e-05,2.0,5086.0
"Mar 18, 2017",2.2e-05,4.9e-05,2e-05,4.9e-05,2.0,4740.0
