datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-1-19,0.001088,0.0011,0.000948,0.001017,8920.0,136009.0
2017-1-20,0.001102,0.001653,0.000994,0.001488,21619.0,137724.0
2017-1-21,0.001488,0.002206,0.001452,0.001835,28456.0,186055.0
2017-1-22,0.001835,0.001905,0.001059,0.001379,14915.0,229454.0
2017-1-23,0.001383,0.001758,0.001003,0.00145,4307.0,172859.0
2017-1-24,0.001434,0.001482,0.001072,0.00143,5510.0,179267.0
2017-1-25,0.001352,0.001755,0.001253,0.001665,16339.0,168972.0
2017-1-26,0.001415,0.003811,0.001376,0.003536,55070.0,176914.0
2017-1-27,0.003538,0.005282,0.002301,0.004384,80444.0,442378.0
2017-1-28,0.004384,0.004545,0.002946,0.004124,35763.0,548081.0
2017-1-29,0.004133,0.004493,0.002463,0.003106,34592.0,516717.0
2017-1-30,0.003424,0.003665,0.00255,0.00326,33258.0,428127.0
2017-1-31,0.003538,0.004083,0.002715,0.003685,41262.0,442301.0
2017-2-01,0.003685,0.004379,0.00343,0.00428,24944.0,460697.0
2017-2-02,0.004288,0.005971,0.004247,0.005687,70129.0,536130.0
2017-2-03,0.005721,0.012445,0.005509,0.008974,166783.0,715338.0
2017-2-04,0.007957,0.015421,0.007341,0.014153,258167.0,994927.0
2017-2-05,0.013771,0.024694,0.013706,0.017785,427827.0,1721770.0
2017-2-06,0.017815,0.020695,0.006049,0.007163,442883.0,2227450.0
2017-2-07,0.006895,0.009597,0.006294,0.007475,129021.0,862162.0
2017-2-08,0.006979,0.007433,0.004075,0.006638,173860.0,872590.0
2017-2-09,0.006607,0.009686,0.006025,0.007923,106835.0,826075.0
2017-2-10,0.008381,0.010325,0.008233,0.009494,60664.0,1048000.0
2017-2-11,0.0092,0.016182,0.009127,0.014529,113509.0,1150350.0
2017-2-12,0.014642,0.014673,0.011917,0.013378,61594.0,1830900.0
2017-2-13,0.013562,0.014284,0.00959,0.00959,78343.0,1695830.0
2017-2-14,0.01021,0.011607,0.006399,0.009139,74711.0,1276710.0
2017-2-15,0.009154,0.00936,0.006359,0.006825,55197.0,1144680.0
2017-2-16,0.006857,0.00832,0.005817,0.006385,67274.0,857484.0
2017-2-17,0.006386,0.006404,0.004816,0.005263,73644.0,798596.0
2017-2-18,0.005298,0.006044,0.00303,0.003695,110714.0,662513.0
2017-2-19,0.003592,0.00459,0.003359,0.004086,35903.0,449188.0
2017-2-20,0.004178,0.005563,0.004005,0.004205,28445.0,522462.0
2017-2-21,0.004164,0.004403,0.003554,0.00395,25166.0,520728.0
2017-2-22,0.003776,0.004011,0.00342,0.003742,18129.0,472250.0
2017-2-23,0.00358,0.004071,0.003369,0.003743,41693.0,447716.0
2017-2-24,0.003841,0.003841,0.002851,0.003466,24651.0,480383.0
2017-2-25,0.003474,0.003595,0.002833,0.003128,27924.0,434477.0
2017-2-26,0.00301,0.00301,0.002153,0.002421,18551.0,376383.0
2017-2-27,0.002429,0.00333,0.001811,0.002921,40606.0,303799.0
2017-2-28,0.002914,0.003096,0.002422,0.003044,11356.0,364446.0
2017-3-01,0.00308,0.003784,0.002621,0.00363,35438.0,385193.0
2017-3-02,0.003636,0.0052,0.003164,0.004011,21259.0,454778.0
2017-3-03,0.00401,0.004312,0.003455,0.003724,14115.0,501491.0
2017-3-04,0.003731,0.00388,0.003147,0.00361,12532.0,466640.0
2017-3-05,0.003608,0.003608,0.003023,0.003399,16677.0,451212.0
2017-3-06,0.0034,0.003412,0.002098,0.003125,10382.0,425267.0
2017-3-07,0.003126,0.005382,0.002523,0.002922,12201.0,390961.0
2017-3-08,0.002921,0.003008,0.002422,0.00244,11060.0,365363.0
2017-3-09,0.002441,0.002955,0.002167,0.002372,15645.0,305330.0
2017-3-10,0.002374,0.00274,0.001852,0.002407,18165.0,296890.0
2017-3-11,0.002406,0.003037,0.002184,0.002523,7435.0,300899.0
2017-3-12,0.002525,0.0027,0.00198,0.00198,6694.0,315829.0
2017-3-13,0.00198,0.002328,0.001859,0.001994,9976.0,247700.0
2017-3-14,0.002017,0.002716,0.001822,0.002399,68756.0,252341.0
2017-3-15,0.002399,0.002577,0.001424,0.001706,20504.0,300072.0
2017-3-16,0.001681,0.001887,0.000954,0.00102,11003.0,210259.0
2017-3-17,0.001013,0.00121,0.000538,0.000726,5295.0,126708.0
2017-3-18,0.000726,0.001641,0.000548,0.000957,6898.0,90758.0
2017-3-19,0.00095,0.000977,0.000685,0.000703,5557.0,118861.0
2017-3-20,0.000703,0.000824,0.000606,0.000705,5117.0,87957.0
2017-3-21,0.000705,0.000854,0.000654,0.00084,4308.0,88249.0
2017-3-22,0.000766,0.001048,0.000632,0.000651,3584.0,95806.0
2017-3-23,0.000662,0.001213,0.000644,0.001085,12931.0,82789.0
2017-3-24,0.001058,0.001124,0.000727,0.000819,15353.0,132374.0
2017-3-25,0.000845,0.000951,0.000771,0.000942,5355.0,105701.0
2017-3-26,0.000943,0.000943,0.000771,0.000858,4348.0,117994.0
2017-3-27,0.000864,0.000913,0.000706,0.000884,19606.0,108065.0
2017-3-28,0.000883,0.001153,0.000723,0.000908,16825.0,110441.0
2017-3-29,0.000907,0.001001,0.00084,0.000954,8402.0,113520.0
2017-3-30,0.000911,0.000974,0.000855,0.000859,5807.0,113982.0
2017-3-31,0.000859,0.000917,0.000783,0.000834,3522.0,107474.0
2017-4-01,0.000896,0.00097,0.00076,0.00095,5999.0,112041.0
2017-4-02,0.000896,0.001231,0.000802,0.000845,4265.0,112128.0
2017-4-03,0.000835,0.001355,0.000806,0.001266,8667.0,104457.0
2017-4-04,0.001267,0.001965,0.001047,0.001556,26652.0,158561.0
2017-4-05,0.001556,0.001891,0.001455,0.001757,23668.0,194728.0
2017-4-06,0.001763,0.00192,0.001467,0.001825,31802.0,220586.0
2017-4-07,0.001828,0.001828,0.001168,0.001458,8666.0,228666.0
2017-4-08,0.001452,0.001467,0.001125,0.001187,6391.0,181713.0
2017-4-09,0.001187,0.0012,0.001159,0.001159,3057.0,148536.0
2017-4-10,0.001158,0.001213,0.001113,0.00117,3517.0,144873.0
2017-4-11,0.001171,0.001482,0.001128,0.001209,12351.0,146459.0
2017-4-12,0.001209,0.001402,0.001158,0.001198,11361.0,151252.0
2017-4-13,0.001198,0.00135,0.001135,0.001151,4746.0,149918.0
2017-4-14,0.001152,0.001241,0.001126,0.001174,10140.0,144116.0
2017-4-15,0.001173,0.001307,0.001082,0.001198,4351.0,146813.0
2017-4-16,0.001198,0.001198,0.001077,0.001087,2900.0,149950.0
2017-4-17,0.001087,0.001305,0.001082,0.001188,3884.0,136046.0
2017-4-18,0.001154,0.001211,0.000867,0.001015,3226.0,144442.0
2017-4-19,0.001015,0.001099,0.000971,0.001049,5963.0,127027.0
2017-4-20,0.001049,0.002439,0.000897,0.001175,3188.0,131247.0
2017-4-21,0.001174,0.001295,0.00095,0.001025,10238.0,146946.0
2017-4-22,0.001025,0.001085,0.00093,0.001046,3526.0,128301.0
2017-4-23,0.001046,0.001046,0.000933,0.000978,622.0,130860.0
2017-4-24,0.00098,0.001021,0.000915,0.000943,2722.0,122614.0
2017-4-25,0.00095,0.001112,0.000925,0.000994,2827.0,118933.0
2017-4-26,0.000995,0.001043,0.000994,0.001035,1381.0,124485.0
2017-4-27,0.001036,0.001251,0.001012,0.001173,4571.0,129621.0
2017-4-28,0.001123,0.00116,0.00094,0.000994,3158.0,140486.0
2017-4-29,0.000995,0.001004,0.000926,0.000979,323.0,124526.0
2017-4-30,0.000979,0.000979,0.000886,0.000942,712.0,122506.0
2017-5-01,0.000942,0.001015,0.000942,0.001008,348.0,117922.0
2017-5-02,0.001008,0.001025,0.000992,0.001011,886.0,126113.0
2017-5-03,0.001011,0.001072,0.00091,0.000998,1321.0,126560.0
2017-5-04,0.000998,0.001092,0.000873,0.000912,4433.0,124954.0
